model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.39 $\pm$ 0.04,0.32 $\pm$ 0.02,0.39 $\pm$ 0.08,0.51 $\pm$ 0.03,0.56 $\pm$ 0.03,0.59 $\pm$ 0.04
ComplementNB,RakelD Partitioning of labels,0.48 $\pm$ 0.03,0.52 $\pm$ 0.02,0.56 $\pm$ 0.02,0.60 $\pm$ 0.04,0.60 $\pm$ 0.04,0.61 $\pm$ 0.05
KNN,BorderlineSMOTE,0.50 $\pm$ 0.04,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.54 $\pm$ 0.03,0.54 $\pm$ 0.04,0.54 $\pm$ 0.02
KNN,No Upsampling,0.48 $\pm$ 0.07,0.51 $\pm$ 0.05,0.53 $\pm$ 0.03,0.58 $\pm$ 0.04,0.57 $\pm$ 0.06,0.59 $\pm$ 0.06
KNN,Random Oversampling,0.48 $\pm$ 0.04,0.49 $\pm$ 0.04,0.52 $\pm$ 0.02,0.53 $\pm$ 0.03,0.53 $\pm$ 0.02,0.53 $\pm$ 0.03
KNN,SMOTE,0.48 $\pm$ 0.02,0.49 $\pm$ 0.04,0.52 $\pm$ 0.02,0.54 $\pm$ 0.04,0.52 $\pm$ 0.02,0.55 $\pm$ 0.02
KNN,SVMSMOTE,0.50 $\pm$ 0.03,0.52 $\pm$ 0.04,0.54 $\pm$ 0.03,0.55 $\pm$ 0.03,0.55 $\pm$ 0.04,0.55 $\pm$ 0.02
LinearSVM,BorderlineSMOTE,0.48 $\pm$ 0.03,0.52 $\pm$ 0.03,0.54 $\pm$ 0.02,0.57 $\pm$ 0.04,0.55 $\pm$ 0.04,0.58 $\pm$ 0.06
LinearSVM,No Upsampling,0.48 $\pm$ 0.03,0.51 $\pm$ 0.03,0.54 $\pm$ 0.02,0.57 $\pm$ 0.04,0.55 $\pm$ 0.04,0.56 $\pm$ 0.04
LinearSVM,RakelD Partitioning of labels,0.48 $\pm$ 0.02,0.52 $\pm$ 0.03,0.54 $\pm$ 0.02,0.57 $\pm$ 0.04,0.54 $\pm$ 0.04,0.55 $\pm$ 0.03
LinearSVM,Random Oversampling,0.48 $\pm$ 0.04,0.51 $\pm$ 0.04,0.56 $\pm$ 0.02,0.57 $\pm$ 0.05,0.55 $\pm$ 0.03,0.56 $\pm$ 0.04
