model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.01,0.04 $\pm$ 0.01
ComplementNB,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.04 $\pm$ 0.02,0.04 $\pm$ 0.03,0.04 $\pm$ 0.02
KNN,0.00 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
LinearSVM,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.05 $\pm$ 0.04
LogisticRegression,0.00 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.03,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
LogisticRegressionElasticNet,0.00 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
LogisticRegressionLasso,0.00 $\pm$ 0.00,0.04 $\pm$ 0.02,0.02 $\pm$ 0.00,0.01 $\pm$ 0.02,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00
LogisticRegressionRidge,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.02
Multi-label ARAM,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Multilabel k Nearest Neighbours,0.01 $\pm$ 0.01,0.00 $\pm$ 0.01,0.00 $\pm$ 0.01,0.05 $\pm$ 0.00,0.06 $\pm$ 0.01,0.05 $\pm$ 0.02
NaiveBayes,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.03,0.05 $\pm$ 0.01
RandomForest,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.03 $\pm$ 0.02,0.02 $\pm$ 0.02,0.06 $\pm$ 0.02
RidgeClassifier,0.00 $\pm$ 0.01,0.04 $\pm$ 0.02,0.04 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.03,**0.09 $\pm$ 0.02**
SVM,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.04 $\pm$ 0.02,0.02 $\pm$ 0.01,0.06 $\pm$ 0.02
XGBoost,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.03 $\pm$ 0.02
