model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.42 $\pm$ 0.03,0.45 $\pm$ 0.04,0.46 $\pm$ 0.02,0.48 $\pm$ 0.01,0.43 $\pm$ 0.04,0.50 $\pm$ 0.01
ComplementNB,0.40 $\pm$ 0.01,0.43 $\pm$ 0.01,0.46 $\pm$ 0.02,0.50 $\pm$ 0.01,0.48 $\pm$ 0.02,0.54 $\pm$ 0.02
KNN,0.36 $\pm$ 0.02,0.42 $\pm$ 0.02,0.44 $\pm$ 0.02,0.45 $\pm$ 0.01,0.41 $\pm$ 0.02,0.45 $\pm$ 0.02
LinearSVM,0.40 $\pm$ 0.00,0.44 $\pm$ 0.01,0.44 $\pm$ 0.02,0.49 $\pm$ 0.01,0.43 $\pm$ 0.03,0.50 $\pm$ 0.02
LogisticRegression,0.39 $\pm$ 0.01,0.41 $\pm$ 0.00,0.44 $\pm$ 0.02,0.49 $\pm$ 0.02,0.45 $\pm$ 0.02,0.50 $\pm$ 0.01
LogisticRegressionElasticNet,0.40 $\pm$ 0.01,0.44 $\pm$ 0.02,0.44 $\pm$ 0.03,0.49 $\pm$ 0.02,0.45 $\pm$ 0.02,0.50 $\pm$ 0.04
LogisticRegressionLasso,0.40 $\pm$ 0.02,0.44 $\pm$ 0.02,0.43 $\pm$ 0.02,0.48 $\pm$ 0.03,0.45 $\pm$ 0.02,0.49 $\pm$ 0.04
LogisticRegressionRidge,0.41 $\pm$ 0.00,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.48 $\pm$ 0.02,0.44 $\pm$ 0.01,0.49 $\pm$ 0.02
Multi-label ARAM,0.29 $\pm$ 0.02,0.14 $\pm$ 0.07,0.24 $\pm$ 0.02,0.24 $\pm$ 0.03,0.24 $\pm$ 0.09,0.28 $\pm$ 0.05
Multilabel k Nearest Neighbours,0.40 $\pm$ 0.04,0.37 $\pm$ 0.02,0.45 $\pm$ 0.04,0.49 $\pm$ 0.04,0.49 $\pm$ 0.07,0.52 $\pm$ 0.03
NaiveBayes,0.39 $\pm$ 0.01,0.46 $\pm$ 0.01,0.46 $\pm$ 0.02,0.51 $\pm$ 0.02,0.48 $\pm$ 0.03,0.53 $\pm$ 0.01
RandomForest,0.40 $\pm$ 0.03,0.43 $\pm$ 0.02,0.45 $\pm$ 0.03,0.49 $\pm$ 0.03,0.47 $\pm$ 0.03,0.55 $\pm$ 0.00
RidgeClassifier,0.42 $\pm$ 0.01,0.46 $\pm$ 0.01,0.49 $\pm$ 0.02,0.53 $\pm$ 0.01,0.49 $\pm$ 0.03,**0.57 $\pm$ 0.01**
SVM,0.40 $\pm$ 0.00,0.43 $\pm$ 0.03,0.46 $\pm$ 0.01,0.51 $\pm$ 0.01,0.47 $\pm$ 0.02,0.56 $\pm$ 0.02
XGBoost,0.34 $\pm$ 0.01,0.36 $\pm$ 0.02,0.38 $\pm$ 0.03,0.40 $\pm$ 0.01,0.40 $\pm$ 0.02,0.48 $\pm$ 0.02
