model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.34 $\pm$ 0.02,0.34 $\pm$ 0.04,0.39 $\pm$ 0.01,0.46 $\pm$ 0.06,0.43 $\pm$ 0.03,0.42 $\pm$ 0.08
ComplementNB,0.27 $\pm$ 0.02,0.34 $\pm$ 0.03,0.36 $\pm$ 0.04,0.46 $\pm$ 0.08,0.43 $\pm$ 0.03,0.45 $\pm$ 0.01
KNN,0.27 $\pm$ 0.04,0.28 $\pm$ 0.02,0.32 $\pm$ 0.02,0.33 $\pm$ 0.02,0.35 $\pm$ 0.02,0.39 $\pm$ 0.02
LinearSVM,0.32 $\pm$ 0.00,0.31 $\pm$ 0.02,0.38 $\pm$ 0.03,0.40 $\pm$ 0.06,0.37 $\pm$ 0.02,0.45 $\pm$ 0.04
LogisticRegression,0.31 $\pm$ 0.02,0.37 $\pm$ 0.02,0.41 $\pm$ 0.02,0.43 $\pm$ 0.02,0.38 $\pm$ 0.01,0.42 $\pm$ 0.02
LogisticRegressionElasticNet,0.30 $\pm$ 0.02,0.36 $\pm$ 0.01,0.38 $\pm$ 0.03,0.37 $\pm$ 0.04,0.42 $\pm$ 0.01,0.44 $\pm$ 0.00
LogisticRegressionLasso,0.33 $\pm$ 0.02,0.40 $\pm$ 0.06,0.42 $\pm$ 0.02,0.39 $\pm$ 0.02,0.39 $\pm$ 0.03,0.42 $\pm$ 0.01
LogisticRegressionRidge,0.29 $\pm$ 0.00,0.33 $\pm$ 0.02,0.35 $\pm$ 0.03,0.41 $\pm$ 0.03,0.46 $\pm$ 0.03,0.50 $\pm$ 0.03
Multi-label ARAM,0.09 $\pm$ 0.01,0.12 $\pm$ 0.06,0.12 $\pm$ 0.05,0.16 $\pm$ 0.06,0.16 $\pm$ 0.03,0.23 $\pm$ 0.04
Multilabel k Nearest Neighbours,0.30 $\pm$ 0.02,0.37 $\pm$ 0.02,0.39 $\pm$ 0.03,0.49 $\pm$ 0.01,0.39 $\pm$ 0.07,**0.56 $\pm$ 0.05**
NaiveBayes,0.28 $\pm$ 0.01,0.36 $\pm$ 0.03,0.41 $\pm$ 0.01,0.44 $\pm$ 0.04,0.45 $\pm$ 0.01,0.48 $\pm$ 0.01
RandomForest,0.24 $\pm$ 0.02,0.26 $\pm$ 0.01,0.31 $\pm$ 0.02,0.45 $\pm$ 0.09,0.38 $\pm$ 0.03,0.47 $\pm$ 0.02
RidgeClassifier,0.26 $\pm$ 0.01,0.44 $\pm$ 0.01,0.54 $\pm$ 0.02,0.50 $\pm$ 0.03,0.46 $\pm$ 0.01,0.52 $\pm$ 0.03
SVM,0.30 $\pm$ 0.01,0.39 $\pm$ 0.06,0.45 $\pm$ 0.01,0.44 $\pm$ 0.04,0.45 $\pm$ 0.06,0.50 $\pm$ 0.05
XGBoost,0.27 $\pm$ 0.01,0.28 $\pm$ 0.03,0.32 $\pm$ 0.03,0.40 $\pm$ 0.01,0.37 $\pm$ 0.03,0.45 $\pm$ 0.04
