language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,raw_text,Dummy Classifier,No Upsampling,DummyProbSampling,0.39067620808989734,0.2771127202687632,0.004866180048661801,0.38633896709458293,0.27532852039757605,0.39579468150896724,0.2795793988683207,0.4023630829756221,0.27800641405903986,0.0,0.42395897197210103,0.28282865056129897,0.39364303178484106,0.2866464085444446
en,raw_text,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4120309364015009,0.3216938931657242,0.0,0.38485225903769393,0.2766728306205878,0.49165120593692024,0.4827317595933402,0.434823026121119,0.31012427358963285,0.0,0.4255232621569909,0.2774237921301862,0.49144254278728605,0.4779627574679582
en,raw_text,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,raw_text,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.4582920657365998,0.3839839972260287,0.004866180048661801,0.5238622215247574,0.3560497679007624,0.8014842300556586,0.9025905544166479,0.4658108709819974,0.35127846661953244,0.0,0.5527946082784819,0.3448285957856397,0.7750611246943765,0.8867037724180581
en,raw_text,KNN,No Upsampling,kNN,0.623657052083526,0.5219896929153343,0.1070559610705596,0.8898296224765196,0.8651622027862811,0.518243661100804,0.43798262624304635,0.44635837301150766,0.31978973108353165,0.02912621359223301,0.7230840716875105,0.5226408637037363,0.34474327628361856,0.2685432985385926
en,raw_text,KNN,Random Oversampling,kNN_ROS,0.7128988915329436,0.6744120366918065,0.046228710462287104,0.7672513984942118,0.6529742268324876,0.7464440321583179,0.8370149316323582,0.5429185158596993,0.4215120543823341,0.0,0.6678918822183254,0.46204665838024866,0.5232273838630807,0.5348062494971247
en,raw_text,KNN,SMOTE,kNN_SMOTE,0.42959549185750795,0.36705328274382676,0.0072992700729927005,0.5242526992779116,0.3556149404455198,0.7705627705627706,0.8869191268740506,0.44154675661571335,0.3376730632140646,0.0,0.5505312934877922,0.3431576915631484,0.7506112469437652,0.8737167594310451
en,raw_text,KNN,SVMSMOTE,kNN_SVMSMOTE,0.44194507631740054,0.3744205076345634,0.0072992700729927005,0.5167443906466422,0.35352400165127723,0.7736549165120594,0.886088994951829,0.4398601669276773,0.3379629166893517,0.0,0.4739916727028761,0.3085333493738953,0.7481662591687042,0.8724180581323439
en,raw_text,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679377451200471,0.5452829900950412,0.10679611650485436,0.7464285316359878,0.676397218446725,0.6405867970660146,0.49432156900903573
en,raw_text,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679377451200471,0.5452829900950412,0.10679611650485436,0.7464285316359878,0.676397218446725,0.6405867970660146,0.49432156900903573
en,raw_text,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679377451200471,0.5452829900950412,0.10679611650485436,0.7464285316359878,0.676397218446725,0.6405867970660146,0.49432156900903573
en,raw_text,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679377451200471,0.5452829900950412,0.10679611650485436,0.7464285316359878,0.676397218446725,0.6405867970660146,0.49432156900903573
en,raw_text,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679377451200471,0.5452829900950412,0.10679611650485436,0.7464285316359878,0.676397218446725,0.6405867970660146,0.49432156900903573
en,raw_text,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6832199870364379,0.553988355963898,0.0970873786407767,0.7427412987966417,0.649990107983492,0.6454767726161369,0.5071952033112415
en,raw_text,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6779678292119806,0.5440750010893385,0.10679611650485436,0.7558625775860249,0.6892739504512966,0.6308068459657702,0.4824291308743617
en,raw_text,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6853202384331384,0.568406468866023,0.0970873786407767,0.7422510016611874,0.6590753774296162,0.6479217603911981,0.5185685866566746
en,raw_text,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6826285693714876,0.5456548983583017,0.0970873786407767,0.7381271491830721,0.6403275060089042,0.6479217603911981,0.4995653331813714
en,raw_text,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6938422835719008,0.5911442226937192,0.08737864077669903,0.7512123274113048,0.6921314724362304,0.6577017114914425,0.5406651064240019
en,raw_text,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6725142120552636,0.555821565509719,0.08737864077669903,0.7562900664988085,0.6790707675720192,0.6185819070904646,0.4870185552966129
en,raw_text,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.664167976103629,0.5273479625238002,0.0970873786407767,0.7748925025667079,0.7527513656977943,0.6063569682151589,0.4470342799900378
en,raw_text,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6826035395930558,0.579867574227995,0.06796116504854369,0.7552131592060398,0.684386936592819,0.6332518337408313,0.5164810043639251
en,raw_text,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6846722479526453,0.5815961240608205,0.10679611650485436,0.77048292765312,0.7071966335941492,0.6308068459657702,0.5106070235659322
en,raw_text,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6823936387457886,0.5996764299671636,0.07766990291262135,0.7587880496179925,0.7362115347802343,0.6332518337408313,0.5261241577144713
en,raw_text,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6371673141810978,0.5093648894852347,0.04854368932038835,0.6980772483613533,0.5823175120487216,0.5965770171149144,0.4674607895507695
en,raw_text,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6339979307460023,0.5088110775266552,0.06796116504854369,0.7095507682620741,0.6096597227590991,0.589242053789731,0.46390818622564617
en,raw_text,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6429829064075225,0.5294838539987586,0.038834951456310676,0.7044146784285248,0.613183430858219,0.6039119804400978,0.49636376678153066
en,raw_text,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6401081927140959,0.5131586669976523,0.06796116504854369,0.7105135245500157,0.6137600043391175,0.5965770171149144,0.468368618676035
en,raw_text,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6448308454245575,0.5256462046601421,0.05825242718446602,0.7142594781669258,0.6327645892324787,0.6014669926650367,0.4789122307268735
en,raw_text,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6905099736750672,0.5962833165675505,0.0970873786407767,0.7580897205383605,0.6991250607067195,0.6454767726161369,0.5388350265659716
en,raw_text,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6814433706100275,0.5487469453994579,0.11650485436893204,0.764593744182224,0.7196875843999694,0.6332518337408313,0.4845781723091174
en,raw_text,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6994395331282698,0.6074875724914616,0.10679611650485436,0.7670073800027417,0.7136281386192691,0.6552567237163814,0.5505820561321502
en,raw_text,LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6870168952285681,0.5850843454346408,0.0970873786407767,0.7524565889708942,0.6811445718078634,0.6430317848410758,0.5306774630892592
en,raw_text,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.699878589399998,0.6158614120509437,0.08737864077669903,0.7610585489039722,0.7169696035749562,0.6601466992665037,0.5618465575706096
en,raw_text,NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.835650207708618,0.7497358557009932,0.1873479318734793,0.782388457397451,0.667504335261914,0.9183673469387755,0.9056007227647157,0.7070466788781881,0.576073246810308,0.019417475728155338,0.6880593024760412,0.5221894269955484,0.7555012224938875,0.7273706981926159
en,raw_text,NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.8277207435557637,0.7383890872136897,0.17761557177615572,0.779211432239573,0.6592341512706444,0.904143475572047,0.8888976444895084,0.7158731984365143,0.5835530248765988,0.02912621359223301,0.6972336050428077,0.5299165963358793,0.7652811735941321,0.7351663062570016
en,raw_text,NaiveBayes,No Upsampling,ComplementNaiveBayes,0.7540225697573664,0.6023405218319325,0.26763990267639903,0.9162718218664216,0.9433105934488996,0.7087198515769945,0.525465428376337,0.6497564377775523,0.46259870736281367,0.11650485436893204,0.8107225382871927,0.6987088476022077,0.5916870415647921,0.3930295098253209
en,raw_text,NaiveBayes,No Upsampling,NaiveBayes,0.6913810257305102,0.4887939794521189,0.2116788321167883,0.8416708908422988,0.671153803669836,0.647495361781076,0.4348556827444982,0.5912317430577961,0.3757985720135543,0.08737864077669903,0.7477968685296228,0.5642558117039542,0.5403422982885085,0.3239674731818089
en,raw_text,NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.8442114698060014,0.767273461540478,0.20194647201946472,0.8011513759795171,0.689986410011578,0.9183673469387755,0.9345036819774946,0.702596743878682,0.5699135552446192,0.02912621359223301,0.6899937548039522,0.5209381661870334,0.7457212713936431,0.7259953955087993
en,raw_text,NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.8463121764937779,0.7732723610569497,0.20437956204379562,0.7997118442006269,0.691563501943412,0.9251700680272109,0.9457336876774651,0.7168914561714941,0.5844778448363052,0.038834951456310676,0.6983865494589961,0.5306190017195139,0.7677261613691931,0.7474989690288713
en,raw_text,NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.8408101347242111,0.7685262720499271,0.20924574209245742,0.7998058087530389,0.6931648021585076,0.9103277674706246,0.9249882674982779,0.7188823652534764,0.5837435996697378,0.02912621359223301,0.7070850443395194,0.5352858937059566,0.7603911980440098,0.7364496315347975
en,raw_text,NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.8403720912225717,0.7660649320518053,0.2116788321167883,0.8006476082834274,0.6920271849328945,0.9097093382807668,0.9250389921349395,0.704584083812059,0.5724900035732611,0.019417475728155338,0.6930911862843184,0.5230255265295188,0.7457212713936431,0.7275557003245346
en,raw_text,RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6544443402460668,0.48823401573074665,0.11650485436893204,0.7600395246297235,0.6427934556816546,0.6014669926650367,0.42231700060135957
en,raw_text,RandomForest,No Upsampling,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6385787768487726,0.42781131729681326,0.1262135922330097,0.785798389752525,0.6063042959594683,0.5843520782396088,0.3709693857899965
en,raw_text,RandomForest,Random Oversampling,RandomForest_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6563489912728988,0.46172163478381195,0.14563106796116504,0.7493260769800154,0.5805662502936565,0.60880195599022,0.40882004684523315
en,raw_text,RandomForest,SMOTE,RandomForest_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6442690792804392,0.4600028810828021,0.07766990291262135,0.7513036465880562,0.6233618631990481,0.5916870415647921,0.39812291208404627
en,raw_text,RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6546008401003742,0.4868264556266931,0.14563106796116504,0.7660323169723604,0.6980822848996888,0.6014669926650367,0.4154518883411105
