language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.39788538474983204,0.28753425270920524,0.0,0.3976061641785289,0.2880818142691712,0.39888682745825604,0.28763768923588656,0.4329744196004192,0.29025709171826497,0.0,0.4602214998019839,0.301007417904295,0.4156479217603912,0.28737772008460366
en,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4109074759018202,0.3217969333558086,0.0,0.38524966168851754,0.2772131475244566,0.4897959183673469,0.47965743635503966,0.42852576599636233,0.31808281789096216,0.0,0.420893373039742,0.2812291531602106,0.4938875305623472,0.5270269415765182
en,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,title_and_10_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.5022499903667269,0.4219786204984288,0.0024330900243309003,0.5336198789883771,0.37411484418654833,0.8410636982065554,0.9032347118773387,0.47676020319785145,0.362820751875334,0.0,0.518848649987785,0.3294774788813877,0.7970660146699267,0.8830344258915687
en,title_and_10_sentences,KNN,No Upsampling,kNN,0.45075371117340324,0.3077772267720006,0.05596107055961071,0.7815703536812659,0.689503876170843,0.43846629560915273,0.2748851210086508,0.32891445629057137,0.19082112255289047,0.019417475728155338,0.4820095391145284,0.2879027737938629,0.35207823960880197,0.19465206779036565
en,title_and_10_sentences,KNN,Random Oversampling,kNN_ROS,0.69485227512457,0.7110796601549145,0.0170316301703163,0.7710936275181465,0.7377226616158634,0.7637600494743352,0.8276491962979177,0.4122036011325508,0.3007163492102614,0.009708737864077669,0.5464039201022793,0.3579538649941828,0.5012224938875306,0.4301656807022693
en,title_and_10_sentences,KNN,SMOTE,kNN_SMOTE,0.4694035279759298,0.38538670200617503,0.0024330900243309003,0.4913842991088829,0.33490558867688797,0.8484848484848485,0.9301020958545231,0.47837624792531286,0.3566315095308889,0.0,0.4557767081537358,0.29583192518121987,0.8288508557457213,0.9148268398268398
en,title_and_10_sentences,KNN,SVMSMOTE,kNN_SVMSMOTE,0.4984774662646248,0.4214442725032467,0.0024330900243309003,0.5474244346037733,0.3833992465842292,0.8181818181818182,0.8900941223081776,0.4584910847055274,0.3545665704495305,0.0,0.5331448863623847,0.3360279234585823,0.7555012224938875,0.8640898783755926
en,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.650643913776701,0.47225916227804265,0.10679611650485436,0.745170719329386,0.6165613566418864,0.5965770171149144,0.4113802876101545
en,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.650643913776701,0.47225916227804265,0.10679611650485436,0.745170719329386,0.6165613566418864,0.5965770171149144,0.4113802876101545
en,title_and_10_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.650643913776701,0.47225916227804265,0.10679611650485436,0.745170719329386,0.6165613566418864,0.5965770171149144,0.4113802876101545
en,title_and_10_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.650643913776701,0.47225916227804265,0.10679611650485436,0.745170719329386,0.6165613566418864,0.5965770171149144,0.4113802876101545
en,title_and_10_sentences,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.650643913776701,0.47225916227804265,0.10679611650485436,0.745170719329386,0.6165613566418864,0.5965770171149144,0.4113802876101545
en,title_and_10_sentences,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6520748665716988,0.4800085248227702,0.0970873786407767,0.745044294883734,0.6249615583262392,0.5990220048899756,0.4170100217733233
en,title_and_10_sentences,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6462998229238983,0.4692837912453478,0.0970873786407767,0.7374239584509275,0.6088099144950802,0.5965770171149144,0.4120373805429181
en,title_and_10_sentences,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6529217732965139,0.47469102490096243,0.07766990291262135,0.7363790048684544,0.6110751270115016,0.6063569682151589,0.4172660677624868
