language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.3868625169738225,0.27526153806726367,0.0,0.38657361469449675,0.2752546948134702,0.3877551020408163,0.2758672762070087,0.38429432743999226,0.24464577323236766,0.0,0.4010431274240842,0.24915441634444324,0.3740831295843521,0.24483741364134246
en,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4221989846730877,0.3270880833015665,0.0,0.389502307476607,0.27889505191085845,0.507730364873222,0.4968457001409598,0.43025484795185914,0.314237402548935,0.0,0.4181076344527456,0.2796314642715119,0.49144254278728605,0.470770854603857
en,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.41598784520262383,0.3593104146668069,0.004866180048661801,0.515817801637863,0.3504263082074856,0.7637600494743352,0.877173429412644,0.4237611744125552,0.3285717813919379,0.0,0.3925785100352252,0.26951511980356885,0.7408312958435208,0.8685219542362399
en,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.6033396297914307,0.42459565236656166,0.10948905109489052,0.8608963733304003,0.7579123052586337,0.5318491032776747,0.3528962363462515,0.3947367874495226,0.2607429150960995,0.009708737864077669,0.6498297046712417,0.5383781537420351,0.33007334963325186,0.20540645084440026
en,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.6835327885721425,0.7287288795789585,0.046228710462287104,0.8545546215303527,0.7815923985305135,0.7136672850958565,0.8220570591767903,0.4010168719405669,0.3426136397581267,0.0,0.6385923079775876,0.4639192106450708,0.41075794621026895,0.418749326369948
en,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.46252246388923346,0.38149123959857384,0.004866180048661801,0.5156783139886102,0.3477658912655924,0.8280766852195424,0.9193662902054026,0.46013404536724145,0.3461492125879701,0.0,0.3700416020543264,0.25655186749827186,0.7872860635696821,0.8931972789115646
en,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.46728300335663725,0.38825593052181145,0.004866180048661801,0.5193122724993866,0.3525790571583797,0.8268398268398268,0.9125409744889269,0.4658461127660825,0.3508901863325339,0.0,0.3647553891289618,0.254811783236896,0.7995110024449877,0.8996907854050712
en,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6491560569202929,0.4906268234134992,0.11650485436893204,0.7341826947123222,0.6437547367431821,0.6063569682151589,0.4390608519057787
en,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6491560569202929,0.4906268234134992,0.11650485436893204,0.7341826947123222,0.6437547367431821,0.6063569682151589,0.4390608519057787
