language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,title,Dummy Classifier,No Upsampling,DummyProbSampling,0.38912001191020906,0.28631973681540895,0.0,0.3884634956664661,0.28550352902344794,0.39022881880024735,0.28779103187015653,0.4020895311925982,0.2628512311740937,0.009708737864077669,0.43438568737389244,0.27877972357935693,0.37897310513447435,0.2529615809627381
en,title,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4285027951505966,0.34115673664770785,0.0,0.40041977605372625,0.29243362722741145,0.5132962275819418,0.5221901713174254,0.4268898728830519,0.3156855893046383,0.0,0.4253230704161587,0.2839606166521165,0.48166259168704156,0.5114873312713261
en,title,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2035383590482129,0.10199486851217235,0.0024330900243309003,0.15940727098182783,0.07959680222453946,0.28324056895485467,0.14285714285714285,0.21053891527858207,0.10394561973027734,0.0,0.16602179125026703,0.08183079056865464,0.2885085574572127,0.14285714285714285
en,title,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.48362074716233205,0.39809500151254634,0.0,0.5519548317681585,0.4118007934789544,0.7884972170686456,0.7886112950408506,0.4745810732723646,0.33908562460701014,0.0,0.518726896701954,0.33225355158005787,0.7530562347188264,0.7491799342339396
en,title,KNN,No Upsampling,kNN,0.46549943424946405,0.42624659411842253,0.029197080291970802,0.8486939942542818,0.8322883060579426,0.48855905998763144,0.431695195788883,0.37648510526780665,0.22664895992067416,0.038834951456310676,0.5060699360680132,0.3182906199370394,0.4254278728606357,0.2695412070569606
en,title,KNN,Random Oversampling,kNN_ROS,0.7401529696993905,0.8034797727295627,0.11192214111922141,0.8618314438773359,0.8742496628072381,0.743351886209029,0.8135552920897015,0.44394097856788,0.3309079073354194,0.019417475728155338,0.5627488131859094,0.40020126881197393,0.4841075794621027,0.37775127263144065
en,title,KNN,SMOTE,kNN_SMOTE,0.5018565684162706,0.48095738206771693,0.0,0.5495706848402423,0.44739489402779636,0.8330241187384044,0.9076621099977056,0.4896738147959169,0.38502738695348,0.0,0.519148424276245,0.34996614824561495,0.7921760391198044,0.8357578278027147
en,title,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.9848857369520425,0.9726762278292088,0.9708029197080292,0.9796344611026098,0.9557933645439498,0.9913419913419913,0.9932860657084926,0.5930047325541408,0.43655916899127684,0.038834951456310676,0.6186619036819926,0.4504096295901407,0.5916870415647921,0.45980155801104916
en,title,LinearSVM,No Upsampling,LinearSVM,0.9885016748976121,0.9835607892143609,0.9708029197080292,0.9916636744030863,0.9900950593389457,0.9857761286332715,0.9780264156829942,0.5924521744782784,0.4441843018947099,0.07766990291262135,0.6541188919985639,0.5138263057915825,0.5476772616136919,0.40358217205942565
en,title,LinearSVM,Random Oversampling,LinearSVM_ROS,0.9831535856948637,0.9703452787271599,0.9708029197080292,0.9745189356766198,0.9493840127508594,0.9931972789115646,0.9952939359146017,0.5922038586794262,0.4355726885447123,0.07766990291262135,0.647531464851666,0.4871535314186754,0.5501222493887531,0.40066930478485624
en,title,LinearSVM,SMOTE,LinearSVM_SMOTE,0.9848916546598236,0.9726795457673093,0.9708029197080292,0.9790453110236639,0.9554630401064825,0.9919604205318491,0.9936328063464953,0.5879109458759497,0.4405761539319318,0.019417475728155338,0.6093917031703958,0.4465213598278637,0.5941320293398533,0.48572185520794214
en,title,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.9875647984905243,0.9797869071524845,0.9708029197080292,0.9875097656423348,0.9750921671564318,0.9882498453927026,0.9864911818563342,0.5917333098138388,0.4370715020964404,0.06796116504854369,0.6217066878946655,0.4671377186763434,0.5794621026894865,0.4323857294247016
en,title,LogisticRegression,No Upsampling,LogisticRegression,0.9885016748976121,0.9835607892143609,0.9708029197080292,0.9916636744030863,0.9900950593389457,0.9857761286332715,0.9780264156829942,0.5919327321410477,0.44070697494274363,0.07766990291262135,0.6440403939978724,0.4941600335009128,0.5525672371638142,0.4066216857372372
en,title,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.9814134003100228,0.9683972237337154,0.9708029197080292,0.9706139720927847,0.9446748213820042,0.9938157081014224,0.99633415782861,0.5943112788385547,0.43979382092272695,0.07766990291262135,0.6474475721215106,0.4863320965944853,0.5550122249388753,0.4105325816457995
en,title,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.9864376997284953,0.9784585407543789,0.9708029197080292,0.9835670364637566,0.9704453791959645,0.9901051329622759,0.988677770777617,0.5720332563831718,0.4281044124768113,0.038834951456310676,0.5967767815779733,0.44248122531900985,0.5623471882640587,0.43982736307980386
