language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.27397329508579155,0.21466104003580813,0.0,0.2803866748962691,0.22133001877537106,0.2693069306930693,0.21015963666781887,0.2380371979914314,0.16699407889339238,0.0,0.245093388232486,0.16992033655567493,0.23809523809523808,0.16939703153988867
fr,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.3091380224096865,0.25756832239310257,0.0,0.24848762296059168,0.19400596317220056,0.4594059405940594,0.4604741796117294,0.36468131057244335,0.3118077549852766,0.0,0.30030934921076946,0.2364943382988496,0.5317460317460317,0.5398314780457637
fr,title_and_first_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.41935031839655457,0.334903373497858,0.0,0.2762370551310307,0.2128679991925779,0.9722772277227723,0.9285714285714286,0.43026448145046525,0.32735143883199325,0.0,0.29621994068601976,0.21192324909275104,0.9365079365079365,0.8610544217687075
fr,title_and_first_paragraph,KNN,No Upsampling,kNN,0.33747038761430986,0.19858908038888987,0.03550295857988166,0.5408925935328576,0.386633428300095,0.37425742574257426,0.21340829179175044,0.25594279329423636,0.13082733419866574,0.023809523809523808,0.22135349635349635,0.11531991174848318,0.30952380952380953,0.15569573283858998
fr,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,0.7954154644987341,0.8272827253712746,0.0650887573964497,0.7878463526511724,0.8188986191517023,0.8831683168316832,0.9117197839754231,0.43316991785577047,0.334695781137316,0.0,0.37782664723908965,0.3025569092965406,0.5714285714285714,0.4549165120593693
fr,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.42287452137198234,0.3452428943511188,0.0,0.27801985158979137,0.21827711636248132,1.0,1.0,0.43514969130719866,0.33816502946879234,0.0,0.3001418037766531,0.21764825689958647,0.9682539682539683,0.9605442176870749
fr,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3187120825341631,0.23258360815590606,0.047619047619047616,0.400011115557334,0.29680872348939574,0.2857142857142857,0.20787724180581324
fr,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3187120825341631,0.23258360815590606,0.047619047619047616,0.400011115557334,0.29680872348939574,0.2857142857142857,0.20787724180581324
fr,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3187120825341631,0.23258360815590606,0.047619047619047616,0.400011115557334,0.29680872348939574,0.2857142857142857,0.20787724180581324
