language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,title,Dummy Classifier,No Upsampling,DummyProbSampling,0.2525882066403964,0.1844080724518163,0.0,0.2526243810775952,0.18405865224089407,0.25346534653465347,0.18577561315287983,0.2943511125761966,0.21324535549059626,0.0,0.33222877268929896,0.2528323650034176,0.29365079365079366,0.21624768089053803
fr,title,Dummy Classifier,No Upsampling,DummyUniformSampling,0.3207236463641394,0.2631915746645898,0.0,0.2600145767455973,0.19943836603676207,0.47326732673267324,0.4733231486681287,0.38860158657445987,0.30998118913864164,0.0,0.31725635576918765,0.23492989790324995,0.5634920634920635,0.5309029066171923
fr,title,Dummy Classifier,No Upsampling,DummyMostFrequent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,title,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.42133225095002463,0.3394927922913067,0.0,0.27758253424654783,0.21503300616225718,1.0,1.0,0.41255306678430004,0.33941238050019545,0.0,0.2937428873209571,0.22417892815969395,0.8492063492063492,0.8778014842300558
fr,title,KNN,No Upsampling,kNN,0.2864259643409819,0.21388596983300986,0.10650887573964497,0.6950968739407878,0.5797944235969446,0.23366336633663368,0.17956677407805227,0.2300894872323444,0.15899338756481615,0.023809523809523808,0.3126839624738785,0.19175670268107245,0.21428571428571427,0.16081168831168832
fr,title,KNN,Random Oversampling,kNN_ROS,0.6635132603408985,0.678522149394022,0.1301775147928994,0.7042441979217102,0.6404946251932737,0.7227722772277227,0.8300402104161503,0.33126266248803193,0.29557823334301164,0.047619047619047616,0.367801376442833,0.27876765857858293,0.38095238095238093,0.4091125541125541
fr,title,KNN,SMOTE,kNN_SMOTE,0.4205738446766122,0.33828468009945784,0.0,0.27707923976867843,0.2142506328531868,1.0,1.0,0.4136508083597654,0.33285448580119886,0.0,0.2917634809065532,0.21802860363133794,0.8650793650793651,0.8852365491651207
fr,title,KNN,SVMSMOTE,kNN_SVMSMOTE,0.4233570311723946,0.3411068640841358,0.0,0.27936860534621066,0.21635057822236856,1.0,1.0,0.41243594490832786,0.3374605211737371,0.0,0.29491626112191,0.22403953225381795,0.8253968253968254,0.8498144712430429
fr,title,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2482400397038666,0.19690653891972354,0.0,0.33521231854565187,0.2792429792429792,0.23809523809523808,0.1868630179344465
fr,title,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2482400397038666,0.19690653891972354,0.0,0.33521231854565187,0.2792429792429792,0.23809523809523808,0.1868630179344465
fr,title,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2482400397038666,0.19690653891972354,0.0,0.33521231854565187,0.2792429792429792,0.23809523809523808,0.1868630179344465
fr,title,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2482400397038666,0.19690653891972354,0.0,0.33521231854565187,0.2792429792429792,0.23809523809523808,0.1868630179344465
