language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyProbSampling,0.3828274444318189,0.31135528103370785,0.0070921985815602835,0.38492395530038337,0.31161833903186087,0.38190954773869346,0.3126789704835155,0.37304498690074067,0.29616119262055224,0.0,0.47833673109835895,0.3878452896310039,0.3313953488372093,0.2715095687397766
ge,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyUniformSampling,0.3862274340647974,0.33488689021507473,0.0,0.35711036331411505,0.2893646717982361,0.4623115577889447,0.45595954154642426,0.42294028860860783,0.373165137882099,0.0,0.441529591889139,0.354279995030769,0.45930232558139533,0.474390194674361
ge,title_and_10_sentences,Dummy Classifier,No Upsampling,DummyMostFrequent,0.16495777999294,0.09702138062016961,0.0,0.12489159746724163,0.0734549138804458,0.24288107202680068,0.14285714285714285,0.19125461685572054,0.10837593040982872,0.0,0.15564784053156144,0.08775510204081634,0.25,0.14285714285714285
ge,title_and_10_sentences,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.46637304372522514,0.40172864814335657,0.0,0.3458325472530229,0.2828827845717637,0.847571189279732,0.8561507936507936,0.505332178697877,0.42880506916171884,0.0,0.4918696492461027,0.37670116123372427,0.8255813953488372,0.8519736842105263
ge,title_and_10_sentences,KNN,No Upsampling,kNN,0.33497003121480295,0.2460375927942406,0.03546099290780142,0.5321453425073429,0.4226180953904518,0.37018425460636517,0.26472301976275414,0.26947407844761495,0.17917958341603663,0.0,0.3756339163572406,0.2593062224889956,0.29651162790697677,0.19022556390977444
ge,title_and_10_sentences,KNN,Random Oversampling,kNN_ROS,0.5336118356240972,0.6646456316283563,0.028368794326241134,0.7292261073587508,0.800607098478349,0.5728643216080402,0.6898589369540226,0.35161158710730317,0.3174132811019144,0.0,0.5659194232939643,0.5189076587572828,0.37790697674418605,0.3207453156701277
ge,title_and_10_sentences,KNN,SMOTE,kNN_SMOTE,0.4947482900580914,0.43069888466094197,0.0,0.3855778442094308,0.3134969271511308,0.8743718592964824,0.9265873015873015,0.5184747626423304,0.4534038214168868,0.0,0.5066125670669959,0.3954576148641275,0.8604651162790697,0.9144736842105263
ge,title_and_10_sentences,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38247659424985003,0.2580733089661661,0.0,0.45827689752108364,0.303283621140764,0.3430232558139535,0.2372198879551821
ge,title_and_10_sentences,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38247659424985003,0.2580733089661661,0.0,0.45827689752108364,0.303283621140764,0.3430232558139535,0.2372198879551821
ge,title_and_10_sentences,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38247659424985003,0.2580733089661661,0.0,0.45827689752108364,0.303283621140764,0.3430232558139535,0.2372198879551821
