language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.4021298699489023,0.3388479212295325,0.0,0.3991273370931635,0.3340320533813458,0.40871021775544386,0.34697339214672834,0.3291915415512047,0.24235264646529878,0.0,0.39391842008121075,0.28700891839989584,0.3023255813953488,0.22953769226989043
ge,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4134434885584765,0.36010442169751034,0.0,0.3709318734794774,0.3036208820323316,0.507537688442211,0.49901846384475984,0.47358161084873557,0.40478498204085034,0.0,0.4624229223199181,0.36769666706088644,0.5290697674418605,0.519578182150053
ge,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.16495777999294,0.09702138062016961,0.0,0.12489159746724163,0.0734549138804458,0.24288107202680068,0.14285714285714285,0.19125461685572054,0.10837593040982872,0.0,0.15564784053156144,0.08775510204081634,0.25,0.14285714285714285
ge,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.3678753280311895,0.3424337404695641,0.0,0.36304710512278554,0.29144565315447657,0.7336683417085427,0.7906066536203522,0.3786221527784205,0.36108333852236285,0.0,0.3725913621262459,0.31326530612244896,0.6918604651162791,0.7855054302422724
ge,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.47358900959928435,0.30963511359428886,0.07801418439716312,0.48992641586820945,0.3511191543531717,0.525963149078727,0.33847904196903084,0.2459673393451045,0.17141927507781166,0.0,0.2764616076752704,0.18008405285191,0.28488372093023256,0.22227443609022554
ge,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.7397568964749893,0.7503883098820292,0.014184397163120567,0.7690291381925906,0.7800109378703021,0.8693467336683417,0.8763314300079007,0.32575911780676386,0.27733679542041906,0.0,0.35831366535880893,0.28180349062702004,0.42441860465116277,0.4720238095238095
ge,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.5529887213123558,0.46794341829760305,0.0,0.5157855471497608,0.39301669336592776,0.8911222780569514,0.9361410089149815,0.44330647305330095,0.41478725053028614,0.0,0.4386052682001668,0.354986334709837,0.7674418604651163,0.8656537176274018
ge,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42642429455158953,0.31892212835821854,0.0,0.4635754592534689,0.3575205082032813,0.4186046511627907,0.3155040963753923
ge,title_and_first_sentence_each_paragraph,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42642429455158953,0.31892212835821854,0.0,0.4635754592534689,0.3575205082032813,0.4186046511627907,0.3155040963753923
ge,title_and_first_sentence_each_paragraph,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42642429455158953,0.31892212835821854,0.0,0.4635754592534689,0.3575205082032813,0.4186046511627907,0.3155040963753923
ge,title_and_first_sentence_each_paragraph,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42642429455158953,0.31892212835821854,0.0,0.4635754592534689,0.3575205082032813,0.4186046511627907,0.3155040963753923
ge,title_and_first_sentence_each_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4123092411464504,0.3056950192664479,0.0,0.4511969904240765,0.34149159663865547,0.4011627906976744,0.30185907696411896
ge,title_and_first_sentence_each_paragraph,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4387371273822235,0.3473415887080484,0.0,0.46749924864237447,0.3706569749111766,0.43023255813953487,0.3453510351509025
ge,title_and_first_sentence_each_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4068692608900687,0.29430784754093026,0.0,0.433859357696567,0.3128401360544218,0.4011627906976744,0.29686374549819927
ge,title_and_first_sentence_each_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41640985978195283,0.31272473343901913,0.0,0.46511627906976744,0.3601190476190476,0.4011627906976744,0.3048002534347072
ge,title_and_first_sentence_each_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4412338629918854,0.32947548855198416,0.0,0.48508688359064556,0.37026810724289716,0.42441860465116277,0.3212685074029612
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43108899524976374,0.3209245891854588,0.0,0.4666725393469579,0.37484933367286305,0.42441860465116277,0.31712799154749616
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41991655644394604,0.29121973427051984,0.0,0.44005565228205445,0.3014132925897632,0.4186046511627907,0.2992708486903533
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4294196488540151,0.3125509084588369,0.0,0.4484345852505907,0.32452253628724215,0.43023255813953487,0.3208873900437368
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4255578827419071,0.3135886818495514,0.0,0.44706659619450323,0.3339763177998472,0.42441860465116277,0.31712799154749616
ge,title_and_first_sentence_each_paragraph,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4293076457939956,0.30549895947411476,0.0,0.4528352500452723,0.3194436626325171,0.42441860465116277,0.31003515441264223
