language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
ge,title,Dummy Classifier,No Upsampling,DummyProbSampling,0.36518249326028734,0.307823492234326,0.0070921985815602835,0.37232722588748574,0.30974158898623516,0.3601340033500838,0.3081901679675162,0.34255618681762656,0.2619667990298497,0.0,0.3804331344570023,0.2888612223198689,0.31976744186046513,0.2496028235855746
ge,title,Dummy Classifier,No Upsampling,DummyUniformSampling,0.41507497918850467,0.35559485330044005,0.0,0.36152673671261176,0.2937769994147848,0.5209380234505863,0.5023776026110943,0.4344200573198563,0.38348400344279787,0.0,0.4027628776570013,0.33013799358589563,0.5174418604651163,0.5329443180781084
ge,title,Dummy Classifier,No Upsampling,DummyMostFrequent,0.16495777999294,0.09702138062016961,0.0,0.12489159746724163,0.0734549138804458,0.24288107202680068,0.14285714285714285,0.19125461685572054,0.10837593040982872,0.0,0.15564784053156144,0.08775510204081634,0.25,0.14285714285714285
ge,title,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.4207886450187245,0.3748349531905083,0.0,0.3600669695911006,0.29136617529446934,0.7738693467336684,0.8125,0.4222862997908196,0.3722638728385491,0.0,0.3717407374209435,0.295347613967217,0.6453488372093024,0.6823846205148726
ge,title,KNN,No Upsampling,kNN,0.5658541575400367,0.45704659945309645,0.02127659574468085,0.7636400622293751,0.687877545811516,0.5326633165829145,0.43359595031673503,0.3148376668547824,0.23338271152748255,0.0,0.42922167369414294,0.29679606691161314,0.28488372093023256,0.24268330139073171
ge,title,KNN,Random Oversampling,kNN_ROS,0.7462042808436452,0.7568883810628703,0.06382978723404255,0.7924209965913465,0.7517276227891355,0.7738693467336684,0.8311554651435167,0.3902195600596764,0.31897667879810737,0.0,0.4709460166693682,0.3751743969952535,0.37790697674418605,0.33713108050237645
ge,title,KNN,SMOTE,kNN_SMOTE,0.4269729119733733,0.3902989897825713,0.0,0.44968060132090143,0.35044064618040693,0.7989949748743719,0.881917264622744,0.439613552730307,0.40000005339936057,0.0,0.432855536279917,0.3451729849674052,0.686046511627907,0.742890050757145
ge,title,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33796665379744084,0.25746002134672474,0.0,0.47743390330599633,0.40323069787355503,0.3023255813953488,0.23465710845741805
ge,title,LinearSVM,No Upsampling,LinearSVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33796665379744084,0.25746002134672474,0.0,0.47743390330599633,0.40323069787355503,0.3023255813953488,0.23465710845741805
ge,title,LinearSVM,Random Oversampling,LinearSVM_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33796665379744084,0.25746002134672474,0.0,0.47743390330599633,0.40323069787355503,0.3023255813953488,0.23465710845741805
ge,title,LinearSVM,SMOTE,LinearSVM_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33796665379744084,0.25746002134672474,0.0,0.47743390330599633,0.40323069787355503,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33599757864095114,0.2561867847793705,0.0,0.47217365967365965,0.39982933732933734,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegression,No Upsampling,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3404533144236363,0.25906793724035493,0.0,0.47447501626280697,0.4013174325674326,0.3081395348837209,0.23841650695365862
ge,title,LogisticRegression,Random Oversampling,LogisticRegression_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33796665379744084,0.25746002134672474,0.0,0.47743390330599633,0.40323069787355503,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegression,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33599757864095114,0.2561867847793705,0.0,0.47217365967365965,0.39982933732933734,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.334205197209919,0.2506807837927382,0.0,0.42651398988608286,0.3248267605410463,0.3023255813953488,0.23465710845741805
ge,title,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28389444531542674,0.1941650705881504,0.0,0.4164604298072448,0.27265646706640495,0.25,0.18644957983193278
