language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
po,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyProbSampling,0.4117559972274198,0.35063458371834094,0.0064516129032258064,0.41569425059781173,0.3530835451003566,0.4095112285336856,0.35016699848100175,0.4248089150852789,0.3591783907238785,0.0,0.4637070251754717,0.38690605029890746,0.4029126213592233,0.3545745607775683
po,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyUniformSampling,0.4421521979398384,0.40007031028183027,0.0,0.4027136735460341,0.344095230093437,0.5270805812417437,0.5291831217511566,0.461453796759065,0.38528340332161165,0.0,0.4525748992717116,0.35757725829873105,0.5,0.4455626766716993
po,title_and_first_sentence_each_paragraph,Dummy Classifier,No Upsampling,DummyMostFrequent,0.2511785852876489,0.15477318476370958,0.0064516129032258064,0.19679550006391955,0.12119815668202764,0.3474240422721268,0.21428571428571427,0.28122326622015403,0.1649597200707844,0.0,0.2335075927308937,0.13553113553113552,0.3592233009708738,0.21428571428571427
po,title_and_first_sentence_each_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.3265444792276755,0.3491276756200649,0.0,0.33737921004295063,0.29939553534023583,0.6565389696169088,0.7880690737833594,0.32713804236123645,0.3600907752263467,0.0,0.2257903908389345,0.24175824175824176,0.6407766990291263,0.7857142857142857
po,title_and_first_sentence_each_paragraph,KNN,No Upsampling,kNN,0.4182811178496711,0.31054289046170735,0.07096774193548387,0.6874967741050964,0.5311954910169195,0.41215323645970936,0.3062915159148097,0.28485025077992365,0.2103098382210027,0.02564102564102564,0.37857626001149247,0.29365567077033244,0.2621359223300971,0.19362417031589962
po,title_and_first_sentence_each_paragraph,KNN,Random Oversampling,kNN_ROS,0.6781237260579958,0.7599286625275974,0.04516129032258064,0.8979121453998962,0.9170895412562986,0.6842800528401585,0.7491373095985353,0.336826722677665,0.31640995559062784,0.0,0.5711645499623798,0.563782179538482,0.3300970873786408,0.2951120308263166
po,title_and_first_sentence_each_paragraph,KNN,SMOTE,kNN_SMOTE,0.32225667204449837,0.3468478322555488,0.0,0.221099908315999,0.23066357605528112,0.6525759577278731,0.7857142857142857,0.3273168875324168,0.36021608850955467,0.0,0.22753298481453824,0.242979242979243,0.6359223300970874,0.782312925170068
po,title_and_first_sentence_each_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.3361252388666992,0.3577839564949398,0.0,0.454023864722627,0.3773588248595789,0.6578599735799208,0.7889296589812941,0.32758386067160017,0.3606446793987979,0.0,0.22824462201059034,0.24393217475924245,0.6310679611650486,0.7763605442176871
po,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5446242050866767,0.47037371150922697,0.0,0.675312035916321,0.6553081975495768,0.5242718446601942,0.43180816677057277
po,title_and_first_sentence_each_paragraph,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5446242050866767,0.47037371150922697,0.0,0.675312035916321,0.6553081975495768,0.5242718446601942,0.43180816677057277
