model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.000,0.000,0.000,0.000,0.000,0.000
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.000,0.000,0.000,0.000,0.000,0.000
ComplementNaiveBayes,RakelD Partitioning of labels,RakelD_ComplementNB,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyUniformSampling,0.000,0.000,0.000,0.000,0.000,0.000
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,No Upsampling,kNN,0.000,0.000,0.000,0.000,0.000,0.000
KNN,Random Oversampling,kNN_ROS,0.000,0.000,0.000,0.000,0.000,0.000
KNN,SMOTE,kNN_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.000,0.000,0,0,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.029
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0.000,0.000,0,0,0
LinearSVM,No Upsampling,LinearSVM,0.000,0.000,0.000,0.000,0.000,0.029
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.000,0.000,0.029,0.029,0.000,0.000
LinearSVM,Random Oversampling,LinearSVM_ROS,0.000,0.000,0.000,0.000,0.000,0.029
LinearSVM,SMOTE,LinearSVM_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.029
LogisticRegression,No Upsampling,LogisticRegression,0.000,0.000,0.000,0.000,0.000,0.029
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.000,0.000,0.000,0.029,0.000,0.000
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.000,0.029,0.000,0.000,0.000,0.029
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.000,0.029,0.000,0.000,0.000,0.029
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.000,0.029,0.000,0.000,0.000,0.029
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.000,0.000,0.000,0.000,0.000,0.029
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,**0.057**,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
Multilabel k Nearest Neighbours,Natively Multilabel,MLkNN,0.000,0.000,0.000,0.000,0.000,0.000
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
