model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.000,0.000,0.026,0.000,0.026,0.000
Dummy Classifier,No Upsampling,DummyUniformSampling,0.000,0.000,0.000,0.000,0.000,0.000
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,No Upsampling,kNN,0.000,0.026,0.000,0.000,0.132,0.053
KNN,Random Oversampling,kNN_ROS,0.000,0.000,0.026,0.000,0.000,0.000
KNN,SMOTE,kNN_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0,0,0,0.000,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0,0,0,0.053,0
LinearSVM,No Upsampling,LinearSVM,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,Random Oversampling,LinearSVM_ROS,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,SMOTE,LinearSVM_SMOTE,0.026,0.053,0.079,0.105,0.053,0.053
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.026,0.053,0.105,0.105,0.053,0.079
LogisticRegression,No Upsampling,LogisticRegression,0.026,0.053,0.079,0.105,0.053,0.079
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.026,0.053,0.079,0.079,0.053,0.053
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.026,0.053,0.105,0.105,0.053,0.053
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.000,0.053,0.053,0,0.053,0.053
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.026,0.000,0.053,0.053,0.053,0.158
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.026,0.000,0.079,0.053,0.053,0.132
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.026,0.026,0.053,0.053,0.053,0.158
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.026,0.000,0.053,0.053,0.053,0.132
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.026,0.000,0.026,0,0.053,0.105
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.026,0.000,0.026,0.079,0.105,0.105
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.026,0.000,0.026,0.053,0.105,0.105
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.026,0.000,0.000,0.053,0.105,0.105
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.026,0.026,0.026,0.053,0.079,0.105
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.026,0.000,0.026,0,0.079,0.079
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.026,0.053,0.105,0.105,0.079,0.079
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.000,0.053,0.053,0,0.079,0.053
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.000,0.000,0.105,0.079,0.026,0.026
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.000,0.000,0.079,0.105,0.026,0.026
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.026,0.026,0.079,0.053,0.079,0.053
NaiveBayes,No Upsampling,NaiveBayes,0.000,0.000,0.000,0.000,0.000,0.000
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.000,0.000,0.053,0.079,0.026,0.026
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.000,0.026,0.053,0.079,0.026,0.026
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.000,0.026,0.053,0.053,0.026,0.026
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.000,0.026,0.053,0.079,0.026,0.053
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.026,0.026,0.026,0.026,0.079,0.079
RandomForest,No Upsampling,RandomForest,0.000,0.026,0.000,0.026,0.053,0.079
RandomForest,Random Oversampling,RandomForest_ROS,0.026,0.026,0.026,0.026,0.132,0.132
RandomForest,SMOTE,RandomForest_SMOTE,0.000,0.000,0.053,0.053,0.079,0.105
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.000,0.000,0.026,0,0.053,0.079
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,No Upsampling,RidgeClassifier,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.000,0.053,0.053,0,0.053,0.053
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
SVM,No Upsampling,SVM_rbf,0.000,0.000,0.000,0.000,0.000,0.000
SVM,Random Oversampling,SVM_rbf_ROS,0.026,0.000,0.000,0.000,0.000,0.000
SVM,SMOTE,SVM_rbf_SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
