language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,Dummy Classifier,No Upsampling,DummyMostFrequent,raw_text,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyMostFrequent,title,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyMostFrequent,title_and_10_sentences,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyMostFrequent,title_and_5_sentences,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyMostFrequent,title_and_first_paragraph,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyMostFrequent,title_and_first_sentence_each_paragraph,2,0.2035383590482129,0.1019948685121723,0.0024330900243309,0.1594072709818278,0.0795968022245394,0.2832405689548546,0.1428571428571428,0.210538915278582,0.1039456197302773,0.0,0.166021791250267,0.0818307905686546,0.2885085574572127,0.1428571428571428
en,Dummy Classifier,No Upsampling,DummyProbSampling,raw_text,0,0.3906762080898973,0.2771127202687632,0.0048661800486618,0.3863389670945829,0.275328520397576,0.3957946815089672,0.2795793988683207,0.4023630829756221,0.2780064140590398,0.0,0.423958971972101,0.2828286505612989,0.393643031784841,0.2866464085444446
en,Dummy Classifier,No Upsampling,DummyProbSampling,title,0,0.389120011910209,0.2863197368154089,0.0,0.3884634956664661,0.2855035290234479,0.3902288188002473,0.2877910318701565,0.4020895311925982,0.2628512311740937,0.0097087378640776,0.4343856873738924,0.2787797235793569,0.3789731051344743,0.2529615809627381
en,Dummy Classifier,No Upsampling,DummyProbSampling,title_and_10_sentences,0,0.397885384749832,0.2875342527092052,0.0,0.3976061641785289,0.2880818142691712,0.398886827458256,0.2876376892358865,0.4329744196004192,0.2902570917182649,0.0,0.4602214998019839,0.301007417904295,0.4156479217603912,0.2873777200846036
en,Dummy Classifier,No Upsampling,DummyProbSampling,title_and_5_sentences,0,0.3803797982048864,0.2779610033517798,0.0,0.3818190321438031,0.2783042519938257,0.3797155225726654,0.278504852116132,0.4056816937354178,0.2735098326311565,0.0,0.4229942486923357,0.2801614651641605,0.3960880195599022,0.2724581332629113
