model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.310,0.403,0.347,0.273,0.312,0.334
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.218,0.222,0.207,0.205,0.200,0.202
ComplementNaiveBayes,RakelD Partitioning of labels,RakelD_ComplementNB,0.574,0.626,0.660,0.682,0.681,0.709
Dummy Classifier,No Upsampling,DummyMostFrequent,0.211,0.211,0.211,0.211,0.211,0.211
Dummy Classifier,No Upsampling,DummyProbSampling,0.402,0.410,0.406,0.433,0.384,0.402
Dummy Classifier,No Upsampling,DummyUniformSampling,0.427,0.459,0.437,0.429,0.430,0.435
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.475,0.463,0.469,0.477,0.424,0.466
KNN,No Upsampling,kNN,0.376,0.479,0.460,0.329,0.395,0.446
KNN,Random Oversampling,kNN_ROS,0.444,0.540,0.527,0.412,0.401,0.543
KNN,SMOTE,kNN_SMOTE,0.490,0.461,0.470,0.478,0.460,0.442
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.513,0.470,0.458,0.466,0.440
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.593,0.612,0.639,0.651,0.649,0.679
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0.612,0.639,0.651,0.649,0.679
LinearSVM,No Upsampling,LinearSVM,0.592,0.612,0.639,0.651,0.649,0.679
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.599,0.615,0.642,0.654,0.657,0.686
LinearSVM,Random Oversampling,LinearSVM_ROS,0.592,0.612,0.639,0.651,0.649,0.679
LinearSVM,SMOTE,LinearSVM_SMOTE,0.588,0.612,0.639,0.651,0.649,0.679
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.592,0.608,0.626,0.652,0.653,0.683
LogisticRegression,No Upsampling,LogisticRegression,0.592,0.610,0.626,0.646,0.636,0.678
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.594,0.608,0.626,0.653,0.650,0.685
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.572,0.601,0.628,0.644,0.652,0.683
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.589,0.618,0.620,0.651,0.659,0.694
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.580,0.609,0.628,0.631,0.663,0.673
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.576,0.611,0.619,0.616,0.658,0.664
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.584,0.607,0.631,0.629,0.666,0.683
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.589,0.609,0.632,0.628,0.659,0.685
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.604,0.612,0.638,0.640,0.669,0.682
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.545,0.599,0.618,0.615,0.628,0.637
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.555,0.601,0.610,0.601,0.615,0.634
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.546,0.605,0.613,0.609,0.621,0.643
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.541,0.603,0.611,0.614,0.623,0.640
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.555,0.615,0.624,0.624,0.655,0.645
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.610,0.629,0.629,0.651,0.645,0.691
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.598,0.618,0.616,0.642,0.634,0.681
LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,0.597,0.609,0.640,0.645,0.648,0.675
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.607,0.629,0.639,0.659,0.646,0.699
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.603,0.629,0.631,0.648,0.642,0.687
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.588,0.628,0.643,0.669,0.659,0.700
Multi-label ARAM,Natively Multilabel,MLARAM,0.014,0,0,0,0,0
Multilabel k Nearest Neighbours,Natively Multilabel,MLkNN,0.402,0.560,0.540,0.553,0.533,0.638
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.621,0.689,0.704,0.704,0.696,0.707
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.615,0.681,0.707,0.707,0.701,0.716
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.611,0.670,0.676,0.651,0.639,0.650
NaiveBayes,No Upsampling,NaiveBayes,0.451,0.573,0.584,0.581,0.587,0.591
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.629,0.695,0.713,0.712,0.693,0.703
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.631,0.691,0.718,0.702,0.713,0.717
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.623,0.686,0.710,0.706,0.704,**0.719**
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.619,0.694,0.716,0.711,0.710,0.705
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.550,0.599,0.626,0.629,0.646,0.654
RandomForest,No Upsampling,RandomForest,0.530,0.606,0.615,0.626,0.622,0.639
RandomForest,Random Oversampling,RandomForest_ROS,0.581,0.616,0.632,0.634,0.663,0.656
RandomForest,SMOTE,RandomForest_SMOTE,0.552,0.604,0.624,0.631,0.658,0.644
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.556,0.609,0.619,0.654,0.635,0.655
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.602,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,No Upsampling,RidgeClassifier,0.599,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.600,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.599,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.589,0.640,0.635,0.660,0.656,0.689
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.414,0.366,0.433,0.483,0.498,0.531
SVM,No Upsampling,SVM_rbf,0.416,0.391,0.436,0.468,0.490,0.535
SVM,RakelD Partitioning of labels,RakelD_SVM,0.326,0.394,0.469,0.505,0.443,0.490
SVM,Random Oversampling,SVM_rbf_ROS,0.467,0.472,0.489,0.518,0.541,0.569
SVM,SMOTE,SVM_rbf_SMOTE,0.404,0.360,0.425,0.497,0.492,0.530
SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.403,0.389,0.470,0.523,0.520,0.553
XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.477,0.581,0.603,0.596,0.615,0.632
XGBoost,No Upsampling,XGBoost_narrow,0.506,0.574,0.602,0.607,0.613,0.632
XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.512,0.600,0.610,0.600,0.633,0.631
