model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.171,0.022,0.000,0.022,0.016,0.022
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.106,0.135,0.101,0.124,0.101,0.101
ComplementNaiveBayes,RakelD Partitioning of labels,RakelD_ComplementNB,0.415,0.324,0.334,0.374,0.319,0.339
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.265,0.189,0.234,0.247,0.189,0.192
Dummy Classifier,No Upsampling,DummyUniformSampling,0.296,0.272,0.284,0.291,0.321,0.265
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.349,0.348,0.335,0.344,0.349,0.302
KNN,No Upsampling,kNN,0.193,0.140,0.070,0.036,0.123,0.121
KNN,Random Oversampling,kNN_ROS,0.358,0.311,0.249,0.253,0.196,0.173
KNN,SMOTE,kNN_SMOTE,0.356,0.368,0.349,0.349,0.349,0.349
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0,0,0,0.349,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.315,0.192,0.221,0.253,0.242,0.312
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0,0,0,0.242,0
LinearSVM,No Upsampling,LinearSVM,0.309,0.192,0.221,0.253,0.242,0.312
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.320,0.213,0.231,0.242,0.276,0.351
LinearSVM,Random Oversampling,LinearSVM_ROS,0.316,0.192,0.221,0.253,0.242,0.312
LinearSVM,SMOTE,LinearSVM_SMOTE,0.321,0.192,0.221,0.253,0.242,0.312
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.300,0.192,0.273,0.253,0.236,0.327
LogisticRegression,No Upsampling,LogisticRegression,0.309,0.212,0.271,0.261,0.239,0.305
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.301,0.209,0.264,0.243,0.251,0.309
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.302,0.201,0.279,0.243,0.240,0.312
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.303,0.264,0.234,0,0.295,0.297
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.290,0.180,0.205,0.256,0.278,0.340
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.279,0.158,0.195,0.235,0.267,0.285
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.286,0.220,0.189,0.255,0.263,0.343
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.290,0.191,0.205,0.230,0.276,0.340
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.308,0.205,0.221,0,0.251,0.334
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.294,0.223,0.211,0.373,0.347,0.373
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.294,0.213,0.178,0.377,0.344,0.337
