language,model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.310,0.403,0.347,0.273,0.312,0.334
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.218,0.222,0.207,0.205,0.200,0.202
en,ComplementNaiveBayes,RakelD Partitioning of labels,RakelD_ComplementNB,0.574,0.626,0.660,0.682,0.681,0.709
en,Dummy Classifier,No Upsampling,DummyMostFrequent,0.211,0.211,0.211,0.211,0.211,0.211
en,Dummy Classifier,No Upsampling,DummyProbSampling,0.402,0.410,0.406,0.433,0.384,0.402
en,Dummy Classifier,No Upsampling,DummyUniformSampling,0.427,0.459,0.437,0.429,0.430,0.435
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.475,0.463,0.469,0.477,0.424,0.466
en,KNN,No Upsampling,kNN,0.376,0.479,0.460,0.329,0.395,0.446
en,KNN,Random Oversampling,kNN_ROS,0.444,0.540,0.527,0.412,0.401,0.543
en,KNN,SMOTE,kNN_SMOTE,0.490,0.461,0.470,0.478,0.460,0.442
en,KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.513,0.470,0.458,0.466,0.440
en,LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.593,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,No Upsampling,LinearSVM,0.592,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.599,0.615,0.642,0.654,0.657,0.686
en,LinearSVM,Random Oversampling,LinearSVM_ROS,0.592,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,SMOTE,LinearSVM_SMOTE,0.588,0.612,0.639,0.651,0.649,0.679
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.592,0.608,0.626,0.652,0.653,0.683
en,LogisticRegression,No Upsampling,LogisticRegression,0.592,0.610,0.626,0.646,0.636,0.678
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.594,0.608,0.626,0.653,0.650,0.685
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.572,0.601,0.628,0.644,0.652,0.683
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.589,0.618,0.620,0.651,0.659,0.694
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.580,0.609,0.628,0.631,0.663,0.673
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.576,0.611,0.619,0.616,0.658,0.664
en,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.584,0.607,0.631,0.629,0.666,0.683
en,LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.589,0.609,0.632,0.628,0.659,0.685
en,LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.604,0.612,0.638,0.640,0.669,0.682
en,LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.545,0.599,0.618,0.615,0.628,0.637
en,LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.555,0.601,0.610,0.601,0.615,0.634
en,LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.546,0.605,0.613,0.609,0.621,0.643
en,LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.541,0.603,0.611,0.614,0.623,0.640
en,LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.555,0.615,0.624,0.624,0.655,0.645
en,LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.610,0.629,0.629,0.651,0.645,0.691
en,LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.598,0.618,0.616,0.642,0.634,0.681
en,LogisticRegressionRidge,RakelD Partitioning of labels,RakelD_LogisticRegression,0.597,0.609,0.640,0.645,0.648,0.675
en,LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.607,0.629,0.639,0.659,0.646,0.699
en,LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.603,0.629,0.631,0.648,0.642,0.687
en,LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.588,0.628,0.643,0.669,0.659,0.700
en,Multi-label ARAM,Natively Multilabel,MLARAM,0.014,0,0,0,0,0
