model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,DummyMostFrequent,0.166,0.166,0.166,0.166,0.166,0.166
Dummy Classifier,No Upsampling,DummyProbSampling,0.434,0.419,0.423,0.460,0.401,0.424
Dummy Classifier,No Upsampling,DummyUniformSampling,0.425,0.443,0.428,0.421,0.418,0.426
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.519,0.456,0.498,0.519,0.393,0.553
KNN,No Upsampling,kNN,0.506,0.394,0.495,0.482,0.650,0.723
KNN,Random Oversampling,kNN_ROS,0.563,0.506,0.552,0.546,0.639,0.668
KNN,SMOTE,kNN_SMOTE,0.519,0.502,0.498,0.456,0.370,0.551
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0.486,0.499,0.533,0.365,0.474
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.619,0.690,0.734,0.745,0.734,0.746
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0.690,0.734,0.745,0.734,0.746
LinearSVM,No Upsampling,LinearSVM,0.654,0.690,0.734,0.745,0.734,0.746
LinearSVM,Random Oversampling,LinearSVM_ROS,0.648,0.690,0.734,0.745,0.734,0.746
LinearSVM,SMOTE,LinearSVM_SMOTE,0.609,0.690,0.734,0.745,0.734,0.746
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.622,0.688,0.719,0.745,0.736,0.743
LogisticRegression,No Upsampling,LogisticRegression,0.644,0.674,0.736,0.737,0.707,0.756
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.647,0.693,0.714,0.736,0.731,0.742
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.597,0.688,0.719,0.744,0.732,0.738
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.622,0.669,0.682,0.709,0.723,0.751
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.664,0.698,0.723,0.744,0.746,0.756
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.682,0.702,0.730,0.731,0.741,0.775
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.668,0.680,0.717,0.740,0.731,0.755
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.664,0.687,0.732,0.742,0.735,0.770
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.664,0.684,0.729,0.721,0.731,0.759
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.660,0.673,0.714,0.707,0.697,0.698
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.689,0.672,0.709,0.719,0.714,0.710
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.669,0.677,0.703,0.702,0.700,0.704
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.639,0.674,0.705,0.713,0.697,0.711
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.674,0.679,0.697,0.685,0.702,0.714
