model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.332,0.245,0.305,0.267,0.357,0.322
Dummy Classifier,No Upsampling,DummyUniformSampling,0.317,0.300,0.281,0.300,0.308,0.292
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.294,0.296,0.276,0.285,0.317,0.297
KNN,No Upsampling,kNN,0.313,0.221,0.216,0.282,0.152,0.323
KNN,Random Oversampling,kNN_ROS,0.368,0.378,0.276,0.283,0.202,0.325
KNN,SMOTE,kNN_SMOTE,0.292,0.300,0.297,0.295,0.321,0.295
KNN,SVMSMOTE,kNN_SVMSMOTE,0.295,0,0,0,0,0.297
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.335,0.400,0.430,0.383,0.425,0.396
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0.335,0,0,0,0,0.396
LinearSVM,No Upsampling,LinearSVM,0.335,0.400,0.430,0.383,0.425,0.396
LinearSVM,Random Oversampling,LinearSVM_ROS,0.335,0.400,0.430,0.383,0.425,0.396
LinearSVM,SMOTE,LinearSVM_SMOTE,0.335,0.400,0.430,0.383,0.425,0.396
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.341,0.394,0.401,0.394,0.414,0.448
LogisticRegression,No Upsampling,LogisticRegression,0.338,0.405,0.465,0.419,0.397,0.405
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.353,0.390,0.424,0.406,0.405,0.402
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.354,0.417,0.401,0.387,0.425,0.407
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.364,0.442,0.394,0.378,0.383,0.407
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.366,0.475,0.445,0.570,0.473,0.468
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.358,0.529,0.431,0.556,0.438,0.405
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.366,0.563,0.435,0.548,0.462,0.482
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.366,0.487,0.410,0.588,0.465,0.480
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.358,0.569,0.443,0.545,0.498,0.493
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.456,0.536,0.443,0.461,0.422,0.461
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.454,**0.615**,0.416,0.378,0.424,0.455
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.458,0.583,0.534,0.423,0.439,0.468
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.453,0.607,0.447,0.417,0.427,0.456
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.442,0.514,0.523,0.437,0.443,0.451
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.364,0.398,0.431,0.383,0.378,0.488
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.379,0.407,0.440,0.416,0.400,0.391
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.384,0.463,0.410,0.499,0.407,0.485
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.379,0.402,0.408,0.459,0.420,0.477
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.342,0.396,0.417,0.410,0.343,0.375
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.388,0.404,0.410,0.448,0.410,0.527
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.412,0.398,0.429,0.456,0.450,0.501
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.334,0.423,0.469,0.410,0.400,0.538
NaiveBayes,No Upsampling,NaiveBayes,0.262,0.316,0.296,0.360,0.353,0.377
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.403,0.389,0.423,0.431,0.411,0.502
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.396,0.389,0.404,0.432,0.403,0.519
NaiveBayes,SMOTE,ComplementNaiveBayes_SMOTE,0.401,0.394,0.407,0.468,0.396,0.531
NaiveBayes,SMOTE,NaiveBayes_SMOTE,0.379,0.400,0.433,0.416,0.417,0.505
RandomForest,BorderlineSMOTE,RandomForest_BorderlineSMOTE,0.511,0.433,0.372,0.373,0.408,0.423
RandomForest,No Upsampling,RandomForest,0.490,0.332,0.380,0.504,0.398,0.387
RandomForest,Random Oversampling,RandomForest_ROS,0.446,0.399,0.467,0.430,0.412,0.405
RandomForest,SMOTE,RandomForest_SMOTE,0.496,0.361,0.385,0.401,0.438,0.404
RandomForest,SVMSMOTE,RandomForest_SVMSMOTE,0.469,0.348,0.392,0.344,0.424,0.409
RidgeClassifier,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.382,0.494,0.382,0.466,0.403,0.487
RidgeClassifier,No Upsampling,RidgeClassifier,0.382,0.494,0.382,0.466,0.403,0.487
RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,0.382,0.494,0.382,0.466,0.403,0.487
RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,0.382,0.494,0.382,0.466,0.403,0.487
RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.370,0.466,0.366,0.382,0.336,0.482
SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.234,0.000,0.000,0.000,0.111,0.000
SVM,No Upsampling,SVM_rbf,0.058,0.000,0.111,0.000,0.111,0.000
SVM,Random Oversampling,SVM_rbf_ROS,0.332,0.112,0.319,0.070,0.063,0.000
SVM,SMOTE,SVM_rbf_SMOTE,0.257,0.000,0.000,0.000,0.111,0.000
SVM,SVMSMOTE,SVM_rbf_SVMSMOTE,0.341,0.063,0.198,0.000,0.000,0.087
XGBoost,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.336,0.417,0.337,0.460,0.388,0.427
XGBoost,No Upsampling,XGBoost_narrow,0.351,0.396,0.403,0.363,0.371,0.471
XGBoost,Random Oversampling,XGBoost_narrow_ROS,0.339,0.356,0.417,0.394,0.379,0.510
XGBoost,SMOTE,XGBoost_narrow_SMOTE,0.404,0.355,0.363,0.386,0.353,0.502
XGBoost,SVMSMOTE,XGBoost_narrow_SVMSMOTE,0.343,0.375,0.362,0.397,0.418,0.394
