model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.252,0.352,0.313,0.374,0.304,0.352
Dummy Classifier,No Upsampling,DummyUniformSampling,0.487,0.500,0.461,0.491,0.470,0.487
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.922,0.852,**1.000**,0.952,0.839,**1.000**
KNN,No Upsampling,kNN,0.326,0.174,0.052,0.178,0.174,0.026
KNN,Random Oversampling,kNN_ROS,0.513,0.443,0.461,0.383,0.500,0.204
KNN,SMOTE,kNN_SMOTE,0.917,0.904,**1.000**,**1.000**,0.835,**1.000**
KNN,SVMSMOTE,kNN_SVMSMOTE,0.891,0.761,**1.000**,0,0.830,0.974
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.365,0.361,0.330,0.365,0.374,0.417
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0.365,0.361,0.330,0,0.374,0.417
LinearSVM,No Upsampling,LinearSVM,0.365,0.348,0.330,0.365,0.374,0.417
LinearSVM,Random Oversampling,LinearSVM_ROS,0.365,0.348,0.330,0.365,0.374,0.417
LinearSVM,SMOTE,LinearSVM_SMOTE,0.374,0.374,0.330,0.365,0.374,0.417
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.365,0.370,0.335,0.361,0.378,0.422
LogisticRegression,No Upsampling,LogisticRegression,0.361,0.343,0.296,0.357,0.378,0.387
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.365,0.357,0.339,0.365,0.374,0.409
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.357,0.335,0.343,0.374,0.370,0.404
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.430,0.361,0.348,0.357,0.391,0.439
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.291,0.330,0.335,0.343,0.422,0.387
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.287,0.309,0.313,0.335,0.387,0.374
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.296,0.330,0.339,0.343,0.435,0.400
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.300,0.330,0.339,0.343,0.435,0.387
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.309,0.357,0.339,0.361,0.443,0.443
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.265,0.352,0.283,0.361,0.404,0.430
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.261,0.343,0.278,0.348,0.396,0.417
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.278,0.343,0.287,0.374,0.430,0.457
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.261,0.357,0.278,0.378,0.413,0.439
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.283,0.361,0.348,0.400,0.461,0.470
LogisticRegressionRidge,BorderlineSMOTE,LogisticRegressionRidge_BorderlineSMOTE,0.409,0.413,0.370,0.400,0.361,0.409
LogisticRegressionRidge,No Upsampling,LogisticRegressionRidge,0.365,0.387,0.357,0.391,0.339,0.396
LogisticRegressionRidge,Random Oversampling,LogisticRegressionRidge_ROS,0.396,0.413,0.378,0.409,0.357,0.404
LogisticRegressionRidge,SMOTE,LogisticRegressionRidge_SMOTE,0.396,0.413,0.378,0.404,0.365,0.400
LogisticRegressionRidge,SVMSMOTE,LogisticRegressionRidge_SVMSMOTE,0.426,0.378,0.357,0.409,0.383,0.417
NaiveBayes,BorderlineSMOTE,ComplementNaiveBayes_BorderlineSMOTE,0.552,0.543,0.591,0.596,0.648,0.717
NaiveBayes,BorderlineSMOTE,NaiveBayes_BorderlineSMOTE,0.561,0.539,0.587,0.613,0.657,0.691
NaiveBayes,No Upsampling,ComplementNaiveBayes,0.426,0.361,0.352,0.357,0.391,0.348
NaiveBayes,No Upsampling,NaiveBayes,0.113,0.143,0.161,0.191,0.204,0.235
NaiveBayes,Random Oversampling,ComplementNaiveBayes_ROS,0.587,0.583,0.622,0.643,0.691,0.717
NaiveBayes,Random Oversampling,NaiveBayes_ROS,0.557,0.622,0.609,0.635,0.665,0.748
