model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.128,0.012,0.000,0.012,0.012,0.012
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.233,0.233,0.221,0.233,0.221,0.221
ComplementNaiveBayes,RakelD Partitioning of labels,RakelD_ComplementNB,0.453,0.349,0.302,0.360,0.302,0.326
Dummy Classifier,No Upsampling,DummyMostFrequent,0.000,0.000,0.000,0.000,0.000,0.000
Dummy Classifier,No Upsampling,DummyProbSampling,0.279,0.209,0.256,0.267,0.198,0.198
Dummy Classifier,No Upsampling,DummyUniformSampling,0.523,0.477,0.477,0.512,0.535,0.453
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.802,0.837,0.895,0.965,**1.000**,0.826
KNN,No Upsampling,kNN,0.198,0.105,0.105,0.023,0.198,0.116
KNN,Random Oversampling,kNN_ROS,0.488,0.465,0.302,0.302,0.384,0.267
KNN,SMOTE,kNN_SMOTE,0.849,0.907,0.965,**1.000**,**1.000**,**1.000**
KNN,SVMSMOTE,kNN_SVMSMOTE,0,0,0,0,**1.000**,0
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.291,0.163,0.163,0.186,0.186,0.233
LinearSVM,BorderlineSMOTE,LinearSVM_SVMSMOTE,0,0,0,0,0.186,0
LinearSVM,No Upsampling,LinearSVM,0.279,0.163,0.163,0.186,0.186,0.233
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.302,0.174,0.174,0.198,0.244,0.279
LinearSVM,Random Oversampling,LinearSVM_ROS,0.291,0.163,0.163,0.186,0.186,0.233
LinearSVM,SMOTE,LinearSVM_SMOTE,0.302,0.163,0.163,0.186,0.186,0.233
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.267,0.163,0.198,0.186,0.186,0.244
LogisticRegression,No Upsampling,LogisticRegression,0.279,0.198,0.209,0.198,0.186,0.244
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.279,0.186,0.198,0.186,0.198,0.233
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.267,0.174,0.209,0.174,0.198,0.233
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.314,0.244,0.198,0,0.256,0.244
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.221,0.140,0.151,0.186,0.233,0.267
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.209,0.116,0.140,0.163,0.221,0.209
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.221,0.186,0.140,0.186,0.233,0.267
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.221,0.151,0.151,0.163,0.233,0.267
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0.244,0.174,0.174,0,0.221,0.279
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.221,0.209,0.174,0.314,0.326,0.349
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.221,0.198,0.140,0.326,0.337,0.314
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.221,0.209,0.174,0.326,0.326,0.360
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.209,0.221,0.151,0.326,0.302,0.349
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0.233,0.221,0.186,0,0.267,0.395
