model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.000,0.053,0.000,0.026,0.000,0.000
ComplementNaiveBayes,RakelD Partitioning of labels,0.026,0.079,0.079,0.158,0.079,0.053
Dummy Classifier,No Upsampling,0.000,0.000,0.000,0.000,0.000,0.000
KNN,BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,No Upsampling,0.000,0.026,0.000,0.000,0.132,0.053
KNN,Random Oversampling,0.000,0.000,0.026,0.000,0.000,0.000
KNN,SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
KNN,SVMSMOTE,0,0,0,0,0.000,0
LinearSVM,BorderlineSMOTE,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,No Upsampling,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,RakelD Partitioning of labels,0.026,0.026,0.053,0.132,0.105,0.132
LinearSVM,Random Oversampling,0.026,0.053,0.079,0.105,0.053,0.053
LinearSVM,SMOTE,0.026,0.053,0.079,0.105,0.053,0.053
LogisticRegression,BorderlineSMOTE,0.026,0.053,0.105,0.105,0.053,0.079
LogisticRegression,No Upsampling,0.026,0.053,0.079,0.105,0.053,0.079
LogisticRegression,Random Oversampling,0.026,0.053,0.079,0.079,0.053,0.053
LogisticRegression,SMOTE,0.026,0.053,0.105,0.105,0.053,0.053
LogisticRegression,SVMSMOTE,0.000,0.053,0.053,0,0.053,0.053
LogisticRegressionElasticNet,BorderlineSMOTE,0.026,0.000,0.053,0.053,0.053,0.158
LogisticRegressionElasticNet,No Upsampling,0.026,0.000,0.079,0.053,0.053,0.132
LogisticRegressionElasticNet,Random Oversampling,0.026,0.026,0.053,0.053,0.053,0.158
LogisticRegressionElasticNet,SMOTE,0.026,0.000,0.053,0.053,0.053,0.132
LogisticRegressionElasticNet,SVMSMOTE,0.026,0.000,0.026,0,0.053,0.105
LogisticRegressionLasso,BorderlineSMOTE,0.026,0.000,0.026,0.079,0.105,0.105
LogisticRegressionLasso,No Upsampling,0.026,0.000,0.026,0.053,0.105,0.105
LogisticRegressionLasso,Random Oversampling,0.026,0.000,0.000,0.053,0.105,0.105
LogisticRegressionLasso,SMOTE,0.026,0.026,0.026,0.053,0.079,0.105
LogisticRegressionLasso,SVMSMOTE,0.026,0.000,0.026,0,0.079,0.079
LogisticRegressionRidge,BorderlineSMOTE,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,No Upsampling,0.026,0.053,0.105,0.105,0.079,0.079
LogisticRegressionRidge,RakelD Partitioning of labels,0.026,0.000,0.079,0.184,0.079,0.053
LogisticRegressionRidge,Random Oversampling,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,SMOTE,0.026,0.053,0.105,0.132,0.079,0.053
LogisticRegressionRidge,SVMSMOTE,0.000,0.053,0.053,0,0.079,0.053
Multilabel k Nearest Neighbours,Natively Multilabel,0.026,0.000,0.053,0.132,0.026,0.053
NaiveBayes,BorderlineSMOTE,0.000,0.000,0.079,0.079,0.026,0.026
NaiveBayes,No Upsampling,0.026,0.026,0.079,0.053,0.079,0.053
NaiveBayes,Random Oversampling,0.000,0.000,0.053,0.079,0.026,0.026
NaiveBayes,SMOTE,0.000,0.026,0.053,0.053,0.026,0.053
RandomForest,BorderlineSMOTE,0.026,0.026,0.026,0.026,0.079,0.079
RandomForest,No Upsampling,0.000,0.026,0.000,0.026,0.053,0.079
RandomForest,Random Oversampling,0.026,0.026,0.026,0.026,0.132,0.132
RandomForest,SMOTE,0.000,0.000,0.053,0.053,0.079,0.105
RandomForest,SVMSMOTE,0.000,0.000,0.026,0,0.053,0.079
RidgeClassifier,BorderlineSMOTE,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,No Upsampling,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,Random Oversampling,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,SMOTE,0.026,0.053,0.079,0.132,0.053,0.053
RidgeClassifier,SVMSMOTE,0.000,0.053,0.053,0,0.053,0.053
SVM,BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
SVM,No Upsampling,0.000,0.000,0.000,0.000,0.000,0.000
SVM,RakelD Partitioning of labels,0.000,0.000,0.000,0.000,0.000,0.000
SVM,Random Oversampling,0.026,0.000,0.000,0.000,0.000,0.000
SVM,SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
SVM,SVMSMOTE,0.000,0.000,0.000,0,0.000,0.000
XGBoost,BorderlineSMOTE,0.000,0.000,0.053,0.079,0.105,0.105
XGBoost,No Upsampling,0.026,0.000,0.026,0.053,**0.211**,0.105
XGBoost,Random Oversampling,0.053,0.026,0.000,0.053,0.184,0.079
XGBoost,SMOTE,0.053,0.000,0.026,0.053,0.158,0.105
XGBoost,SVMSMOTE,0.026,0.000,0.026,0,0.105,0.105
