model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,0.427,0.459,0.437,0.433,0.430,0.435
KNN,BorderlineSMOTE,0.475,0.463,0.469,0.477,0.424,0.466
KNN,No Upsampling,0.376,0.479,0.460,0.329,0.395,0.446
KNN,Random Oversampling,0.444,0.540,0.527,0.412,0.401,0.543
KNN,SMOTE,0.490,0.461,0.470,0.478,0.460,0.442
KNN,SVMSMOTE,0,0.513,0.470,0.458,0.466,0.440
LinearSVM,BorderlineSMOTE,0.593,0.612,0.639,0.651,0.649,0.679
LinearSVM,No Upsampling,0.592,0.612,0.639,0.651,0.649,0.679
LinearSVM,Random Oversampling,0.592,0.612,0.639,0.651,0.649,0.679
LinearSVM,SMOTE,0.588,0.612,0.639,0.651,0.649,0.679
LogisticRegression,BorderlineSMOTE,0.592,0.608,0.626,0.652,0.653,0.683
LogisticRegression,No Upsampling,0.592,0.610,0.626,0.646,0.636,0.678
LogisticRegression,Random Oversampling,0.594,0.608,0.626,0.653,0.650,0.685
LogisticRegression,SMOTE,0.572,0.601,0.628,0.644,0.652,0.683
LogisticRegression,SVMSMOTE,0.589,0.618,0.620,0.651,0.659,0.694
LogisticRegressionElasticNet,BorderlineSMOTE,0.580,0.609,0.628,0.631,0.663,0.673
LogisticRegressionElasticNet,No Upsampling,0.576,0.611,0.619,0.616,0.658,0.664
LogisticRegressionElasticNet,Random Oversampling,0.584,0.607,0.631,0.629,0.666,0.683
LogisticRegressionElasticNet,SMOTE,0.589,0.609,0.632,0.628,0.659,0.685
LogisticRegressionElasticNet,SVMSMOTE,0.604,0.612,0.638,0.640,0.669,0.682
LogisticRegressionLasso,BorderlineSMOTE,0.545,0.599,0.618,0.615,0.628,0.637
LogisticRegressionLasso,No Upsampling,0.555,0.601,0.610,0.601,0.615,0.634
LogisticRegressionLasso,Random Oversampling,0.546,0.605,0.613,0.609,0.621,0.643
LogisticRegressionLasso,SMOTE,0.541,0.603,0.611,0.614,0.623,0.640
LogisticRegressionLasso,SVMSMOTE,0.555,0.615,0.624,0.624,0.655,0.645
LogisticRegressionRidge,BorderlineSMOTE,0.610,0.629,0.629,0.651,0.645,0.691
LogisticRegressionRidge,No Upsampling,0.598,0.618,0.616,0.642,0.634,0.681
LogisticRegressionRidge,Random Oversampling,0.607,0.629,0.639,0.659,0.646,0.699
LogisticRegressionRidge,SMOTE,0.603,0.629,0.631,0.648,0.642,0.687
LogisticRegressionRidge,SVMSMOTE,0.588,0.628,0.643,0.669,0.659,0.700
NaiveBayes,BorderlineSMOTE,0.621,0.689,0.707,0.707,0.701,0.716
NaiveBayes,No Upsampling,0.611,0.670,0.676,0.651,0.639,0.650
NaiveBayes,Random Oversampling,0.631,0.695,0.718,0.712,0.713,0.717
NaiveBayes,SMOTE,0.623,0.694,0.716,0.711,0.710,**0.719**
RandomForest,BorderlineSMOTE,0.550,0.599,0.626,0.629,0.646,0.654
RandomForest,No Upsampling,0.530,0.606,0.615,0.626,0.622,0.639
RandomForest,Random Oversampling,0.581,0.616,0.632,0.634,0.663,0.656
RandomForest,SMOTE,0.552,0.604,0.624,0.631,0.658,0.644
RandomForest,SVMSMOTE,0.556,0.609,0.619,0.654,0.635,0.655
RidgeClassifier,BorderlineSMOTE,0.602,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,No Upsampling,0.599,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,Random Oversampling,0.600,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,SMOTE,0.599,0.625,0.636,0.643,0.650,0.685
RidgeClassifier,SVMSMOTE,0.589,0.640,0.635,0.660,0.656,0.689
SVM,BorderlineSMOTE,0.414,0.366,0.433,0.483,0.498,0.531
SVM,No Upsampling,0.416,0.391,0.436,0.468,0.490,0.535
SVM,Random Oversampling,0.467,0.472,0.489,0.518,0.541,0.569
SVM,SMOTE,0.404,0.360,0.425,0.497,0.492,0.530
SVM,SVMSMOTE,0.403,0.389,0.470,0.523,0.520,0.553
XGBoost,BorderlineSMOTE,0.477,0.581,0.603,0.596,0.615,0.632
XGBoost,No Upsampling,0.506,0.574,0.602,0.607,0.613,0.632
XGBoost,Random Oversampling,0.512,0.600,0.610,0.600,0.633,0.631
XGBoost,SMOTE,0.526,0.575,0.606,0.601,0.624,0.634
XGBoost,SVMSMOTE,0.521,0.577,0.615,0.616,0.637,0.648
