model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.110,0.187,0.106,0.078,0.073,0.086
ComplementNaiveBayes,RakelD Partitioning of labels,0.318,0.425,0.359,0.365,0.345,0.389
Dummy Classifier,No Upsampling,0.389,0.365,0.341,0.329,0.371,0.332
KNN,BorderlineSMOTE,0.413,0.430,0.401,0.414,0.348,0.436
KNN,No Upsampling,0.230,0.256,0.194,0.119,0.059,0.070
KNN,Random Oversampling,0.331,0.433,0.333,0.273,0.141,0.240
KNN,SMOTE,0.414,0.435,0.436,0.433,0.342,0.432
KNN,SVMSMOTE,0.412,0,0,0,0,0.436
LinearSVM,BorderlineSMOTE,0.248,0.319,0.322,0.251,0.327,0.311
LinearSVM,No Upsampling,0.248,0.319,0.322,0.251,0.327,0.311
LinearSVM,RakelD Partitioning of labels,0.272,0.294,0.319,0.227,0.292,0.305
LinearSVM,Random Oversampling,0.248,0.319,0.322,0.251,0.327,0.311
LinearSVM,SMOTE,0.248,0.319,0.322,0.251,0.327,0.311
LogisticRegression,BorderlineSMOTE,0.255,0.315,0.310,0.256,0.316,0.337
LogisticRegression,No Upsampling,0.250,0.331,0.327,0.250,0.313,0.327
LogisticRegression,Random Oversampling,0.273,0.308,0.312,0.252,0.308,0.316
LogisticRegression,SMOTE,0.274,0.325,0.310,0.249,0.336,0.321
LogisticRegression,SVMSMOTE,0.317,0.349,0.322,0.254,0.331,0.335
LogisticRegressionElasticNet,BorderlineSMOTE,0.233,0.353,0.312,0.295,0.355,0.324
LogisticRegressionElasticNet,No Upsampling,0.225,0.340,0.304,0.272,0.333,0.316
LogisticRegressionElasticNet,Random Oversampling,0.233,0.354,0.312,0.294,0.361,0.351
LogisticRegressionElasticNet,SMOTE,0.233,0.353,0.300,0.301,0.354,0.325
LogisticRegressionElasticNet,SVMSMOTE,0.241,0.365,0.339,0.273,0.347,0.337
LogisticRegressionLasso,BorderlineSMOTE,0.280,0.418,0.306,0.298,0.372,0.407
LogisticRegressionLasso,No Upsampling,0.279,0.436,0.282,0.280,0.370,0.394
LogisticRegressionLasso,Random Oversampling,0.281,0.440,0.330,0.293,0.389,0.430
LogisticRegressionLasso,SMOTE,0.278,0.438,0.299,0.281,0.375,0.399
LogisticRegressionLasso,SVMSMOTE,0.248,0.381,0.365,0.273,0.382,0.390
LogisticRegressionRidge,BorderlineSMOTE,0.280,0.345,0.323,0.267,0.294,0.310
LogisticRegressionRidge,No Upsampling,0.261,0.332,0.316,0.280,0.286,0.262
LogisticRegressionRidge,RakelD Partitioning of labels,0.267,0.333,0.335,0.261,0.298,0.291
LogisticRegressionRidge,Random Oversampling,0.285,0.385,0.327,0.308,0.313,0.323
LogisticRegressionRidge,SMOTE,0.274,0.348,0.321,0.279,0.315,0.309
LogisticRegressionRidge,SVMSMOTE,0.332,0.339,0.306,0.273,0.286,0.274
Multilabel k Nearest Neighbours,Natively Multilabel,0.261,0.306,0.348,0.236,0.123,0.297
NaiveBayes,BorderlineSMOTE,0.384,0.417,0.442,0.443,0.472,0.533
NaiveBayes,No Upsampling,0.275,0.366,0.354,0.288,0.270,0.264
NaiveBayes,Random Oversampling,0.375,0.421,0.447,0.453,0.470,**0.556**
NaiveBayes,SMOTE,0.364,0.434,0.446,0.482,0.465,0.525
RandomForest,BorderlineSMOTE,0.262,0.271,0.241,0.249,0.270,0.311
RandomForest,No Upsampling,0.259,0.256,0.245,0.284,0.259,0.243
RandomForest,Random Oversampling,0.271,0.308,0.272,0.272,0.314,0.343
RandomForest,SMOTE,0.255,0.258,0.242,0.227,0.299,0.315
RandomForest,SVMSMOTE,0.270,0.268,0.257,0.251,0.307,0.299
RidgeClassifier,BorderlineSMOTE,0.281,0.394,0.324,0.292,0.312,0.324
RidgeClassifier,No Upsampling,0.281,0.394,0.324,0.292,0.312,0.324
RidgeClassifier,Random Oversampling,0.281,0.394,0.324,0.292,0.312,0.324
RidgeClassifier,SMOTE,0.281,0.394,0.324,0.292,0.312,0.324
RidgeClassifier,SVMSMOTE,0.355,0.383,0.312,0.273,0.288,0.328
SVM,BorderlineSMOTE,0.125,0.000,0.000,0.000,0.015,0.000
SVM,No Upsampling,0.067,0.000,0.015,0.000,0.015,0.000
SVM,RakelD Partitioning of labels,0.061,0.026,0.077,0.023,0.000,0.000
SVM,Random Oversampling,0.165,0.049,0.094,0.044,0.063,0.000
SVM,SMOTE,0.151,0.000,0.000,0.000,0.015,0.000
SVM,SVMSMOTE,0.297,0.014,0.015,0.000,0.000,0.015
XGBoost,BorderlineSMOTE,0.194,0.324,0.280,0.290,0.330,0.342
XGBoost,No Upsampling,0.199,0.300,0.294,0.271,0.310,0.371
XGBoost,Random Oversampling,0.237,0.317,0.313,0.303,0.344,0.398
XGBoost,SMOTE,0.210,0.339,0.277,0.256,0.308,0.419
XGBoost,SVMSMOTE,0.162,0.308,0.277,0.250,0.306,0.340
