model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,0.501,0.454,0.491,0.427,0.461,0.485
KNN,BorderlineSMOTE,0.525,0.361,0.366,0.335,0.327,0.297
KNN,No Upsampling,0.480,0.419,0.349,0.241,0.285,0.134
KNN,Random Oversampling,0.520,0.444,0.416,0.332,0.337,0.210
KNN,SMOTE,0.472,0.338,0.338,0.323,0.327,0.325
KNN,SVMSMOTE,0.534,0.428,0.452,0.342,0.328,0
LinearSVM,BorderlineSMOTE,0.531,0.454,0.503,0.465,0.545,0.550
LinearSVM,No Upsampling,0.531,0.454,0.503,0.465,0.545,0.550
LinearSVM,Random Oversampling,0.531,0.454,0.503,0.465,0.545,0.550
LinearSVM,SMOTE,0.531,0.454,0.503,0.465,0.545,0.550
LogisticRegression,BorderlineSMOTE,0.538,0.452,0.509,0.492,0.496,0.558
LogisticRegression,No Upsampling,0.530,0.471,0.506,0.470,0.535,0.551
LogisticRegression,Random Oversampling,0.528,0.461,0.509,0.466,0.519,0.579
LogisticRegression,SMOTE,0.538,0.454,0.509,0.486,0.524,0.540
LogisticRegression,SVMSMOTE,0.508,0.457,0.519,0.475,0.537,0.540
LogisticRegressionElasticNet,BorderlineSMOTE,0.493,0.444,0.481,0.477,0.555,0.578
LogisticRegressionElasticNet,No Upsampling,0.499,0.441,0.485,0.470,0.522,0.574
LogisticRegressionElasticNet,Random Oversampling,0.513,0.448,0.486,0.480,0.556,0.581
LogisticRegressionElasticNet,SMOTE,0.493,0.444,0.475,0.482,0.559,0.579
LogisticRegressionElasticNet,SVMSMOTE,0.502,0.470,0.473,0.477,0.531,0.573
LogisticRegressionLasso,BorderlineSMOTE,0.412,0.483,0.479,0.483,0.558,0.554
LogisticRegressionLasso,No Upsampling,0.410,0.470,0.468,0.464,0.532,0.545
LogisticRegressionLasso,Random Oversampling,0.410,0.484,0.482,0.477,0.549,0.545
LogisticRegressionLasso,SMOTE,0.412,0.484,0.476,0.509,0.554,0.558
LogisticRegressionLasso,SVMSMOTE,0.390,0.429,0.491,0.489,0.570,0.566
LogisticRegressionRidge,BorderlineSMOTE,0.546,0.478,0.539,0.498,0.573,0.561
LogisticRegressionRidge,No Upsampling,0.541,0.473,0.526,0.492,0.575,0.541
LogisticRegressionRidge,Random Oversampling,0.536,0.470,0.525,0.504,0.581,0.571
LogisticRegressionRidge,SMOTE,0.545,0.480,0.537,0.488,0.579,0.574
LogisticRegressionRidge,SVMSMOTE,0.515,0.472,0.519,0.493,0.554,0.577
NaiveBayes,BorderlineSMOTE,0.501,0.555,0.589,0.613,0.615,0.662
NaiveBayes,No Upsampling,0.511,0.505,0.525,0.521,0.512,0.467
NaiveBayes,Random Oversampling,0.526,0.557,0.581,0.603,0.603,**0.666**
NaiveBayes,SMOTE,0.517,0.546,0.581,0.615,0.597,0.663
RandomForest,BorderlineSMOTE,0.465,0.461,0.418,0.472,0.502,0.567
RandomForest,No Upsampling,0.472,0.461,0.434,0.413,0.446,0.475
RandomForest,Random Oversampling,0.516,0.492,0.480,0.477,0.555,0.609
RandomForest,SMOTE,0.475,0.440,0.439,0.437,0.515,0.531
RandomForest,SVMSMOTE,0.469,0.470,0.448,0.472,0.473,0.512
RidgeClassifier,BorderlineSMOTE,0.538,0.472,0.526,0.481,0.572,0.582
RidgeClassifier,No Upsampling,0.538,0.465,0.526,0.481,0.572,0.582
RidgeClassifier,Random Oversampling,0.538,0.472,0.526,0.481,0.572,0.582
RidgeClassifier,SMOTE,0.538,0.472,0.526,0.481,0.572,0.582
RidgeClassifier,SVMSMOTE,0.505,0.464,0.518,0.489,0.566,0.594
SVM,BorderlineSMOTE,0.433,0.315,0.342,0.373,0.364,0.380
SVM,No Upsampling,0.326,0.256,0.337,0.406,0.433,0.422
SVM,Random Oversampling,0.402,0.299,0.351,0.435,0.445,0.437
SVM,SMOTE,0.441,0.323,0.345,0.372,0.373,0.379
SVM,SVMSMOTE,0.489,0.305,0.344,0.352,0.380,0.362
XGBoost,BorderlineSMOTE,0.456,0.489,0.474,0.479,0.543,0.611
XGBoost,No Upsampling,0.450,0.461,0.489,0.505,0.546,0.624
XGBoost,Random Oversampling,0.480,0.490,0.472,0.489,0.542,0.582
XGBoost,SMOTE,0.459,0.489,0.484,0.462,0.548,0.615
XGBoost,SVMSMOTE,0.454,0.462,0.467,0.474,0.527,0.621
