language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Dummy Classifier,No Upsampling,0.427,0.459,0.437,0.433,0.430,0.435
en,KNN,BorderlineSMOTE,0.475,0.463,0.469,0.477,0.424,0.466
en,KNN,No Upsampling,0.376,0.479,0.460,0.329,0.395,0.446
en,KNN,Random Oversampling,0.444,0.540,0.527,0.412,0.401,0.543
en,KNN,SMOTE,0.490,0.461,0.470,0.478,0.460,0.442
en,KNN,SVMSMOTE,0,0.513,0.470,0.458,0.466,0.440
en,LinearSVM,BorderlineSMOTE,0.593,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,No Upsampling,0.592,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,Random Oversampling,0.592,0.612,0.639,0.651,0.649,0.679
en,LinearSVM,SMOTE,0.588,0.612,0.639,0.651,0.649,0.679
en,LogisticRegression,BorderlineSMOTE,0.592,0.608,0.626,0.652,0.653,0.683
en,LogisticRegression,No Upsampling,0.592,0.610,0.626,0.646,0.636,0.678
en,LogisticRegression,Random Oversampling,0.594,0.608,0.626,0.653,0.650,0.685
en,LogisticRegression,SMOTE,0.572,0.601,0.628,0.644,0.652,0.683
en,LogisticRegression,SVMSMOTE,0.589,0.618,0.620,0.651,0.659,0.694
en,LogisticRegressionElasticNet,BorderlineSMOTE,0.580,0.609,0.628,0.631,0.663,0.673
en,LogisticRegressionElasticNet,No Upsampling,0.576,0.611,0.619,0.616,0.658,0.664
en,LogisticRegressionElasticNet,Random Oversampling,0.584,0.607,0.631,0.629,0.666,0.683
en,LogisticRegressionElasticNet,SMOTE,0.589,0.609,0.632,0.628,0.659,0.685
en,LogisticRegressionElasticNet,SVMSMOTE,0.604,0.612,0.638,0.640,0.669,0.682
en,LogisticRegressionLasso,BorderlineSMOTE,0.545,0.599,0.618,0.615,0.628,0.637
en,LogisticRegressionLasso,No Upsampling,0.555,0.601,0.610,0.601,0.615,0.634
en,LogisticRegressionLasso,Random Oversampling,0.546,0.605,0.613,0.609,0.621,0.643
en,LogisticRegressionLasso,SMOTE,0.541,0.603,0.611,0.614,0.623,0.640
