model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,No Upsampling,0.403,0.449,0.444,0.442,0.462,0.408
KNN,BorderlineSMOTE,0.372,0.440,0.467,0.492,0.373,0.259
KNN,No Upsampling,0.429,0.454,0.402,0.376,0.276,0.108
KNN,Random Oversampling,0.471,0.430,0.474,0.566,0.358,0.128
KNN,SMOTE,0.433,0.420,0.401,0.507,0.439,0.420
KNN,SVMSMOTE,0,0.452,0.485,0,0,0
LinearSVM,BorderlineSMOTE,0.477,0.451,0.506,0.458,0.464,0.525
LinearSVM,No Upsampling,0.477,0.451,0.506,0.458,0.464,0.525
LinearSVM,Random Oversampling,0.477,0.451,0.506,0.458,0.464,0.525
LinearSVM,SMOTE,0.477,0.451,0.506,0.458,0.464,0.525
LogisticRegression,BorderlineSMOTE,0.472,0.453,0.530,0.477,0.451,0.526
LogisticRegression,No Upsampling,0.474,0.446,0.499,0.479,0.467,0.555
LogisticRegression,Random Oversampling,0.477,0.450,0.491,0.518,0.434,0.521
LogisticRegression,SMOTE,0.472,0.454,0.503,0.442,0.465,0.519
LogisticRegression,SVMSMOTE,0.427,0.466,0.530,0.428,0.485,0.503
LogisticRegressionElasticNet,BorderlineSMOTE,0.416,0.507,0.522,0.453,0.467,0.542
LogisticRegressionElasticNet,No Upsampling,0.416,0.440,0.532,0.470,0.440,0.496
LogisticRegressionElasticNet,Random Oversampling,0.416,0.450,0.523,0.460,0.448,0.507
LogisticRegressionElasticNet,SMOTE,0.416,0.506,0.531,0.461,0.447,0.524
LogisticRegressionElasticNet,SVMSMOTE,0.416,0.547,0.489,0.446,0.453,0.474
LogisticRegressionLasso,BorderlineSMOTE,0.452,0.541,0.540,0.469,0.486,0.595
LogisticRegressionLasso,No Upsampling,0.452,0.501,0.520,0.461,0.483,0.551
LogisticRegressionLasso,Random Oversampling,0.458,0.553,0.527,0.493,0.524,0.558
LogisticRegressionLasso,SMOTE,0.452,0.528,0.525,0.461,0.495,0.587
LogisticRegressionLasso,SVMSMOTE,0.451,0.585,0.524,0.446,0.523,0.548
LogisticRegressionRidge,BorderlineSMOTE,0.461,0.525,0.501,0.489,0.463,0.484
LogisticRegressionRidge,No Upsampling,0.466,0.513,0.486,0.474,0.458,0.455
LogisticRegressionRidge,Random Oversampling,0.467,0.528,0.481,0.494,0.519,0.484
LogisticRegressionRidge,SMOTE,0.461,0.520,0.489,0.469,0.473,0.484
LogisticRegressionRidge,SVMSMOTE,0.450,0.510,0.512,0.475,0.488,0.484
NaiveBayes,BorderlineSMOTE,0.467,0.523,0.557,0.564,0.502,0.525
NaiveBayes,No Upsampling,0.494,0.559,0.529,0.527,0.505,0.445
NaiveBayes,Random Oversampling,0.505,0.539,0.528,0.572,0.492,0.521
NaiveBayes,SMOTE,0.524,0.528,0.544,0.560,0.498,0.531
RandomForest,BorderlineSMOTE,0.431,0.576,0.455,0.445,0.449,0.472
RandomForest,No Upsampling,0.439,0.545,0.456,0.426,0.453,0.500
RandomForest,Random Oversampling,0.478,0.590,0.503,0.443,0.550,0.561
RandomForest,SMOTE,0.439,0.594,0.424,0.435,0.485,0.496
RandomForest,SVMSMOTE,0.433,0.566,0.466,0.476,0.456,0.480
RidgeClassifier,BorderlineSMOTE,0.471,0.531,0.492,0.486,0.480,0.492
RidgeClassifier,No Upsampling,0.471,0.531,0.492,0.486,0.480,0.492
RidgeClassifier,Random Oversampling,0.471,0.531,0.492,0.486,0.480,0.492
RidgeClassifier,SMOTE,0.471,0.531,0.492,0.486,0.480,0.492
RidgeClassifier,SVMSMOTE,0.451,0.556,0.489,0.481,0.498,0.493
SVM,BorderlineSMOTE,0.346,0.207,0.153,0.207,0.367,0.262
SVM,No Upsampling,0.312,0.207,0.274,0.328,0.310,0.351
SVM,Random Oversampling,0.317,0.202,0.288,0.441,0.390,0.351
SVM,SMOTE,0.398,0.205,0.154,0.207,0.365,0.293
SVM,SVMSMOTE,0.396,0.207,0.156,0.154,0.425,0.306
XGBoost,BorderlineSMOTE,0.482,0.499,0.512,0.518,0.537,0.620
XGBoost,No Upsampling,0.540,0.529,0.523,0.514,0.608,0.571
XGBoost,Random Oversampling,0.502,0.502,0.553,0.516,0.577,0.612
XGBoost,SMOTE,0.482,0.500,0.504,0.517,0.546,**0.626**
XGBoost,SVMSMOTE,0.478,0.523,0.504,0.526,0.559,0.566
