model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.428,0.531,0.345,0.320,0.323,0.291
ComplementNaiveBayes,RakelD Partitioning of labels,0.560,0.599,0.628,0.655,0.648,0.682
Dummy Classifier,No Upsampling,0.482,0.533,0.499,0.416,0.491,0.491
KNN,BorderlineSMOTE,0.753,0.787,0.834,0.797,0.741,0.775
KNN,No Upsampling,0.425,0.631,0.526,0.352,0.330,0.345
KNN,Random Oversampling,0.484,0.719,0.680,0.501,0.411,0.523
KNN,SMOTE,0.792,0.792,0.836,0.829,0.787,0.751
KNN,SVMSMOTE,0,**0.839**,0.834,0.756,0.800,0.748
LinearSVM,BorderlineSMOTE,0.592,0.577,0.587,0.597,0.606,0.641
LinearSVM,No Upsampling,0.548,0.577,0.587,0.597,0.606,0.641
LinearSVM,RakelD Partitioning of labels,0.557,0.587,0.599,0.621,0.619,0.658
LinearSVM,Random Oversampling,0.550,0.577,0.587,0.597,0.606,0.641
LinearSVM,SMOTE,0.594,0.577,0.587,0.597,0.606,0.641
LogisticRegression,BorderlineSMOTE,0.579,0.572,0.575,0.599,0.609,0.645
LogisticRegression,No Upsampling,0.553,0.577,0.572,0.597,0.594,0.631
LogisticRegression,Random Oversampling,0.555,0.567,0.579,0.606,0.606,0.648
LogisticRegression,SMOTE,0.562,0.560,0.582,0.587,0.609,0.648
LogisticRegression,SVMSMOTE,0.567,0.589,0.582,0.611,0.623,0.658
LogisticRegressionElasticNet,BorderlineSMOTE,0.526,0.560,0.575,0.570,0.616,0.619
LogisticRegressionElasticNet,No Upsampling,0.516,0.562,0.562,0.553,0.609,0.606
LogisticRegressionElasticNet,Random Oversampling,0.528,0.562,0.579,0.567,0.626,0.633
LogisticRegressionElasticNet,SMOTE,0.540,0.562,0.575,0.567,0.616,0.631
LogisticRegressionElasticNet,SVMSMOTE,0.560,0.572,0.582,0.589,0.636,0.633
LogisticRegressionLasso,BorderlineSMOTE,0.482,0.557,0.560,0.560,0.587,0.597
LogisticRegressionLasso,No Upsampling,0.487,0.562,0.555,0.543,0.567,0.589
LogisticRegressionLasso,Random Oversampling,0.479,0.565,0.557,0.555,0.577,0.604
LogisticRegressionLasso,SMOTE,0.484,0.562,0.555,0.557,0.579,0.597
LogisticRegressionLasso,SVMSMOTE,0.482,0.577,0.575,0.587,0.623,0.601
LogisticRegressionRidge,BorderlineSMOTE,0.589,0.594,0.577,0.594,0.601,0.645
LogisticRegressionRidge,No Upsampling,0.555,0.577,0.565,0.587,0.584,0.633
LogisticRegressionRidge,RakelD Partitioning of labels,0.548,0.587,0.589,0.599,0.609,0.631
LogisticRegressionRidge,Random Oversampling,0.572,0.594,0.589,0.606,0.599,0.655
LogisticRegressionRidge,SMOTE,0.584,0.592,0.582,0.592,0.597,0.643
LogisticRegressionRidge,SVMSMOTE,0.567,0.599,0.601,0.626,0.616,0.660
Multi-label ARAM,Natively Multilabel,0.064,0,0,0,0,0
Multilabel k Nearest Neighbours,Natively Multilabel,0.369,0.570,0.494,0.548,0.523,0.626
NaiveBayes,BorderlineSMOTE,0.653,0.702,0.719,0.748,0.741,0.765
NaiveBayes,No Upsampling,0.606,0.621,0.628,0.604,0.592,0.592
NaiveBayes,Random Oversampling,0.667,0.719,0.753,0.751,0.760,0.768
NaiveBayes,SMOTE,0.650,0.704,0.726,0.738,0.743,0.760
RandomForest,BorderlineSMOTE,0.474,0.528,0.562,0.565,0.589,0.601
RandomForest,No Upsampling,0.455,0.543,0.565,0.570,0.555,0.584
RandomForest,Random Oversampling,0.518,0.567,0.577,0.584,0.604,0.609
RandomForest,SMOTE,0.474,0.540,0.575,0.572,0.599,0.592
RandomForest,SVMSMOTE,0.487,0.550,0.570,0.604,0.582,0.601
RidgeClassifier,BorderlineSMOTE,0.570,0.594,0.587,0.592,0.606,0.643
RidgeClassifier,No Upsampling,0.560,0.594,0.587,0.592,0.606,0.643
RidgeClassifier,Random Oversampling,0.562,0.594,0.587,0.592,0.606,0.643
RidgeClassifier,SMOTE,0.567,0.594,0.587,0.592,0.606,0.643
RidgeClassifier,SVMSMOTE,0.562,0.614,0.589,0.621,0.614,0.653
SVM,BorderlineSMOTE,0.416,0.372,0.416,0.438,0.474,0.487
SVM,No Upsampling,0.413,0.372,0.418,0.428,0.479,0.504
SVM,RakelD Partitioning of labels,0.335,0.396,0.509,0.550,0.469,0.509
SVM,Random Oversampling,0.450,0.428,0.457,0.460,0.516,0.535
SVM,SMOTE,0.396,0.369,0.408,0.452,0.469,0.484
SVM,SVMSMOTE,0.386,0.389,0.435,0.479,0.469,0.489
XGBoost,BorderlineSMOTE,0.425,0.538,0.567,0.533,0.572,0.597
XGBoost,No Upsampling,0.462,0.531,0.575,0.550,0.570,0.587
XGBoost,Random Oversampling,0.479,0.567,0.589,0.550,0.589,0.594
XGBoost,SMOTE,0.479,0.531,0.587,0.540,0.584,0.604
XGBoost,SVMSMOTE,0.472,0.535,0.584,0.570,0.592,0.614
