model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.287,0.378,0.270,0.287,0.213,0.174
ComplementNaiveBayes,RakelD Partitioning of labels,0.474,0.448,0.361,0.439,0.404,0.491
Dummy Classifier,No Upsampling,0.487,0.500,0.461,0.374,0.470,0.487
KNN,BorderlineSMOTE,0.922,0.852,**1.000**,0.952,0.839,**1.000**
KNN,No Upsampling,0.326,0.174,0.052,0.178,0.174,0.026
KNN,Random Oversampling,0.513,0.443,0.461,0.383,0.500,0.204
KNN,SMOTE,0.917,0.904,**1.000**,**1.000**,0.835,**1.000**
KNN,SVMSMOTE,0.891,0.761,**1.000**,0,0.830,0.974
LinearSVM,BorderlineSMOTE,0.365,0.361,0.330,0.365,0.374,0.417
LinearSVM,No Upsampling,0.365,0.348,0.330,0.365,0.374,0.417
LinearSVM,RakelD Partitioning of labels,0.383,0.352,0.330,0.365,0.357,0.383
LinearSVM,Random Oversampling,0.365,0.348,0.330,0.365,0.374,0.417
LinearSVM,SMOTE,0.374,0.374,0.330,0.365,0.374,0.417
LogisticRegression,BorderlineSMOTE,0.365,0.370,0.335,0.361,0.378,0.422
LogisticRegression,No Upsampling,0.361,0.343,0.296,0.357,0.378,0.387
LogisticRegression,Random Oversampling,0.365,0.357,0.339,0.365,0.374,0.409
LogisticRegression,SMOTE,0.357,0.335,0.343,0.374,0.370,0.404
LogisticRegression,SVMSMOTE,0.430,0.361,0.348,0.357,0.391,0.439
LogisticRegressionElasticNet,BorderlineSMOTE,0.291,0.330,0.335,0.343,0.422,0.387
LogisticRegressionElasticNet,No Upsampling,0.287,0.309,0.313,0.335,0.387,0.374
LogisticRegressionElasticNet,Random Oversampling,0.296,0.330,0.339,0.343,0.435,0.400
LogisticRegressionElasticNet,SMOTE,0.300,0.330,0.339,0.343,0.435,0.387
LogisticRegressionElasticNet,SVMSMOTE,0.309,0.357,0.339,0.361,0.443,0.443
LogisticRegressionLasso,BorderlineSMOTE,0.265,0.352,0.283,0.361,0.404,0.430
LogisticRegressionLasso,No Upsampling,0.261,0.343,0.278,0.348,0.396,0.417
LogisticRegressionLasso,Random Oversampling,0.278,0.343,0.287,0.374,0.430,0.457
LogisticRegressionLasso,SMOTE,0.261,0.357,0.278,0.378,0.413,0.439
LogisticRegressionLasso,SVMSMOTE,0.283,0.361,0.348,0.400,0.461,0.470
LogisticRegressionRidge,BorderlineSMOTE,0.409,0.413,0.370,0.400,0.361,0.409
LogisticRegressionRidge,No Upsampling,0.365,0.387,0.357,0.391,0.339,0.396
LogisticRegressionRidge,RakelD Partitioning of labels,0.396,0.343,0.357,0.348,0.348,0.343
LogisticRegressionRidge,Random Oversampling,0.396,0.413,0.378,0.409,0.357,0.404
LogisticRegressionRidge,SMOTE,0.396,0.413,0.378,0.404,0.365,0.400
LogisticRegressionRidge,SVMSMOTE,0.426,0.378,0.357,0.409,0.383,0.417
Multilabel k Nearest Neighbours,Natively Multilabel,0.417,0.439,0.396,0.491,0.322,0.348
NaiveBayes,BorderlineSMOTE,0.552,0.543,0.591,0.613,0.657,0.717
NaiveBayes,No Upsampling,0.426,0.361,0.352,0.357,0.391,0.348
NaiveBayes,Random Oversampling,0.587,0.622,0.622,0.643,0.691,0.748
NaiveBayes,SMOTE,0.530,0.543,0.591,0.613,0.648,0.691
RandomForest,BorderlineSMOTE,0.252,0.370,0.361,0.396,0.317,0.387
RandomForest,No Upsampling,0.278,0.343,0.361,0.357,0.283,0.357
RandomForest,Random Oversampling,0.304,0.439,0.391,0.435,0.374,0.435
RandomForest,SMOTE,0.265,0.370,0.365,0.383,0.309,0.396
RandomForest,SVMSMOTE,0.270,0.348,0.317,0.400,0.283,0.404
RidgeClassifier,BorderlineSMOTE,0.387,0.404,0.378,0.404,0.365,0.404
RidgeClassifier,No Upsampling,0.383,0.409,0.378,0.404,0.365,0.404
RidgeClassifier,Random Oversampling,0.383,0.409,0.378,0.404,0.365,0.404
RidgeClassifier,SMOTE,0.383,0.409,0.378,0.404,0.365,0.404
RidgeClassifier,SVMSMOTE,0.448,0.396,0.370,0.409,0.387,0.452
SVM,BorderlineSMOTE,0.152,0.009,0.013,0.035,0.043,0.100
SVM,No Upsampling,0.109,0.004,0.017,0.104,0.178,0.248
SVM,RakelD Partitioning of labels,0.152,0.000,0.161,0.026,0.274,0.187
SVM,Random Oversampling,0.200,0.017,0.022,0.174,0.209,0.335
SVM,SMOTE,0.157,0.009,0.013,0.039,0.026,0.117
SVM,SVMSMOTE,0.300,0.009,0.013,0.022,0.013,0.087
XGBoost,BorderlineSMOTE,0.204,0.357,0.352,0.370,0.352,0.396
XGBoost,No Upsampling,0.226,0.378,0.335,0.378,0.374,0.409
XGBoost,Random Oversampling,0.270,0.435,0.400,0.413,0.413,0.422
XGBoost,SMOTE,0.187,0.383,0.339,0.383,0.361,0.443
XGBoost,SVMSMOTE,0.222,0.391,0.343,0.378,0.378,0.435
