language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,Natively Multilabel,0.428,0.531,0.345,0.320,0.323,0.291
en,ComplementNaiveBayes,RakelD Partitioning of labels,0.560,0.599,0.628,0.655,0.648,0.682
en,Dummy Classifier,No Upsampling,0.482,0.533,0.499,0.416,0.491,0.491
en,KNN,BorderlineSMOTE,0.753,0.787,0.834,0.797,0.741,0.775
en,KNN,No Upsampling,0.425,0.631,0.526,0.352,0.330,0.345
en,KNN,Random Oversampling,0.484,0.719,0.680,0.501,0.411,0.523
en,KNN,SMOTE,0.792,0.792,0.836,0.829,0.787,0.751
en,KNN,SVMSMOTE,0,**0.839**,0.834,0.756,0.800,0.748
en,LinearSVM,BorderlineSMOTE,0.592,0.577,0.587,0.597,0.606,0.641
en,LinearSVM,No Upsampling,0.548,0.577,0.587,0.597,0.606,0.641
en,LinearSVM,RakelD Partitioning of labels,0.557,0.587,0.599,0.621,0.619,0.658
en,LinearSVM,Random Oversampling,0.550,0.577,0.587,0.597,0.606,0.641
en,LinearSVM,SMOTE,0.594,0.577,0.587,0.597,0.606,0.641
en,LogisticRegression,BorderlineSMOTE,0.579,0.572,0.575,0.599,0.609,0.645
en,LogisticRegression,No Upsampling,0.553,0.577,0.572,0.597,0.594,0.631
en,LogisticRegression,Random Oversampling,0.555,0.567,0.579,0.606,0.606,0.648
en,LogisticRegression,SMOTE,0.562,0.560,0.582,0.587,0.609,0.648
en,LogisticRegression,SVMSMOTE,0.567,0.589,0.582,0.611,0.623,0.658
en,LogisticRegressionElasticNet,BorderlineSMOTE,0.526,0.560,0.575,0.570,0.616,0.619
en,LogisticRegressionElasticNet,No Upsampling,0.516,0.562,0.562,0.553,0.609,0.606
en,LogisticRegressionElasticNet,Random Oversampling,0.528,0.562,0.579,0.567,0.626,0.633
en,LogisticRegressionElasticNet,SMOTE,0.540,0.562,0.575,0.567,0.616,0.631
en,LogisticRegressionElasticNet,SVMSMOTE,0.560,0.572,0.582,0.589,0.636,0.633
en,LogisticRegressionLasso,BorderlineSMOTE,0.482,0.557,0.560,0.560,0.587,0.597
en,LogisticRegressionLasso,No Upsampling,0.487,0.562,0.555,0.543,0.567,0.589
en,LogisticRegressionLasso,Random Oversampling,0.479,0.565,0.557,0.555,0.577,0.604
en,LogisticRegressionLasso,SMOTE,0.484,0.562,0.555,0.557,0.579,0.597
en,LogisticRegressionLasso,SVMSMOTE,0.482,0.577,0.575,0.587,0.623,0.601
en,LogisticRegressionRidge,BorderlineSMOTE,0.589,0.594,0.577,0.594,0.601,0.645
en,LogisticRegressionRidge,No Upsampling,0.555,0.577,0.565,0.587,0.584,0.633
en,LogisticRegressionRidge,RakelD Partitioning of labels,0.548,0.587,0.589,0.599,0.609,0.631
en,LogisticRegressionRidge,Random Oversampling,0.572,0.594,0.589,0.606,0.599,0.655
en,LogisticRegressionRidge,SMOTE,0.584,0.592,0.582,0.592,0.597,0.643
en,LogisticRegressionRidge,SVMSMOTE,0.567,0.599,0.601,0.626,0.616,0.660
en,Multi-label ARAM,Natively Multilabel,0.064,0,0,0,0,0
en,Multilabel k Nearest Neighbours,Natively Multilabel,0.369,0.570,0.494,0.548,0.523,0.626
en,NaiveBayes,BorderlineSMOTE,0.653,0.702,0.719,0.748,0.741,0.765
en,NaiveBayes,No Upsampling,0.606,0.621,0.628,0.604,0.592,0.592
