model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.000,0.019,0.010,0.010,0.000,0.019
ComplementNaiveBayes,0.039,0.068,0.068,0.097,0.087,0.087
Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
KNN,0.000,0.000,0.000,0.000,0.000,0.000
LinearSVM,0.097,0.058,0.049,0.087,0.087,0.097
LogisticRegression,0.078,0.029,0.078,0.078,0.087,0.087
LogisticRegressionElasticNet,0.097,0.068,0.078,0.078,0.078,0.107
LogisticRegressionLasso,0.068,0.068,0.078,0.039,0.068,0.058
LogisticRegressionRidge,0.087,0.068,0.087,0.097,0.097,0.087
Multi-label ARAM,0.000,0,0,0,0,0
Multilabel k Nearest Neighbours,0.019,0.049,0.049,0.000,0.029,0.068
NaiveBayes,0.029,0.029,0.039,0.039,0.019,0.029
RandomForest,0.068,0.078,0.117,**0.146**,0.136,**0.146**
RidgeClassifier,0.078,0.039,0.087,0.078,0.087,0.078
SVM,0.049,0.058,0.058,0.058,0.078,0.097
XGBoost,0.029,0.039,0.058,0.087,0.068,0.107
