model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
KNN,0.000,0.000,0.000,0.000,0.000,0.000
LinearSVM,0.000,0.026,0.026,0.026,0.000,0.026
LogisticRegression,0.000,0.000,0.026,0.026,0.000,0.026
LogisticRegressionElasticNet,0.000,0.026,0.000,0.026,0.000,0.000
LogisticRegressionLasso,0.000,0.026,0.000,0.000,0.000,0.000
LogisticRegressionRidge,0.000,0.000,0.026,0.026,0.026,0.026
NaiveBayes,0.000,0.000,0.026,0.026,0.026,0.000
RandomForest,0.000,0.000,0.026,0.051,**0.077**,0.051
RidgeClassifier,0.000,0.000,0.026,0.026,0.026,0.026
SVM,0.000,0.000,0.000,0.000,0.000,0.000
XGBoost,0.000,0.000,0.026,0.000,0.026,0.051
