language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,0.000,0.019,0.010,0.010,0.000,0.019
en,ComplementNaiveBayes,0.039,0.068,0.068,0.097,0.087,0.087
en,Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
en,KNN,0.000,0.000,0.000,0.000,0.000,0.000
en,LinearSVM,0.097,0.058,0.049,0.087,0.087,0.097
en,LogisticRegression,0.078,0.029,0.078,0.078,0.087,0.087
en,LogisticRegressionElasticNet,0.097,0.068,0.078,0.078,0.078,0.107
en,LogisticRegressionLasso,0.068,0.068,0.078,0.039,0.068,0.058
en,LogisticRegressionRidge,0.087,0.068,0.087,0.097,0.097,0.087
en,Multi-label ARAM,0.000,0,0,0,0,0
en,Multilabel k Nearest Neighbours,0.019,0.049,0.049,0.000,0.029,0.068
en,NaiveBayes,0.029,0.029,0.039,0.039,0.019,0.029
en,RandomForest,0.068,0.078,0.117,**0.146**,0.136,**0.146**
en,RidgeClassifier,0.078,0.039,0.087,0.078,0.087,0.078
en,SVM,0.049,0.058,0.058,0.058,0.078,0.097
en,XGBoost,0.029,0.039,0.058,0.087,0.068,0.107
fr,Binary Relevance kNN,0.000,0.024,0.000,0.000,0.000,0.000
fr,ComplementNaiveBayes,0.000,0.024,0.000,0.095,0.000,0.048
fr,Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
fr,KNN,0.000,0.000,0.000,0.000,0.000,0.000
fr,LinearSVM,0.000,0.048,0.048,0.071,0.024,0.071
fr,LogisticRegression,0.024,0.048,0.048,0.071,0.048,0.071
fr,LogisticRegressionElasticNet,0.000,0.048,0.000,0.071,0.071,**0.143**
fr,LogisticRegressionLasso,0.000,0.048,0.024,0.024,0.024,0.119
fr,LogisticRegressionRidge,0.000,0.048,0.048,0.071,0.000,0.095
fr,Multilabel k Nearest Neighbours,0.000,0.024,0.071,0.000,0.024,0.071
fr,NaiveBayes,0.024,0.000,0.000,0.000,0.024,0.000
fr,RandomForest,0.000,0.000,0.000,0.048,0.024,0.071
fr,RidgeClassifier,0.000,0.048,0.024,0.071,0.000,0.095
fr,SVM,0.000,0.000,0.000,0.000,0.048,0.000
fr,XGBoost,0.000,0.000,0.024,0.000,0.048,0.024
ge,Binary Relevance kNN,0.000,0.000,0.000,0.000,0.000,0.000
ge,ComplementNaiveBayes,0.000,0.000,0.000,0.000,0.000,0.000
ge,Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
ge,KNN,0.000,0.000,0.000,0.000,0.000,0.000
ge,LinearSVM,0.000,0.000,0.000,0.029,0.000,0.029
ge,LogisticRegression,0.000,0.000,0.000,0.029,0.000,0.000
ge,LogisticRegressionElasticNet,0.000,0.029,0.000,0.000,0.000,0.029
ge,LogisticRegressionLasso,0.000,0.000,0.000,0.000,0.000,0.000
ge,LogisticRegressionRidge,**0.057**,0.000,0.000,0.000,0.000,0.000
ge,Multilabel k Nearest Neighbours,0.000,0.000,0.000,0.000,0.000,0.000
ge,NaiveBayes,0.000,0.000,0.000,0.000,0.000,0.000
ge,RandomForest,0.000,0.000,0.000,0.029,0.000,0.029
ge,RidgeClassifier,0.000,0.000,0.000,0.000,0.000,0.029
ge,SVM,0.000,0.000,0.029,0.000,0.029,0.000
ge,XGBoost,0.000,0.029,0.000,0.000,0.000,0.000
it,Binary Relevance kNN,0.000,0.000,0.000,0.000,0.000,0.000
it,ComplementNaiveBayes,0.017,0.050,0.067,0.083,0.050,0.083
it,Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
it,KNN,0.000,0.000,0.000,0.000,0.000,0.000
it,LinearSVM,0.033,0.050,0.067,0.067,0.067,0.150
it,LogisticRegression,0.067,0.067,0.067,0.067,0.033,0.150
it,LogisticRegressionElasticNet,0.033,0.067,0.050,0.100,0.067,**0.167**
it,LogisticRegressionLasso,0.017,0.067,0.017,0.083,0.033,0.083
it,LogisticRegressionRidge,0.033,0.083,0.100,0.100,0.050,0.133
it,Multilabel k Nearest Neighbours,0.000,0.017,0.017,0.017,0.017,0.033
it,NaiveBayes,0.000,0.017,0.050,0.100,0.033,0.067
it,RandomForest,0.033,0.033,0.083,0.100,0.083,0.133
it,RidgeClassifier,0.017,0.083,0.100,0.083,0.050,0.150
it,SVM,0.050,0.033,0.117,0.067,0.083,0.083
it,XGBoost,0.000,0.017,0.017,0.033,0.017,0.117
po,Binary Relevance kNN,0.000,0.000,0.000,0.000,0.000,0.000
po,ComplementNaiveBayes,0.000,0.000,0.026,**0.077**,0.026,0.051
po,Dummy Classifier,0.000,0.000,0.000,0.000,0.000,0.000
po,KNN,0.000,0.000,0.000,0.000,0.000,0.000
po,LinearSVM,0.000,0.026,0.026,0.026,0.000,0.026
po,LogisticRegression,0.000,0.000,0.026,0.026,0.000,0.026
po,LogisticRegressionElasticNet,0.000,0.026,0.000,0.026,0.000,0.000
