model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,0.501,0.454,0.491,0.427,0.461,0.485
KNN,0.534,0.444,0.452,0.342,0.337,0.325
LinearSVM,0.531,0.454,0.503,0.465,0.545,0.550
LogisticRegression,0.538,0.471,0.519,0.492,0.537,0.579
LogisticRegressionElasticNet,0.513,0.470,0.486,0.482,0.559,0.581
LogisticRegressionLasso,0.412,0.484,0.491,0.509,0.570,0.566
LogisticRegressionRidge,0.546,0.480,0.539,0.504,0.581,0.577
NaiveBayes,0.526,0.557,0.589,0.615,0.615,**0.666**
RandomForest,0.516,0.492,0.480,0.477,0.555,0.609
RidgeClassifier,0.538,0.472,0.526,0.489,0.572,0.594
SVM,0.489,0.323,0.351,0.435,0.445,0.437
XGBoost,0.480,0.490,0.489,0.505,0.548,0.624
