model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Dummy Classifier,0.296,0.272,0.284,0.291,0.321,0.265
KNN,0.358,0.368,0.349,0.349,0.349,0.349
LinearSVM,0.321,0.192,0.221,0.253,0.242,0.312
LogisticRegression,0.309,0.264,0.279,0.261,0.295,0.327
LogisticRegressionElasticNet,0.308,0.220,0.221,0.256,0.278,0.343
LogisticRegressionLasso,0.299,0.240,0.221,0.380,0.347,0.388
LogisticRegressionRidge,0.335,0.380,0.332,0.334,0.313,0.327
NaiveBayes,0.391,0.435,0.439,0.463,0.487,**0.504**
RandomForest,0.296,0.230,0.208,0.249,0.337,0.318
RidgeClassifier,0.328,0.378,0.301,0.321,0.313,0.327
SVM,0.181,0.022,0.022,0.027,0.048,0.031
XGBoost,0.245,0.246,0.249,0.332,0.366,0.429
