language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Dummy Classifier,0.425,0.443,0.428,0.460,0.418,0.426
en,KNN,0.519,0.506,0.552,0.456,0.365,0.668
en,LinearSVM,0.619,0.690,0.734,0.745,0.734,0.746
en,LogisticRegression,0.647,0.669,0.719,0.736,0.723,0.751
en,LogisticRegressionElasticNet,0.664,0.684,0.729,0.721,0.731,0.770
en,LogisticRegressionLasso,0.674,0.679,0.697,0.685,0.702,0.714
en,LogisticRegressionRidge,0.645,0.708,0.710,0.737,0.737,0.761
en,NaiveBayes,0.626,0.697,0.709,0.701,0.698,0.707
en,RandomForest,0.698,0.714,0.736,0.788,**0.808**,0.749
en,RidgeClassifier,0.645,0.690,0.722,0.720,0.721,0.748
en,SVM,0.631,0.759,0.712,0.644,0.699,0.719
en,XGBoost,0.636,0.647,0.664,0.717,0.707,0.696
fr,Dummy Classifier,0.317,0.300,0.281,0.300,0.308,0.292
fr,KNN,0.292,0.300,0.297,0.295,0.317,0.297
fr,LinearSVM,0.335,0.400,0.430,0.383,0.425,0.396
fr,LogisticRegression,0.364,0.442,0.465,0.394,0.425,0.448
fr,LogisticRegressionElasticNet,0.358,0.569,0.443,**0.588**,0.462,0.482
fr,LogisticRegressionLasso,0.458,0.583,0.523,0.461,0.439,0.468
fr,LogisticRegressionRidge,0.342,0.463,0.410,0.499,0.420,0.485
fr,NaiveBayes,0.412,0.400,0.423,0.468,0.450,0.519
fr,RandomForest,0.446,0.399,0.467,0.504,0.412,0.405
fr,RidgeClassifier,0.370,0.494,0.382,0.466,0.403,0.482
fr,SVM,0.341,0.112,0.319,0.070,0.063,0.087
fr,XGBoost,0.339,0.355,0.417,0.394,0.379,0.502
ge,Dummy Classifier,0.403,0.449,0.444,0.442,0.462,0.408
ge,KNN,0.433,0.452,0.485,0.507,0.439,0.420
ge,LinearSVM,0.477,0.451,0.506,0.458,0.464,0.525
ge,LogisticRegression,0.474,0.466,0.530,0.518,0.485,0.521
ge,LogisticRegressionElasticNet,0.416,0.507,0.489,0.460,0.467,0.507
ge,LogisticRegressionLasso,0.451,0.553,0.524,0.493,0.523,0.587
ge,LogisticRegressionRidge,0.450,0.528,0.501,0.494,0.519,0.484
ge,NaiveBayes,0.505,0.539,0.557,0.572,0.498,0.531
ge,RandomForest,0.478,0.590,0.503,0.476,0.550,0.496
ge,RidgeClassifier,0.451,0.556,0.492,0.486,0.498,0.493
ge,SVM,0.396,0.207,0.288,0.441,0.310,0.351
ge,XGBoost,0.502,0.502,0.553,0.516,0.608,**0.612**
it,Dummy Classifier,0.350,0.362,0.352,0.413,0.324,0.352
it,KNN,0.387,0.357,0.352,0.352,0.348,0.353
it,LinearSVM,0.471,0.449,0.505,0.575,0.545,0.652
it,LogisticRegression,0.487,0.474,0.501,0.577,0.571,0.633
it,LogisticRegressionElasticNet,0.472,0.485,0.574,0.563,0.656,0.601
it,LogisticRegressionLasso,0.523,0.526,0.494,0.583,0.517,0.564
it,LogisticRegressionRidge,0.466,0.496,0.502,0.595,0.584,0.585
it,NaiveBayes,0.488,0.501,0.519,0.583,0.533,0.583
it,RandomForest,0.448,0.541,0.514,0.599,0.581,0.629
it,RidgeClassifier,0.485,0.479,0.487,0.587,0.582,**0.666**
it,SVM,0.474,0.313,0.343,0.453,0.291,0.430
it,XGBoost,0.381,0.527,0.411,0.460,0.512,0.575
po,Dummy Classifier,0.472,0.463,0.506,0.454,0.453,0.464
po,KNN,0.525,0.418,0.587,0.349,0.571,0.225
po,LinearSVM,0.570,0.526,0.579,0.572,0.675,0.650
po,LogisticRegression,0.580,0.534,0.562,0.608,0.632,0.750
po,LogisticRegressionElasticNet,0.594,0.542,0.581,0.580,0.597,0.686
po,LogisticRegressionLasso,0.593,0.583,0.524,0.585,0.632,0.617
po,LogisticRegressionRidge,0.595,0.524,0.566,0.595,0.715,0.718
po,NaiveBayes,0.584,0.570,0.583,0.601,0.575,0.580
po,RandomForest,0.639,0.520,0.517,0.558,0.752,**0.768**
po,RidgeClassifier,0.583,0.515,0.562,0.589,0.713,0.736
po,SVM,0.482,0.430,0.422,0.375,0.376,0.417
po,XGBoost,0.523,0.528,0.553,0.537,0.633,0.766
ru,Dummy Classifier,0.212,0.210,0.216,0.219,0.245,0.194
ru,KNN,0.307,0.236,0.219,0.218,0.219,0.219
ru,LinearSVM,0.460,0.298,0.363,0.435,0.432,0.503
ru,LogisticRegression,0.452,0.344,0.469,0.430,0.387,0.527
ru,LogisticRegressionElasticNet,0.500,0.287,0.383,0.417,0.372,0.483
ru,LogisticRegressionLasso,0.505,0.282,0.291,**0.565**,0.409,0.421
ru,LogisticRegressionRidge,0.368,0.450,0.494,0.466,0.440,0.480
ru,NaiveBayes,0.378,0.377,0.393,0.426,0.434,0.433
ru,RandomForest,0.447,0.282,0.378,0.355,0.488,0.508
ru,RidgeClassifier,0.397,0.422,0.377,0.405,0.412,0.480
ru,SVM,0.211,0.163,0.163,0.021,0.157,0.020
ru,XGBoost,0.352,0.289,0.322,0.378,0.427,0.550
