model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.287,0.378,0.270,0.287,0.213,0.174
ComplementNaiveBayes,0.474,0.448,0.361,0.439,0.404,0.491
Dummy Classifier,0.487,0.500,0.461,0.374,0.470,0.487
KNN,0.891,0.904,**1.000**,**1.000**,0.839,**1.000**
LinearSVM,0.383,0.374,0.330,0.365,0.374,0.417
LogisticRegression,0.430,0.357,0.343,0.374,0.391,0.439
LogisticRegressionElasticNet,0.309,0.357,0.339,0.361,0.435,0.443
LogisticRegressionLasso,0.283,0.361,0.348,0.400,0.461,0.470
LogisticRegressionRidge,0.426,0.413,0.378,0.409,0.383,0.417
Multilabel k Nearest Neighbours,0.417,0.439,0.396,0.491,0.322,0.348
NaiveBayes,0.552,0.622,0.622,0.613,0.691,0.717
RandomForest,0.304,0.439,0.391,0.435,0.374,0.435
RidgeClassifier,0.448,0.409,0.378,0.404,0.387,0.452
SVM,0.300,0.017,0.161,0.174,0.274,0.335
XGBoost,0.270,0.435,0.400,0.413,0.413,0.443
