language,model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,0.428,0.531,0.345,0.320,0.323,0.291
en,ComplementNaiveBayes,0.560,0.599,0.628,0.655,0.648,0.682
en,Dummy Classifier,0.482,0.533,0.499,0.416,0.491,0.491
en,KNN,0.792,0.719,0.680,**0.829**,0.800,0.523
en,LinearSVM,0.557,0.587,0.599,0.621,0.619,0.658
en,LogisticRegression,0.555,0.589,0.582,0.606,0.623,0.658
en,LogisticRegressionElasticNet,0.560,0.572,0.582,0.589,0.636,0.631
en,LogisticRegressionLasso,0.482,0.577,0.575,0.587,0.623,0.601
en,LogisticRegressionRidge,0.589,0.592,0.601,0.626,0.616,0.660
en,Multi-label ARAM,0.064,0,0,0,0,0
en,Multilabel k Nearest Neighbours,0.369,0.570,0.494,0.548,0.523,0.626
en,NaiveBayes,0.667,0.719,0.753,0.751,0.760,0.760
en,RandomForest,0.518,0.567,0.577,0.604,0.604,0.609
en,RidgeClassifier,0.570,0.614,0.587,0.621,0.614,0.653
en,SVM,0.450,0.428,0.457,0.479,0.516,0.535
en,XGBoost,0.479,0.567,0.584,0.570,0.592,0.614
fr,Binary Relevance kNN,0.214,0.175,0.087,0.159,0.190,0.063
fr,ComplementNaiveBayes,0.349,0.429,0.365,0.349,0.365,0.381
fr,Dummy Classifier,0.563,0.532,0.492,0.468,0.532,0.484
fr,KNN,0.865,0.968,0.992,**1.000**,0.659,**1.000**
fr,LinearSVM,0.254,0.286,0.302,0.206,0.286,0.270
fr,LogisticRegression,0.341,0.317,0.286,0.206,0.294,0.286
fr,LogisticRegressionElasticNet,0.214,0.333,0.302,0.230,0.317,0.302
fr,LogisticRegressionLasso,0.246,0.397,0.325,0.270,0.389,0.421
fr,LogisticRegressionRidge,0.357,0.373,0.310,0.254,0.278,0.278
fr,Multilabel k Nearest Neighbours,0.270,0.333,0.389,0.246,0.095,0.389
fr,NaiveBayes,0.429,0.532,0.524,0.563,0.571,0.690
fr,RandomForest,0.246,0.278,0.238,0.246,0.278,0.325
fr,RidgeClassifier,0.381,0.381,0.317,0.246,0.278,0.294
fr,SVM,0.317,0.063,0.079,0.032,0.063,0.008
fr,XGBoost,0.230,0.381,0.294,0.278,0.365,0.405
ge,Binary Relevance kNN,0.360,0.448,0.360,0.285,0.326,0.174
ge,ComplementNaiveBayes,0.448,0.453,0.413,0.436,0.483,0.552
ge,Dummy Classifier,0.517,0.500,0.494,0.459,0.529,0.523
ge,KNN,0.686,0.756,0.767,**0.860**,0.767,0.756
ge,LinearSVM,0.302,0.337,0.355,0.360,0.430,0.442
ge,LogisticRegression,0.308,0.378,0.378,0.372,0.424,0.448
ge,LogisticRegressionElasticNet,0.250,0.360,0.390,0.366,0.424,0.494
ge,LogisticRegressionLasso,0.145,0.366,0.384,0.343,0.436,0.506
ge,LogisticRegressionRidge,0.302,0.477,0.459,0.448,0.453,0.436
ge,Multilabel k Nearest Neighbours,0.459,0.436,0.459,0.390,0.262,0.256
ge,NaiveBayes,0.314,0.605,0.581,0.599,0.663,0.698
ge,RandomForest,0.291,0.576,0.378,0.372,0.378,0.395
ge,RidgeClassifier,0.343,0.494,0.448,0.419,0.448,0.442
ge,SVM,0.483,0.250,0.314,0.436,0.372,0.547
ge,XGBoost,0.279,0.669,0.343,0.343,0.401,0.453
it,Binary Relevance kNN,0.287,0.378,0.270,0.287,0.213,0.174
it,ComplementNaiveBayes,0.474,0.448,0.361,0.439,0.404,0.491
it,Dummy Classifier,0.487,0.500,0.461,0.374,0.470,0.487
it,KNN,0.891,0.904,**1.000**,**1.000**,0.839,**1.000**
it,LinearSVM,0.383,0.374,0.330,0.365,0.374,0.417
it,LogisticRegression,0.430,0.357,0.343,0.374,0.391,0.439
it,LogisticRegressionElasticNet,0.309,0.357,0.339,0.361,0.435,0.443
it,LogisticRegressionLasso,0.283,0.361,0.348,0.400,0.461,0.470
it,LogisticRegressionRidge,0.426,0.413,0.378,0.409,0.383,0.417
it,Multilabel k Nearest Neighbours,0.417,0.439,0.396,0.491,0.322,0.348
