model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.05 $\pm$ 0.01,0.02 $\pm$ 0.02,0.05 $\pm$ 0.02,0.01 $\pm$ 0.01,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.33 $\pm$ 0.00,0.33 $\pm$ 0.02,0.38 $\pm$ 0.03,0.39 $\pm$ 0.01,0.40 $\pm$ 0.04,0.36 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyMostFrequent,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyProbSampling,0.22 $\pm$ 0.01,0.21 $\pm$ 0.02,0.21 $\pm$ 0.01,0.24 $\pm$ 0.02,0.22 $\pm$ 0.01,0.20 $\pm$ 0.02
Dummy Classifier,No Upsampling,DummyUniformSampling,0.30 $\pm$ 0.01,0.29 $\pm$ 0.02,0.26 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.02,0.30 $\pm$ 0.01
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.34 $\pm$ 0.01,0.34 $\pm$ 0.03,0.34 $\pm$ 0.00,0.34 $\pm$ 0.01,0.34 $\pm$ 0.01,0.34 $\pm$ 0.01
KNN,No Upsampling,kNN,0.11 $\pm$ 0.01,0.09 $\pm$ 0.02,0.15 $\pm$ 0.04,0.10 $\pm$ 0.03,0.07 $\pm$ 0.03,0.06 $\pm$ 0.03
KNN,Random Oversampling,kNN_ROS,0.30 $\pm$ 0.02,0.22 $\pm$ 0.03,0.33 $\pm$ 0.04,0.28 $\pm$ 0.01,0.23 $\pm$ 0.01,0.25 $\pm$ 0.06
KNN,SMOTE,kNN_SMOTE,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01
