model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.04 $\pm$ 0.01,0.03 $\pm$ 0.04,0.05 $\pm$ 0.03,0.00 $\pm$ 0.00,0.03 $\pm$ 0.03,0.00 $\pm$ 0.00
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.20 $\pm$ 0.01,0.20 $\pm$ 0.00,0.20 $\pm$ 0.00,0.20 $\pm$ 0.00,0.19 $\pm$ 0.02,0.20 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.37 $\pm$ 0.01,0.41 $\pm$ 0.04,0.35 $\pm$ 0.03,0.36 $\pm$ 0.02,0.42 $\pm$ 0.02,0.40 $\pm$ 0.03
Dummy Classifier,No Upsampling,DummyMostFrequent,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyProbSampling,0.22 $\pm$ 0.02,0.22 $\pm$ 0.02,0.22 $\pm$ 0.01,0.24 $\pm$ 0.02,0.21 $\pm$ 0.01,0.20 $\pm$ 0.03
Dummy Classifier,No Upsampling,DummyUniformSampling,0.51 $\pm$ 0.04,0.49 $\pm$ 0.02,0.44 $\pm$ 0.01,0.47 $\pm$ 0.03,0.45 $\pm$ 0.02,0.51 $\pm$ 0.03
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.90 $\pm$ 0.04,0.77 $\pm$ 0.07,0.91 $\pm$ 0.05,0.95 $\pm$ 0.05,0.90 $\pm$ 0.07,0.91 $\pm$ 0.04
KNN,No Upsampling,kNN,0.11 $\pm$ 0.01,0.12 $\pm$ 0.06,0.16 $\pm$ 0.03,0.08 $\pm$ 0.03,0.11 $\pm$ 0.06,0.05 $\pm$ 0.04
KNN,Random Oversampling,kNN_ROS,0.35 $\pm$ 0.03,0.35 $\pm$ 0.01,0.54 $\pm$ 0.03,0.38 $\pm$ 0.04,0.45 $\pm$ 0.07,0.38 $\pm$ 0.09
KNN,SMOTE,kNN_SMOTE,0.96 $\pm$ 0.03,0.86 $\pm$ 0.03,0.99 $\pm$ 0.01,**1.00 $\pm$ 0.00**,0.98 $\pm$ 0.02,**1.00 $\pm$ 0.00**
LinearSVM,BorderlineSMOTE,LinearSVM_BorderlineSMOTE,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LinearSVM,No Upsampling,LinearSVM,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.27 $\pm$ 0.03,0.28 $\pm$ 0.03,0.26 $\pm$ 0.02,0.27 $\pm$ 0.01,0.31 $\pm$ 0.04,0.31 $\pm$ 0.03
LinearSVM,Random Oversampling,LinearSVM_ROS,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LinearSVM,SMOTE,LinearSVM_SMOTE,0.25 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.23 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.03
LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.26 $\pm$ 0.02,0.26 $\pm$ 0.03,0.23 $\pm$ 0.02,0.22 $\pm$ 0.01,0.31 $\pm$ 0.00,0.31 $\pm$ 0.02
LogisticRegression,No Upsampling,LogisticRegression,0.25 $\pm$ 0.01,0.29 $\pm$ 0.02,0.24 $\pm$ 0.02,0.24 $\pm$ 0.01,0.30 $\pm$ 0.02,0.28 $\pm$ 0.02
LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.26 $\pm$ 0.02,0.28 $\pm$ 0.02,0.23 $\pm$ 0.02,0.22 $\pm$ 0.02,0.33 $\pm$ 0.00,0.32 $\pm$ 0.03
LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.26 $\pm$ 0.03,0.27 $\pm$ 0.03,0.23 $\pm$ 0.01,0.22 $\pm$ 0.01,0.32 $\pm$ 0.01,0.30 $\pm$ 0.04
LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0,0.27 $\pm$ 0.03,0,0,0,0.27 $\pm$ 0.02
LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.25 $\pm$ 0.03,0.26 $\pm$ 0.04,0.27 $\pm$ 0.03,0.28 $\pm$ 0.03,0.30 $\pm$ 0.01,0.35 $\pm$ 0.03
LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,0.23 $\pm$ 0.03,0.22 $\pm$ 0.02,0.22 $\pm$ 0.01,0.22 $\pm$ 0.02,0.27 $\pm$ 0.01,0.29 $\pm$ 0.02
LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,0.27 $\pm$ 0.03,0.28 $\pm$ 0.04,0.29 $\pm$ 0.02,0.31 $\pm$ 0.03,0.34 $\pm$ 0.02,0.38 $\pm$ 0.04
LogisticRegressionElasticNet,SMOTE,LogisticRegressionElasticNet_SMOTE,0.26 $\pm$ 0.02,0.27 $\pm$ 0.03,0.28 $\pm$ 0.03,0.29 $\pm$ 0.02,0.30 $\pm$ 0.00,0.35 $\pm$ 0.04
LogisticRegressionElasticNet,SVMSMOTE,LogisticRegressionElasticNet_SVMSMOTE,0,0.25 $\pm$ 0.03,0,0,0,0.34 $\pm$ 0.03
LogisticRegressionLasso,BorderlineSMOTE,LogisticRegressionLasso_BorderlineSMOTE,0.18 $\pm$ 0.02,0.23 $\pm$ 0.04,0.24 $\pm$ 0.02,0.26 $\pm$ 0.05,0.25 $\pm$ 0.05,0.30 $\pm$ 0.02
LogisticRegressionLasso,No Upsampling,LogisticRegressionLasso,0.16 $\pm$ 0.02,0.23 $\pm$ 0.02,0.23 $\pm$ 0.03,0.23 $\pm$ 0.05,0.22 $\pm$ 0.03,0.25 $\pm$ 0.01
LogisticRegressionLasso,Random Oversampling,LogisticRegressionLasso_ROS,0.17 $\pm$ 0.02,0.26 $\pm$ 0.04,0.26 $\pm$ 0.03,0.27 $\pm$ 0.05,0.25 $\pm$ 0.04,0.31 $\pm$ 0.01
LogisticRegressionLasso,SMOTE,LogisticRegressionLasso_SMOTE,0.17 $\pm$ 0.02,0.24 $\pm$ 0.03,0.25 $\pm$ 0.02,0.25 $\pm$ 0.04,0.25 $\pm$ 0.04,0.30 $\pm$ 0.02
LogisticRegressionLasso,SVMSMOTE,LogisticRegressionLasso_SVMSMOTE,0,0.23 $\pm$ 0.04,0,0,0,0.32 $\pm$ 0.02
