model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.05 $\pm$ 0.02,0.03 $\pm$ 0.02,0.05 $\pm$ 0.01
Dummy Classifier,No Upsampling,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
KNN,BorderlineSMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
KNN,No Upsampling,0.02 $\pm$ 0.02,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.03,0.01 $\pm$ 0.01
KNN,Random Oversampling,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
KNN,SMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
KNN,SVMSMOTE,0.00 $\pm$ 0.00,0,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0,0.00 $\pm$ 0.00
LinearSVM,BorderlineSMOTE,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02
LinearSVM,No Upsampling,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,0.03 $\pm$ 0.02,0.04 $\pm$ 0.00,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02,0.06 $\pm$ 0.01,0.08 $\pm$ 0.03
LinearSVM,Random Oversampling,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02
LinearSVM,SMOTE,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02,0.06 $\pm$ 0.02,0.07 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.01,0.07 $\pm$ 0.02,0.06 $\pm$ 0.03
LogisticRegression,No Upsampling,0.03 $\pm$ 0.01,0.02 $\pm$ 0.01,0.06 $\pm$ 0.01,0.07 $\pm$ 0.02,0.06 $\pm$ 0.02,0.06 $\pm$ 0.03
LogisticRegression,Random Oversampling,0.03 $\pm$ 0.01,0.02 $\pm$ 0.00,0.05 $\pm$ 0.02,0.06 $\pm$ 0.03,0.05 $\pm$ 0.02,0.06 $\pm$ 0.02
LogisticRegression,SMOTE,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.02,0.05 $\pm$ 0.01,0.07 $\pm$ 0.02
LogisticRegression,SVMSMOTE,0.03 $\pm$ 0.01,0.03 $\pm$ 0.01,0.05 $\pm$ 0.02,0.05 $\pm$ 0.03,0.04 $\pm$ 0.03,0.07 $\pm$ 0.03
LogisticRegressionElasticNet,BorderlineSMOTE,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.05 $\pm$ 0.02,0.04 $\pm$ 0.01,0.05 $\pm$ 0.03,0.06 $\pm$ 0.04
LogisticRegressionElasticNet,No Upsampling,0.04 $\pm$ 0.02,0.03 $\pm$ 0.01,0.05 $\pm$ 0.01,0.07 $\pm$ 0.01,0.06 $\pm$ 0.03,0.07 $\pm$ 0.04
LogisticRegressionElasticNet,Random Oversampling,0.04 $\pm$ 0.02,0.02 $\pm$ 0.01,0.06 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.03,0.07 $\pm$ 0.04
LogisticRegressionElasticNet,SMOTE,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.05 $\pm$ 0.01,0.05 $\pm$ 0.01,0.06 $\pm$ 0.02,0.06 $\pm$ 0.03
LogisticRegressionElasticNet,SVMSMOTE,0.03 $\pm$ 0.02,0.03 $\pm$ 0.01,0.06 $\pm$ 0.02,0.06 $\pm$ 0.01,0.07 $\pm$ 0.02,0.07 $\pm$ 0.04
LogisticRegressionLasso,BorderlineSMOTE,0.04 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.02,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01
LogisticRegressionLasso,No Upsampling,0.05 $\pm$ 0.02,0.03 $\pm$ 0.01,0.04 $\pm$ 0.02,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01
LogisticRegressionLasso,Random Oversampling,0.05 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.03,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01
LogisticRegressionLasso,SMOTE,0.05 $\pm$ 0.02,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02,0.03 $\pm$ 0.02,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01
LogisticRegressionLasso,SVMSMOTE,0.04 $\pm$ 0.03,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.02,0.03 $\pm$ 0.00
