model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.08 $\pm$ 0.04,0.14 $\pm$ 0.06,0.06 $\pm$ 0.00,0.06 $\pm$ 0.01,0.07 $\pm$ 0.01,0.08 $\pm$ 0.01
ComplementNB,0.35 $\pm$ 0.03,0.37 $\pm$ 0.01,0.43 $\pm$ 0.01,0.45 $\pm$ 0.03,0.42 $\pm$ 0.01,0.48 $\pm$ 0.04
Dummy Classifier,0.25 $\pm$ 0.02,0.28 $\pm$ 0.02,0.27 $\pm$ 0.03,0.27 $\pm$ 0.01,0.28 $\pm$ 0.01,0.29 $\pm$ 0.01
KNN,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.05,0.28 $\pm$ 0.01
LinearSVM,0.42 $\pm$ 0.01,0.44 $\pm$ 0.03,0.47 $\pm$ 0.06,0.52 $\pm$ 0.06,0.46 $\pm$ 0.05,0.52 $\pm$ 0.05
LogisticRegression,0.41 $\pm$ 0.01,0.43 $\pm$ 0.02,0.50 $\pm$ 0.07,0.52 $\pm$ 0.03,0.47 $\pm$ 0.03,0.51 $\pm$ 0.06
LogisticRegressionElasticNet,0.43 $\pm$ 0.03,0.44 $\pm$ 0.04,0.48 $\pm$ 0.03,0.50 $\pm$ 0.02,0.45 $\pm$ 0.04,**0.58 $\pm$ 0.06**
LogisticRegressionLasso,0.46 $\pm$ 0.02,0.42 $\pm$ 0.02,0.45 $\pm$ 0.02,0.41 $\pm$ 0.05,0.46 $\pm$ 0.04,0.48 $\pm$ 0.04
LogisticRegressionRidge,0.42 $\pm$ 0.04,0.45 $\pm$ 0.02,0.53 $\pm$ 0.09,0.55 $\pm$ 0.03,0.54 $\pm$ 0.08,0.53 $\pm$ 0.08
Multi-label ARAM,0.11 $\pm$ 0.01,0.10 $\pm$ 0.00,0.10 $\pm$ 0.00,0.06 $\pm$ 0.03,0.08 $\pm$ 0.03,0.08 $\pm$ 0.03
Multilabel k Nearest Neighbours,0.39 $\pm$ 0.03,0.34 $\pm$ 0.02,0.33 $\pm$ 0.03,0.40 $\pm$ 0.01,0.33 $\pm$ 0.08,0.43 $\pm$ 0.05
NaiveBayes,0.38 $\pm$ 0.02,0.41 $\pm$ 0.03,0.44 $\pm$ 0.02,0.45 $\pm$ 0.02,0.44 $\pm$ 0.01,0.49 $\pm$ 0.02
RandomForest,0.53 $\pm$ 0.07,0.41 $\pm$ 0.06,0.52 $\pm$ 0.07,0.48 $\pm$ 0.04,0.44 $\pm$ 0.06,0.57 $\pm$ 0.07
RidgeClassifier,0.40 $\pm$ 0.03,0.45 $\pm$ 0.01,0.52 $\pm$ 0.09,0.53 $\pm$ 0.03,0.53 $\pm$ 0.09,0.52 $\pm$ 0.08
SVM,0.29 $\pm$ 0.04,0.05 $\pm$ 0.06,0.20 $\pm$ 0.13,0.06 $\pm$ 0.05,0.13 $\pm$ 0.05,0.19 $\pm$ 0.03
XGBoost,0.48 $\pm$ 0.01,0.38 $\pm$ 0.01,0.39 $\pm$ 0.03,0.44 $\pm$ 0.05,0.42 $\pm$ 0.03,0.51 $\pm$ 0.02
