model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.06 $\pm$ 0.00,0.07 $\pm$ 0.01,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00,0.06 $\pm$ 0.00
ComplementNB,0.30 $\pm$ 0.01,0.34 $\pm$ 0.05,0.45 $\pm$ 0.04,0.52 $\pm$ 0.03,0.43 $\pm$ 0.06,0.39 $\pm$ 0.02
Dummy Classifier,0.23 $\pm$ 0.01,0.22 $\pm$ 0.02,0.19 $\pm$ 0.01,0.21 $\pm$ 0.00,0.20 $\pm$ 0.02,0.23 $\pm$ 0.01
KNN,0.22 $\pm$ 0.01,0.24 $\pm$ 0.01,0.22 $\pm$ 0.01,0.22 $\pm$ 0.01,0.23 $\pm$ 0.01,0.22 $\pm$ 0.01
LinearSVM,0.34 $\pm$ 0.05,0.40 $\pm$ 0.03,0.48 $\pm$ 0.07,**0.59 $\pm$ 0.03**,0.48 $\pm$ 0.06,0.52 $\pm$ 0.05
LogisticRegression,0.35 $\pm$ 0.02,0.42 $\pm$ 0.04,0.49 $\pm$ 0.03,0.56 $\pm$ 0.02,0.52 $\pm$ 0.03,0.53 $\pm$ 0.02
LogisticRegressionElasticNet,0.37 $\pm$ 0.02,0.43 $\pm$ 0.01,0.49 $\pm$ 0.01,0.57 $\pm$ 0.02,0.47 $\pm$ 0.03,0.52 $\pm$ 0.03
LogisticRegressionLasso,0.38 $\pm$ 0.04,0.41 $\pm$ 0.02,0.41 $\pm$ 0.04,0.47 $\pm$ 0.02,0.51 $\pm$ 0.07,0.47 $\pm$ 0.01
LogisticRegressionRidge,0.38 $\pm$ 0.02,0.45 $\pm$ 0.02,0.53 $\pm$ 0.03,0.56 $\pm$ 0.04,0.54 $\pm$ 0.01,0.56 $\pm$ 0.07
Multi-label ARAM,0.06 $\pm$ 0.01,0.05 $\pm$ 0.00,0.05 $\pm$ 0.00,0.05 $\pm$ 0.00,0.06 $\pm$ 0.01,0.04 $\pm$ 0.01
Multilabel k Nearest Neighbours,0.31 $\pm$ 0.06,0.32 $\pm$ 0.02,0.35 $\pm$ 0.04,0.34 $\pm$ 0.05,0.36 $\pm$ 0.08,0.39 $\pm$ 0.04
NaiveBayes,0.31 $\pm$ 0.00,0.37 $\pm$ 0.03,0.40 $\pm$ 0.01,0.44 $\pm$ 0.03,0.43 $\pm$ 0.02,0.45 $\pm$ 0.02
RandomForest,0.44 $\pm$ 0.01,0.54 $\pm$ 0.05,0.43 $\pm$ 0.02,0.56 $\pm$ 0.03,0.50 $\pm$ 0.02,0.57 $\pm$ 0.04
RidgeClassifier,0.37 $\pm$ 0.01,0.44 $\pm$ 0.01,0.53 $\pm$ 0.02,0.57 $\pm$ 0.05,0.56 $\pm$ 0.02,0.56 $\pm$ 0.05
SVM,0.43 $\pm$ 0.08,0.17 $\pm$ 0.03,0.22 $\pm$ 0.12,0.28 $\pm$ 0.20,0.21 $\pm$ 0.14,0.15 $\pm$ 0.07
XGBoost,0.36 $\pm$ 0.05,0.39 $\pm$ 0.07,0.40 $\pm$ 0.07,0.46 $\pm$ 0.04,0.42 $\pm$ 0.01,0.51 $\pm$ 0.03
