language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,AshtonIsNotHere-xlm-roberta-long-base-4096,0.640,0.700,0.684,0.699,0.696,0.679
en,EleutherAI-gpt-neo-1.3B,0.630,0.703,0.707,0.693,0.692,0.692
en,EleutherAI-gpt-neo-125M,0.530,0.623,0.637,0.634,0.649,0.654
en,bert-base-multilingual-cased,0.610,0.677,0.700,0.707,0.682,0.688
en,distilbert-base-multilingual-cased,0.596,0.665,0.661,0.672,0.662,0.683
en,facebook-mbart-large-50,0.677,0.717,0.719,0.721,**0.723**,0.701
en,gpt2,0.618,0.693,0.690,0.673,0.696,0.691
en,xlm-roberta-large,0.660,0.694,0.718,0.715,0.710,0.687
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,0.400,0.460,0.486,0.449,0.513,0.491
fr,EleutherAI-gpt-neo-1.3B,0.379,0.448,0.441,0.394,0.433,0.483
fr,EleutherAI-gpt-neo-125M,0.227,0.359,0.358,0.352,0.414,0.459
fr,bert-base-multilingual-cased,0.419,0.412,0.441,0.494,0.517,0.498
fr,distilbert-base-multilingual-cased,0.371,0.461,0.460,0.508,0.532,**0.544**
fr,facebook-mbart-large-50,0.453,0.475,0.530,0.504,0.534,0.522
fr,gpt2,0.323,0.386,0.400,0.449,0.400,0.495
fr,xlm-roberta-large,0.434,0.480,0.502,0.500,0.529,0.513
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,0.559,0.592,0.567,0.603,0.581,0.636
ge,EleutherAI-gpt-neo-1.3B,0.466,0.572,0.585,0.593,0.582,0.636
ge,EleutherAI-gpt-neo-125M,0.409,0.480,0.509,0.496,0.518,0.592
ge,bert-base-multilingual-cased,0.500,0.568,0.591,0.616,0.583,**0.654**
ge,distilbert-base-multilingual-cased,0.516,0.571,0.542,0.583,0.576,0.638
ge,facebook-mbart-large-50,0.585,0.601,0.566,0.628,0.616,0.645
ge,gpt2,0.475,0.525,0.485,0.581,0.512,0.618
ge,xlm-roberta-large,0.565,0.630,0.587,0.638,0.623,0.636
it,AshtonIsNotHere-xlm-roberta-long-base-4096,0.570,0.551,0.552,0.573,0.542,0.573
it,EleutherAI-gpt-neo-1.3B,0.437,0.538,0.527,0.537,0.541,0.575
it,EleutherAI-gpt-neo-125M,0.300,0.324,0.442,0.475,0.459,0.509
it,bert-base-multilingual-cased,0.479,0.572,0.566,0.592,0.574,0.585
it,distilbert-base-multilingual-cased,0.476,0.545,0.564,0.589,0.535,0.589
it,facebook-mbart-large-50,0.533,0.585,0.590,0.593,0.593,**0.627**
it,gpt2,0.397,0.485,0.513,0.543,0.469,0.525
it,xlm-roberta-large,0.532,0.587,0.602,0.598,0.570,0.573
po,AshtonIsNotHere-xlm-roberta-long-base-4096,0.507,0.599,0.617,0.607,0.623,0.607
po,EleutherAI-gpt-neo-1.3B,0.464,0.515,0.618,0.586,0.618,0.604
po,EleutherAI-gpt-neo-125M,0.453,0.496,0.516,0.566,0.522,0.511
po,bert-base-multilingual-cased,0.571,0.620,0.652,0.654,0.646,0.624
po,distilbert-base-multilingual-cased,0.558,0.542,0.592,0.639,0.623,0.604
po,facebook-mbart-large-50,0.565,0.604,0.676,0.665,**0.680**,0.652
po,gpt2,0.517,0.538,0.591,0.621,0.568,0.590
po,xlm-roberta-large,0.569,0.640,0.634,0.641,0.667,0.665
ru,AshtonIsNotHere-xlm-roberta-long-base-4096,0.419,0.465,0.474,0.487,0.521,**0.530**
ru,EleutherAI-gpt-neo-1.3B,0.319,0.286,0.377,0.387,0.409,0.374
ru,EleutherAI-gpt-neo-125M,0.162,0.220,0.240,0.217,0.122,0.151
ru,bert-base-multilingual-cased,0.366,0.436,0.516,0.471,0.447,0.497
ru,distilbert-base-multilingual-cased,0.318,0.407,0.470,0.500,0.461,0.488
ru,facebook-mbart-large-50,0.426,0.435,0.511,0.490,0.519,0.507
ru,gpt2,0.159,0.107,0.075,0.095,0.126,0.215
ru,xlm-roberta-large,0.403,0.446,0.479,0.455,0.486,0.455
