language,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,AshtonIsNotHere-xlm-roberta-long-base-4096,0.717,0.774,0.776,0.765,0.758,0.749
en,EleutherAI-gpt-neo-1.3B,0.761,0.794,0.824,0.812,0.810,0.796
en,EleutherAI-gpt-neo-125M,0.646,0.730,0.735,0.752,0.780,0.782
en,bert-base-multilingual-cased,0.696,0.765,0.787,0.776,0.760,0.772
en,distilbert-base-multilingual-cased,0.684,0.759,0.769,0.735,0.755,0.754
en,facebook-mbart-large-50,0.778,0.795,0.812,0.804,0.799,0.771
en,gpt2,0.709,0.751,0.725,0.711,0.754,0.763
en,xlm-roberta-large,0.759,0.765,**0.825**,0.804,0.784,0.770
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,0.455,0.520,0.562,0.505,0.580,0.574
fr,EleutherAI-gpt-neo-1.3B,0.536,0.600,0.540,0.542,0.571,0.600
fr,EleutherAI-gpt-neo-125M,0.324,0.463,0.480,0.440,0.545,**0.643**
fr,bert-base-multilingual-cased,0.524,0.538,0.495,0.532,0.566,0.579
fr,distilbert-base-multilingual-cased,0.481,0.510,0.520,0.545,0.615,0.575
fr,facebook-mbart-large-50,0.558,0.559,0.640,0.570,0.585,0.590
fr,gpt2,0.371,0.443,0.483,0.505,0.500,0.602
fr,xlm-roberta-large,0.505,0.545,0.577,0.547,0.594,0.580
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,0.702,0.662,0.686,0.773,0.694,0.721
ge,EleutherAI-gpt-neo-1.3B,0.678,0.703,0.705,**0.802**,0.735,0.738
ge,EleutherAI-gpt-neo-125M,0.533,0.641,0.680,0.651,0.679,0.739
ge,bert-base-multilingual-cased,0.608,0.677,0.698,0.707,0.633,0.697
ge,distilbert-base-multilingual-cased,0.658,0.636,0.638,0.699,0.691,0.682
ge,facebook-mbart-large-50,0.741,0.667,0.672,0.760,0.715,0.752
ge,gpt2,0.559,0.624,0.587,0.652,0.661,0.676
ge,xlm-roberta-large,0.721,0.705,0.711,0.735,0.714,0.729
it,AshtonIsNotHere-xlm-roberta-long-base-4096,0.705,0.657,0.661,0.735,0.719,0.714
it,EleutherAI-gpt-neo-1.3B,0.644,0.731,0.756,0.726,0.714,0.732
it,EleutherAI-gpt-neo-125M,0.392,0.483,0.606,0.586,0.607,0.676
it,bert-base-multilingual-cased,0.569,0.703,0.669,0.692,0.683,0.713
it,distilbert-base-multilingual-cased,0.570,0.651,0.671,0.669,0.639,0.684
it,facebook-mbart-large-50,0.678,0.732,0.760,0.780,0.728,**0.784**
it,gpt2,0.487,0.578,0.587,0.608,0.628,0.609
it,xlm-roberta-large,0.673,0.729,0.765,0.764,0.725,0.757
po,AshtonIsNotHere-xlm-roberta-long-base-4096,0.604,0.661,0.682,0.750,0.757,0.720
po,EleutherAI-gpt-neo-1.3B,0.566,0.659,0.725,0.750,0.741,0.731
po,EleutherAI-gpt-neo-125M,0.544,0.591,0.586,0.622,0.659,0.683
po,bert-base-multilingual-cased,0.633,0.690,0.733,0.724,0.750,0.699
po,distilbert-base-multilingual-cased,0.647,0.592,0.679,0.747,0.713,0.673
po,facebook-mbart-large-50,0.614,0.679,0.770,**0.792**,0.788,0.756
po,gpt2,0.559,0.611,0.586,0.684,0.667,0.700
po,xlm-roberta-large,0.644,0.703,0.711,0.744,0.771,0.758
ru,AshtonIsNotHere-xlm-roberta-long-base-4096,0.500,0.522,0.545,0.561,0.633,0.615
ru,EleutherAI-gpt-neo-1.3B,0.576,0.515,0.639,0.632,0.634,0.622
ru,EleutherAI-gpt-neo-125M,0.360,0.341,0.385,0.288,0.241,0.273
ru,bert-base-multilingual-cased,0.464,0.486,0.580,0.537,0.515,0.567
ru,distilbert-base-multilingual-cased,0.457,0.434,0.556,0.541,0.530,0.500
ru,facebook-mbart-large-50,0.580,0.577,0.655,0.614,**0.714**,0.617
ru,gpt2,0.333,0.231,0.190,0.263,0.280,0.371
ru,xlm-roberta-large,0.562,0.585,0.607,0.559,0.581,0.559
