language,model_name,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
en,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.6841415465268675,0.7372881355932204,0.6381418092909535,0.522956566121031,0.5743191437446642,0.4937172904397809,0.0970873786407767
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.6277173913043478,0.7064220183486238,0.5647921760391198,0.4623682889941199,0.5713847139899142,0.4145421846911707,0.0679611650485436
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.6883963494132986,0.7374301675977654,0.6454767726161369,0.5213311454806716,0.605305698134221,0.4787378502231507,0.0970873786407767
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.6850828729281768,0.7873015873015873,0.6063569682151589,0.5179804396138011,0.6315079182441581,0.4560467434616902,0.116504854368932
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.6791946308724832,0.7529761904761905,0.6185819070904646,0.4812948382882356,0.6088762255426279,0.430143387277179,0.0970873786407767
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.7041499330655958,0.7781065088757396,0.6430317848410758,0.5831059012906821,0.7156123630131839,0.5281201352154496,0.1262135922330097
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.5371900826446282,0.5603448275862069,0.5158730158730159,0.4441936470588044,0.5623301952359891,0.4208828076685219,0.0714285714285714
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.4166666666666666,0.5,0.3571428571428571,0.2263496865773906,0.2687755102040817,0.2289177489177489,0.0714285714285714
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.502127659574468,0.5412844036697247,0.4682539682539682,0.4007443475488589,0.5410466100315724,0.3776376004947433,0.0238095238095238
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.4814814814814814,0.5777777777777777,0.4126984126984127,0.3870877752505536,0.5391134085213033,0.3421536796536796,0.0952380952380952
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.4608294930875576,0.5494505494505495,0.3968253968253968,0.3462101465432039,0.4156746031746032,0.3293784786641929,0.0952380952380952
