language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.6730615507593924,0.7781885397412199,0.5929577464788732,0.7611431841935001,0.13953488372093023
en,fold_2,title_and_first_paragraph,0.6598639455782312,0.754863813229572,0.5861027190332326,0.7566772255674246,0.10526315789473684
en,fold_3,title_and_first_paragraph,0.6728343145500421,0.7476635514018691,0.6116207951070336,0.7670172941052409,0.1111111111111111
fr,fold_1,title_and_first_paragraph,0.4767441860465117,0.6666666666666666,0.37104072398190047,0.6585111393295536,0.07142857142857142
fr,fold_2,title_and_first_paragraph,0.4638554216867469,0.6260162601626016,0.3684210526315789,0.654379138507748,0.05714285714285714
fr,fold_3,title_and_first_paragraph,0.459214501510574,0.5846153846153846,0.3781094527363184,0.6550068070743383,0.07042253521126761
ge,fold_1,title_and_first_paragraph,0.5814977973568283,0.6439024390243903,0.5301204819277109,0.7018020087281535,0.05084745762711865
ge,fold_2,title_and_first_paragraph,0.5655172413793104,0.6721311475409836,0.4880952380952381,0.6917828106852497,0.01694915254237288
ge,fold_3,title_and_first_paragraph,0.5339168490153172,0.6455026455026455,0.4552238805970149,0.6660310579455664,0.017241379310344827
it,fold_1,title_and_first_paragraph,0.5124450951683748,0.6013745704467354,0.44642857142857145,0.6664628180039139,0.039603960396039604
it,fold_2,title_and_first_paragraph,0.4134615384615385,0.5512820512820513,0.33076923076923076,0.6141150841346154,0.019801980198019802
it,fold_3,title_and_first_paragraph,0.4462809917355372,0.5869565217391305,0.36,0.6342829643888354,0.09900990099009901
po,fold_1,title_and_first_paragraph,0.5335820895522387,0.6008403361344538,0.4798657718120805,0.662318506821073,0.015384615384615385
po,fold_2,title_and_first_paragraph,0.5527638190954774,0.6,0.5124223602484472,0.6626737651582373,0.03076923076923077
po,fold_3,title_and_first_paragraph,0.5590277777777777,0.6909871244635193,0.46938775510204084,0.6695944200464996,0.046875
ru,fold_1,title_and_first_paragraph,0.2222222222222222,0.4528301886792453,0.147239263803681,0.5534527334317432,0.031746031746031744
ru,fold_2,title_and_first_paragraph,0.2551020408163265,0.7352941176470589,0.15432098765432098,0.5710297036364248,0.078125
ru,fold_3,title_and_first_paragraph,0.2842105263157895,0.5869565217391305,0.1875,0.5811170212765958,0.078125
