language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.6815728604471858,0.7529812606473595,0.6225352112676056,0.7685703147032964,0.10465116279069768
en,fold_2,title_and_10_sentences,0.6655202063628546,0.7724550898203593,0.5845921450151057,0.7593861417916175,0.1111111111111111
en,fold_3,title_and_10_sentences,0.6735042735042736,0.7635658914728682,0.6024464831804281,0.7661657703258462,0.12280701754385964
fr,fold_1,title_and_10_sentences,0.5103092783505154,0.592814371257485,0.4479638009049774,0.6791861165262699,0.05714285714285714
fr,fold_2,title_and_10_sentences,0.4954128440366973,0.6864406779661016,0.3875598086124402,0.6697850923736649,0.08571428571428572
fr,fold_3,title_and_10_sentences,0.4957264957264957,0.58,0.43283582089552236,0.6766953379383034,0.08450704225352113
ge,fold_1,title_and_10_sentences,0.576419213973799,0.631578947368421,0.5301204819277109,0.6983358042220876,0.01694915254237288
ge,fold_2,title_and_10_sentences,0.5770171149144254,0.7515923566878981,0.46825396825396826,0.7001548586914441,0.05084745762711865
ge,fold_3,title_and_10_sentences,0.5848214285714286,0.7277777777777777,0.48880597014925375,0.6993662203687445,0.06896551724137931
it,fold_1,title_and_10_sentences,0.54320987654321,0.5875370919881305,0.5051020408163265,0.6845471065138383,0.0297029702970297
it,fold_2,title_and_10_sentences,0.4766666666666666,0.680952380952381,0.36666666666666664,0.6506184895833333,0.07920792079207921
it,fold_3,title_and_10_sentences,0.5341426403641882,0.6197183098591549,0.4693333333333333,0.6826936156560796,0.039603960396039604
po,fold_1,title_and_10_sentences,0.5508771929824561,0.5772058823529411,0.5268456375838926,0.6694685704259332,0.046153846153846156
po,fold_2,title_and_10_sentences,0.5719360568383659,0.6680497925311203,0.5,0.6819727891156463,0.03076923076923077
po,fold_3,title_and_10_sentences,0.6242038216560509,0.6877192982456141,0.5714285714285714,0.7052441229656419,0.015625
ru,fold_1,title_and_10_sentences,0.3737024221453287,0.42857142857142855,0.3312883435582822,0.6155746307499338,0.047619047619047616
ru,fold_2,title_and_10_sentences,0.4098360655737705,0.6097560975609756,0.30864197530864196,0.6325226225317052,0.109375
ru,fold_3,title_and_10_sentences,0.32863849765258213,0.5072463768115942,0.24305555555555555,0.5989213947990544,0.09375
