language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7026169706582077,0.8039927404718693,0.6239436619718309,0.7801697108445727,0.12209302325581395
en,fold_2,title_and_first_sentence_each_paragraph,0.6551126516464472,0.7682926829268293,0.5709969788519638,0.7525885587100465,0.09941520467836257
en,fold_3,title_and_first_sentence_each_paragraph,0.6745164003364171,0.7495327102803738,0.6131498470948012,0.768069176420964,0.0935672514619883
fr,fold_1,title_and_first_sentence_each_paragraph,0.5139664804469274,0.6715328467153284,0.416289592760181,0.678500527605387,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.5266272189349113,0.689922480620155,0.4258373205741627,0.6869783230626975,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.532258064516129,0.5789473684210527,0.4925373134328358,0.7008714309913233,0.08450704225352113
ge,fold_1,title_and_first_sentence_each_paragraph,0.5507900677200903,0.6288659793814433,0.4899598393574297,0.6825882385695293,0.01694915254237288
ge,fold_2,title_and_first_sentence_each_paragraph,0.5793103448275863,0.6885245901639344,0.5,0.7003484320557491,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.5933609958506225,0.6682242990654206,0.5335820895522388,0.701533691834943,0.06896551724137931
it,fold_1,title_and_first_sentence_each_paragraph,0.5602322206095791,0.6498316498316499,0.4923469387755102,0.6952928431646631,0.07920792079207921
it,fold_2,title_and_first_sentence_each_paragraph,0.4533333333333333,0.6476190476190476,0.3487179487179487,0.6382261618589744,0.0594059405940594
it,fold_3,title_and_first_sentence_each_paragraph,0.5477888730385163,0.588957055214724,0.512,0.691514918190568,0.04950495049504951
po,fold_1,title_and_first_sentence_each_paragraph,0.598890942698706,0.6666666666666666,0.5436241610738255,0.7056356099486775,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.6291739894551844,0.7246963562753036,0.5559006211180124,0.7201271813073056,0.06153846153846154
po,fold_3,title_and_first_sentence_each_paragraph,0.6486486486486486,0.6687306501547987,0.6297376093294461,0.718123777539949,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.4291497975708502,0.6309523809523809,0.32515337423312884,0.6410189680623224,0.15873015873015872
ru,fold_2,title_and_first_sentence_each_paragraph,0.41739130434782606,0.7058823529411765,0.2962962962962963,0.6345241699465133,0.15625
ru,fold_3,title_and_first_sentence_each_paragraph,0.36923076923076925,0.41379310344827586,0.3333333333333333,0.6214539007092198,0.0625
