language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.6901408450704225,0.7764084507042254,0.6211267605633802,0.773166442708074,0.09883720930232558
en,fold_2,raw_text,0.6604095563139931,0.7588235294117647,0.5845921450151057,0.7567879893666752,0.08771929824561403
en,fold_3,raw_text,0.6875,0.7222222222222222,0.6559633027522935,0.7805678582726984,0.07017543859649122
fr,fold_1,raw_text,0.43582089552238806,0.6403508771929824,0.33031674208144796,0.6381491483793273,0.04285714285714286
fr,fold_2,raw_text,0.46056782334384855,0.6759259259259259,0.3492822966507177,0.651943353254023,0.1
fr,fold_3,raw_text,0.5126760563380282,0.5909090909090909,0.4527363184079602,0.6866455866945224,0.08450704225352113
ge,fold_1,raw_text,0.5491071428571428,0.6180904522613065,0.4939759036144578,0.6811300661919776,0.05084745762711865
ge,fold_2,raw_text,0.5608695652173913,0.6201923076923077,0.5119047619047619,0.687137049941928,0.03389830508474576
ge,fold_3,raw_text,0.5748987854251012,0.6283185840707964,0.5298507462686567,0.6877194907813872,0.0
it,fold_1,raw_text,0.48253968253968255,0.6386554621848739,0.3877551020408163,0.6518031870282359,0.0891089108910891
it,fold_2,raw_text,0.502283105022831,0.6179775280898876,0.4230769230769231,0.6617337740384616,0.04950495049504951
it,fold_3,raw_text,0.5307443365695793,0.6748971193415638,0.43733333333333335,0.6806493423163298,0.0891089108910891
po,fold_1,raw_text,0.5622775800711743,0.5984848484848485,0.5302013422818792,0.6784993639513971,0.015384615384615385
po,fold_2,raw_text,0.5950413223140495,0.6360424028268551,0.5590062111801242,0.6919180715764566,0.09230769230769231
po,fold_3,raw_text,0.6236559139784946,0.6590909090909091,0.5918367346938775,0.7009816584861792,0.015625
ru,fold_1,raw_text,0.2037037037037037,0.41509433962264153,0.13496932515337423,0.5459269435224452,0.0
ru,fold_2,raw_text,0.19,0.5,0.11728395061728394,0.5456991960170888,0.078125
ru,fold_3,raw_text,0.22406639004149378,0.27835051546391754,0.1875,0.5472074468085106,0.0
