language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_paragraph,0.588785046728972,0.6585365853658537,0.532394366197183,0.708482224323562,0.040697674418604654
en,fold_2,title_and_first_paragraph,0.610508757297748,0.6815642458100558,0.552870090634441,0.7270701492433176,0.04093567251461988
en,fold_3,title_and_first_paragraph,0.5888412017167381,0.6712328767123288,0.5244648318042814,0.7139565538331752,0.05847953216374269
fr,fold_1,title_and_first_paragraph,0.4065040650406504,0.5067567567567568,0.3393665158371041,0.6215936663506997,0.014285714285714285
fr,fold_2,title_and_first_paragraph,0.3536585365853659,0.48739495798319327,0.27751196172248804,0.5991969665940585,0.02857142857142857
fr,fold_3,title_and_first_paragraph,0.39436619718309857,0.45454545454545453,0.3482587064676617,0.6211659232212206,0.0
ge,fold_1,title_and_first_paragraph,0.45473684210526316,0.4778761061946903,0.43373493975903615,0.6146144369505753,0.01694915254237288
ge,fold_2,title_and_first_paragraph,0.4675925925925926,0.5611111111111111,0.4007936507936508,0.6315814943863725,0.03389830508474576
ge,fold_3,title_and_first_paragraph,0.4517453798767967,0.502283105022831,0.41044776119402987,0.6050400570676031,0.017241379310344827
it,fold_1,title_and_first_paragraph,0.43943661971830983,0.49056603773584906,0.3979591836734694,0.6197232317584569,0.0297029702970297
it,fold_2,title_and_first_paragraph,0.391304347826087,0.49606299212598426,0.3230769230769231,0.5990384615384615,0.04950495049504951
it,fold_3,title_and_first_paragraph,0.4175491679273828,0.4825174825174825,0.368,0.6127776708373435,0.0297029702970297
po,fold_1,title_and_first_paragraph,0.4761904761904762,0.5018587360594795,0.45302013422818793,0.6170329429310873,0.015384615384615385
po,fold_2,title_and_first_paragraph,0.44122965641952977,0.5281385281385281,0.37888198757763975,0.5967539189588879,0.015384615384615385
po,fold_3,title_and_first_paragraph,0.4850498338870432,0.5637065637065637,0.42565597667638483,0.610658006421375,0.03125
ru,fold_1,title_and_first_paragraph,0.19327731092436976,0.30666666666666664,0.1411042944785276,0.5343908120515031,0.031746031746031744
ru,fold_2,title_and_first_paragraph,0.26778242677824265,0.4155844155844156,0.19753086419753085,0.568111481145087,0.09375
ru,fold_3,title_and_first_paragraph,0.2016806722689075,0.2553191489361702,0.16666666666666666,0.536790780141844,0.0
