language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6666666666666667,0.780718336483932,0.5816901408450704,0.75668723767813,0.09883720930232558
en,fold_2,title_and_first_sentence_each_paragraph,0.6404023470243084,0.71939736346516,0.5770392749244713,0.7455057806493026,0.08187134502923976
en,fold_3,title_and_first_sentence_each_paragraph,0.6602098466505245,0.6991452991452991,0.6253822629969419,0.7621164188547928,0.08187134502923976
fr,fold_1,title_and_first_sentence_each_paragraph,0.41595441595441596,0.5615384615384615,0.33031674208144796,0.6276089639260994,0.014285714285714285
fr,fold_2,title_and_first_sentence_each_paragraph,0.4738292011019283,0.5584415584415584,0.41148325358851673,0.6616430535128057,0.07142857142857142
fr,fold_3,title_and_first_sentence_each_paragraph,0.42162162162162165,0.46153846153846156,0.3880597014925373,0.6366528015659408,0.04225352112676056
ge,fold_1,title_and_first_sentence_each_paragraph,0.5260663507109005,0.6416184971098265,0.4457831325301205,0.6691653964210394,0.05084745762711865
ge,fold_2,title_and_first_sentence_each_paragraph,0.5377777777777778,0.6111111111111112,0.4801587301587302,0.6730061943476578,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.4693446088794926,0.5414634146341464,0.4141791044776119,0.6206924934152765,0.034482758620689655
it,fold_1,title_and_first_sentence_each_paragraph,0.485133020344288,0.6275303643724697,0.39540816326530615,0.652694296896841,0.039603960396039604
it,fold_2,title_and_first_sentence_each_paragraph,0.43369734789391573,0.5537848605577689,0.3564102564102564,0.6235176282051282,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.5222551928783383,0.5886287625418061,0.4693333333333333,0.6754751363490537,0.04950495049504951
po,fold_1,title_and_first_sentence_each_paragraph,0.5464285714285714,0.583969465648855,0.5134228187919463,0.6676591218142738,0.03076923076923077
po,fold_2,title_and_first_sentence_each_paragraph,0.5283630470016208,0.5525423728813559,0.5062111801242236,0.6408606921029281,0.015384615384615385
po,fold_3,title_and_first_sentence_each_paragraph,0.5824,0.6453900709219859,0.5306122448979592,0.6748902092482563,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.23744292237442924,0.4642857142857143,0.15950920245398773,0.5588922924648242,0.031746031746031744
ru,fold_2,title_and_first_sentence_each_paragraph,0.2260869565217391,0.38235294117647056,0.16049382716049382,0.5516365593568138,0.0625
ru,fold_3,title_and_first_sentence_each_paragraph,0.17431192660550457,0.25675675675675674,0.13194444444444445,0.529403073286052,0.0
