language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.5838011226944667,0.6778398510242085,0.5126760563380282,0.7053957431277891,0.03488372093023256
en,fold_2,title,0.5274914089347079,0.6115537848605578,0.4637462235649547,0.6755798092420617,0.023391812865497075
en,fold_3,title,0.5460636515912899,0.6037037037037037,0.4984709480122324,0.687741221132553,0.04093567251461988
fr,fold_1,title,0.3170028818443804,0.4365079365079365,0.248868778280543,0.5776623206290725,0.02857142857142857
fr,fold_2,title,0.3111111111111111,0.46226415094339623,0.23444976076555024,0.5802598998380281,0.04285714285714286
fr,fold_3,title,0.2909090909090909,0.37209302325581395,0.23880597014925373,0.5683311061338955,0.028169014084507043
ge,fold_1,title,0.3869346733668342,0.5167785234899329,0.3092369477911647,0.5922267927863969,0.01694915254237288
ge,fold_2,title,0.4072398190045249,0.47368421052631576,0.35714285714285715,0.5914634146341463,0.0
ge,fold_3,title,0.380952380952381,0.48554913294797686,0.31343283582089554,0.5749149473222125,0.0
it,fold_1,title,0.3728813559322034,0.4708171206225681,0.3086734693877551,0.5878005311713727,0.009900990099009901
it,fold_2,title,0.3081967213114754,0.42727272727272725,0.24102564102564103,0.5589893830128205,0.0
it,fold_3,title,0.38305084745762713,0.5255813953488372,0.30133333333333334,0.6015810073788901,0.019801980198019802
po,fold_1,title,0.41791044776119407,0.47058823529411764,0.37583892617449666,0.5849782866166602,0.015384615384615385
po,fold_2,title,0.4092526690391459,0.4791666666666667,0.35714285714285715,0.5722789115646258,0.0
po,fold_3,title,0.3494423791821561,0.48205128205128206,0.27405247813411077,0.5457061667343248,0.0
ru,fold_1,title,0.22510822510822512,0.38235294117647056,0.15950920245398773,0.5505473689599563,0.06349206349206349
ru,fold_2,title,0.20920502092050206,0.3246753246753247,0.15432098765432098,0.5417381505029097,0.015625
ru,fold_3,title,0.23853211009174313,0.35135135135135137,0.18055555555555555,0.5583628841607565,0.015625
