language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7194465795541891,0.7918781725888325,0.6591549295774648,0.7933583835166477,0.14534883720930233
en,fold_2,title_and_first_sentence_each_paragraph,0.6729131175468482,0.771484375,0.5966767371601208,0.764562387055811,0.08187134502923976
en,fold_3,title_and_first_sentence_each_paragraph,0.6747376916868443,0.7145299145299145,0.6391437308868502,0.7715833596962987,0.08771929824561403
fr,fold_1,title_and_first_sentence_each_paragraph,0.5171503957783641,0.620253164556962,0.4434389140271493,0.6821937653139699,0.1
fr,fold_2,title_and_first_sentence_each_paragraph,0.5676392572944298,0.6369047619047619,0.5119617224880383,0.7164218469768336,0.11428571428571428
fr,fold_3,title_and_first_sentence_each_paragraph,0.5813333333333333,0.6264367816091954,0.5422885572139303,0.7301606720495881,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.5822222222222223,0.6517412935323383,0.5261044176706827,0.7023936299791887,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.5892857142857143,0.673469387755102,0.5238095238095238,0.7061556329849012,0.06779661016949153
ge,fold_3,title_and_first_sentence_each_paragraph,0.610441767068273,0.6608695652173913,0.5671641791044776,0.7118909130816505,0.05172413793103448
it,fold_1,title_and_first_sentence_each_paragraph,0.5870206489675517,0.6958041958041958,0.5076530612244898,0.711262929829466,0.1188118811881188
it,fold_2,title_and_first_sentence_each_paragraph,0.5300546448087432,0.5672514619883041,0.49743589743589745,0.6764523237179487,0.039603960396039604
it,fold_3,title_and_first_sentence_each_paragraph,0.5645390070921986,0.603030303030303,0.5306666666666666,0.7022919473853063,0.09900990099009901
po,fold_1,title_and_first_sentence_each_paragraph,0.6345083487940631,0.6356877323420075,0.6333333333333333,0.7327625570776255,0.11475409836065574
po,fold_2,title_and_first_sentence_each_paragraph,0.6320907617504051,0.6610169491525424,0.6055900621118012,0.7177610174504585,0.046153846153846156
po,fold_3,title_and_first_sentence_each_paragraph,0.6687898089171975,0.7368421052631579,0.6122448979591837,0.7383105140790494,0.046875
ru,fold_1,title_and_first_sentence_each_paragraph,0.46564885496183206,0.5545454545454546,0.40131578947368424,0.6650474296205631,0.2
ru,fold_2,title_and_first_sentence_each_paragraph,0.5255474452554744,0.6428571428571429,0.4444444444444444,0.6949742658189525,0.140625
ru,fold_3,title_and_first_sentence_each_paragraph,0.525096525096525,0.591304347826087,0.4722222222222222,0.7048611111111112,0.15625
