language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title,0.6536661466458659,0.7325174825174825,0.5901408450704225,0.7500174190016423,0.06976744186046512
en,fold_2,title,0.6263286999182339,0.6827094474153298,0.5785498489425982,0.7378892431779965,0.08187134502923976
en,fold_3,title,0.6307053941908713,0.6896551724137931,0.581039755351682,0.7413819466413583,0.06432748538011696
fr,fold_1,title,0.4699140401146132,0.640625,0.37104072398190047,0.65521733168792,0.05714285714285714
fr,fold_2,title,0.49859943977591026,0.6013513513513513,0.4258373205741627,0.6746566628811151,0.1
fr,fold_3,title,0.427710843373494,0.5419847328244275,0.35323383084577115,0.6387858939853067,0.056338028169014086
ge,fold_1,title,0.5219399538106234,0.6141304347826086,0.4538152610441767,0.6653825005394193,0.05084745762711865
ge,fold_2,title,0.5548387096774193,0.6056338028169014,0.5119047619047619,0.6827816492450638,0.05084745762711865
ge,fold_3,title,0.4924406047516199,0.5846153846153846,0.4253731343283582,0.6382380377524144,0.034482758620689655
it,fold_1,title,0.4825493171471927,0.5955056179775281,0.40561224489795916,0.649968549063461,0.04950495049504951
it,fold_2,title,0.46636771300448426,0.5591397849462365,0.4,0.63994140625,0.0297029702970297
it,fold_3,title,0.4698608964451314,0.5588235294117647,0.4053333333333333,0.6449188322104588,0.04950495049504951
po,fold_1,title,0.5265017667844523,0.5559701492537313,0.5,0.6527777777777779,0.046153846153846156
po,fold_2,title,0.5663430420711975,0.5912162162162162,0.5434782608695652,0.6688479739721975,0.015384615384615385
po,fold_3,title,0.5479930191972077,0.6826086956521739,0.4577259475218659,0.6628593571244049,0.046875
ru,fold_1,title,0.3739837398373984,0.5542168674698795,0.2822085889570552,0.6153741136718517,0.12698412698412698
ru,fold_2,title,0.4029850746268656,0.5094339622641509,0.3333333333333333,0.6312443233424159,0.09375
ru,fold_3,title,0.3930131004366812,0.5294117647058824,0.3125,0.6296542553191489,0.0625
