language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_10_sentences,0.7086856264411991,0.7800338409475466,0.6492957746478873,0.7863675575241792,0.0872093023255814
en,fold_2,title_and_10_sentences,0.6817082997582595,0.7305699481865285,0.6389728096676737,0.7744517628015043,0.08187134502923976
en,fold_3,title_and_10_sentences,0.6782884310618067,0.7039473684210527,0.654434250764526,0.7754929874512285,0.08771929824561403
fr,fold_1,title_and_10_sentences,0.5445026178010471,0.6459627329192547,0.47058823529411764,0.6977447105324344,0.08571428571428572
fr,fold_2,title_and_10_sentences,0.5736842105263157,0.6374269005847953,0.5215311004784688,0.7205580275414393,0.1
fr,fold_3,title_and_10_sentences,0.5412371134020618,0.5614973262032086,0.5223880597014925,0.7094916338860552,0.08450704225352113
ge,fold_1,title_and_10_sentences,0.6342592592592593,0.7486338797814208,0.5502008032128514,0.7352390497866683,0.13559322033898305
ge,fold_2,title_and_10_sentences,0.623015873015873,0.623015873015873,0.623015873015873,0.7287553232675184,0.03389830508474576
ge,fold_3,title_and_10_sentences,0.6222222222222223,0.6784140969162996,0.5746268656716418,0.7202178446005267,0.08620689655172414
it,fold_1,title_and_10_sentences,0.5646359583952453,0.6761565836298933,0.4846938775510204,0.6978263908303047,0.06930693069306931
it,fold_2,title_and_10_sentences,0.5392022008253095,0.5816023738872403,0.5025641025641026,0.6824343950320513,0.09900990099009901
it,fold_3,title_and_10_sentences,0.571830985915493,0.6059701492537314,0.5413333333333333,0.7071440487648379,0.10891089108910891
po,fold_1,title_and_10_sentences,0.6114180478821362,0.6775510204081633,0.5570469798657718,0.7139810062727552,0.07692307692307693
po,fold_2,title_and_10_sentences,0.6274509803921569,0.6620689655172414,0.5962732919254659,0.7148033126293996,0.046153846153846156
po,fold_3,title_and_10_sentences,0.6591999999999999,0.7304964539007093,0.6005830903790087,0.7315754511569545,0.046875
ru,fold_1,title_and_10_sentences,0.4549019607843137,0.6304347826086957,0.3558282208588957,0.6542701604989888,0.23809523809523808
ru,fold_2,title_and_10_sentences,0.5122807017543859,0.5934959349593496,0.4506172839506173,0.6912486964712214,0.109375
ru,fold_3,title_and_10_sentences,0.5683453237410072,0.5895522388059702,0.5486111111111112,0.7377364066193853,0.09375
