language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.6714859437751003,0.7813084112149533,0.5887323943661972,0.7599139003633106,0.0872093023255814
en,fold_2,title_and_first_sentence_each_paragraph,0.6559865092748736,0.7423664122137404,0.5876132930513596,0.7548343601515458,0.07017543859649122
en,fold_3,title_and_first_sentence_each_paragraph,0.6666666666666666,0.7633136094674556,0.591743119266055,0.7613888010123379,0.08771929824561403
fr,fold_1,title_and_first_sentence_each_paragraph,0.5041551246537396,0.65,0.4117647058823529,0.6736030380531658,0.05714285714285714
fr,fold_2,title_and_first_sentence_each_paragraph,0.543010752688172,0.6196319018404908,0.48325358851674644,0.7014192715605782,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5131195335276968,0.6197183098591549,0.43781094527363185,0.6848575533429949,0.08450704225352113
ge,fold_1,title_and_first_sentence_each_paragraph,0.577680525164114,0.6346153846153846,0.5301204819277109,0.6992023553486042,0.03389830508474576
ge,fold_2,title_and_first_sentence_each_paragraph,0.5726872246696035,0.6435643564356436,0.5158730158730159,0.6952187379016648,0.01694915254237288
ge,fold_3,title_and_first_sentence_each_paragraph,0.5831533477321814,0.6923076923076923,0.503731343283582,0.6967186128182616,0.08620689655172414
it,fold_1,title_and_first_sentence_each_paragraph,0.5517241379310346,0.631578947368421,0.4897959183673469,0.6901034386357283,0.0891089108910891
it,fold_2,title_and_first_sentence_each_paragraph,0.4992867332382311,0.5627009646302251,0.44871794871794873,0.6579527243589743,0.039603960396039604
it,fold_3,title_and_first_sentence_each_paragraph,0.5,0.6205533596837944,0.4186666666666667,0.6631350657683671,0.07920792079207921
po,fold_1,title_and_first_sentence_each_paragraph,0.5765765765765766,0.622568093385214,0.5369127516778524,0.6892080098258543,0.046153846153846156
po,fold_2,title_and_first_sentence_each_paragraph,0.5974025974025974,0.6258503401360545,0.5714285714285714,0.6921768707482994,0.06153846153846154
po,fold_3,title_and_first_sentence_each_paragraph,0.6102292768959436,0.7723214285714286,0.5043731778425656,0.7060744731889139,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.5174825174825175,0.6016260162601627,0.4539877300613497,0.692918760719131,0.20634920634920634
ru,fold_2,title_and_first_sentence_each_paragraph,0.4486692015209126,0.5841584158415841,0.36419753086419754,0.6534884112086655,0.09375
ru,fold_3,title_and_first_sentence_each_paragraph,0.44843049327354256,0.6329113924050633,0.3472222222222222,0.6543291962174942,0.09375
