language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.7017001545595053,0.7773972602739726,0.6394366197183099,0.7814379800593906,0.09883720930232558
en,fold_2,raw_text,0.6980519480519481,0.7543859649122807,0.649546827794562,0.7843577095092903,0.09941520467836257
en,fold_3,raw_text,0.6677824267782427,0.7375231053604436,0.6100917431192661,0.7642412738584836,0.11695906432748537
fr,fold_1,raw_text,0.5546218487394958,0.7279411764705882,0.4479638009049774,0.6996077239043991,0.11428571428571428
fr,fold_2,raw_text,0.6005361930294907,0.6829268292682927,0.5358851674641149,0.7342201453403584,0.12857142857142856
fr,fold_3,raw_text,0.5957446808510638,0.64,0.5572139303482587,0.7388843926646717,0.08450704225352113
ge,fold_1,raw_text,0.6477024070021882,0.7115384615384616,0.5943775100401606,0.7451956874290924,0.0847457627118644
ge,fold_2,raw_text,0.6114942528735632,0.726775956284153,0.5277777777777778,0.7203348819202477,0.03389830508474576
ge,fold_3,raw_text,0.6600790513833992,0.7016806722689075,0.6231343283582089,0.7463098112379281,0.1206896551724138
it,fold_1,raw_text,0.5966514459665145,0.7396226415094339,0.5,0.7162426614481409,0.12871287128712872
it,fold_2,raw_text,0.5550660792951542,0.6494845360824743,0.4846153846153846,0.6925030048076923,0.07920792079207921
it,fold_3,raw_text,0.6351550960118167,0.7119205298013245,0.5733333333333334,0.7447994866859159,0.10891089108910891
po,fold_1,raw_text,0.627906976744186,0.7431192660550459,0.5436241610738255,0.7260604465499847,0.12307692307692308
po,fold_2,raw_text,0.6733001658374793,0.7224199288256228,0.6304347826086957,0.748890860692103,0.12307692307692308
po,fold_3,raw_text,0.6821705426356588,0.7284768211920529,0.641399416909621,0.7465586596302173,0.078125
ru,fold_1,raw_text,0.5670498084291188,0.7551020408163265,0.4539877300613497,0.7103040180209391,0.15873015873015872
ru,fold_2,raw_text,0.5428571428571428,0.6440677966101694,0.4691358024691358,0.7059575470111347,0.140625
ru,fold_3,raw_text,0.5333333333333332,0.6126126126126126,0.4722222222222222,0.7075206855791962,0.109375
