language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7254752851711026,0.7884297520661157,0.671830985915493,0.7982240913087476,0.13953488372093023
en,fold_2,title_and_first_sentence_each_paragraph,0.701868399675061,0.7592267135325131,0.6525679758308157,0.7867343343357311,0.09941520467836257
en,fold_3,title_and_first_sentence_each_paragraph,0.6941580756013747,0.792156862745098,0.617737003058104,0.7784087314141095,0.13450292397660818
fr,fold_1,title_and_first_sentence_each_paragraph,0.5606060606060606,0.6342857142857142,0.502262443438914,0.7089704839065453,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.5903307888040713,0.6304347826086957,0.5550239234449761,0.7334133884410353,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5795454545454546,0.6754966887417219,0.5074626865671642,0.7228360091095595,0.1267605633802817
ge,fold_1,title_and_first_sentence_each_paragraph,0.647450110864745,0.7227722772277227,0.5863453815261044,0.7446458276781301,0.0847457627118644
ge,fold_2,title_and_first_sentence_each_paragraph,0.6215644820295984,0.665158371040724,0.5833333333333334,0.7272067363530779,0.1016949152542373
ge,fold_3,title_and_first_sentence_each_paragraph,0.6475409836065574,0.7181818181818181,0.5895522388059702,0.737790825285338,0.13793103448275862
it,fold_1,title_and_first_sentence_each_paragraph,0.5616045845272206,0.6405228758169934,0.5,0.6961839530332681,0.07920792079207921
it,fold_2,title_and_first_sentence_each_paragraph,0.5183098591549296,0.575,0.4717948717948718,0.669491185897436,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.607751937984496,0.725925925925926,0.5226666666666666,0.7257221687520051,0.1188118811881188
po,fold_1,title_and_first_sentence_each_paragraph,0.628158844765343,0.6796875,0.5838926174496645,0.7249528446725446,0.07692307692307693
po,fold_2,title_and_first_sentence_each_paragraph,0.631578947368421,0.6491803278688525,0.6149068322981367,0.7164670215912451,0.03076923076923077
po,fold_3,title_and_first_sentence_each_paragraph,0.6557377049180327,0.7490636704119851,0.5830903790087464,0.7309665276598886,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.5018450184501845,0.6296296296296297,0.4171779141104294,0.6807725453723218,0.1746031746031746
ru,fold_2,title_and_first_sentence_each_paragraph,0.5259515570934256,0.5984251968503937,0.4691358024691358,0.6998267568203989,0.15625
ru,fold_3,title_and_first_sentence_each_paragraph,0.5166666666666667,0.6458333333333334,0.4305555555555556,0.6926713947990544,0.125
