language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,raw_text,0.70918754745634,0.7693574958813838,0.6577464788732394,0.7876482688830273,0.10465116279069768
en,fold_2,raw_text,0.7025316455696202,0.7375415282392026,0.6706948640483383,0.7897354227862938,0.10526315789473684
en,fold_3,raw_text,0.671604938271605,0.7272727272727273,0.6238532110091743,0.7679610882632079,0.09941520467836257
fr,fold_1,raw_text,0.5941644562334217,0.717948717948718,0.5067873303167421,0.7244081579119942,0.11428571428571428
fr,fold_2,raw_text,0.6030927835051547,0.6536312849162011,0.5598086124401914,0.7396967835223005,0.11428571428571428
fr,fold_3,raw_text,0.6082474226804123,0.6310160427807486,0.5870646766169154,0.7500266636552421,0.09859154929577464
ge,fold_1,raw_text,0.6422413793103448,0.6930232558139535,0.5983935742971888,0.7420044127985077,0.0847457627118644
ge,fold_2,raw_text,0.6308724832214766,0.7230769230769231,0.5595238095238095,0.7327235772357723,0.03389830508474576
ge,fold_3,raw_text,0.66793893129771,0.68359375,0.6529850746268657,0.7520440079016681,0.10344827586206896
it,fold_1,raw_text,0.609720176730486,0.7212543554006968,0.5280612244897959,0.7248916689963656,0.1188118811881188
it,fold_2,raw_text,0.5738161559888579,0.6280487804878049,0.5282051282051282,0.704532251602564,0.06930693069306931
it,fold_3,raw_text,0.6389684813753581,0.6904024767801857,0.5946666666666667,0.7492101379531602,0.09900990099009901
po,fold_1,raw_text,0.654275092936803,0.7333333333333333,0.5906040268456376,0.7430144317234725,0.12307692307692308
po,fold_2,raw_text,0.6741214057507987,0.694078947368421,0.65527950310559,0.7485581188997338,0.13846153846153847
po,fold_3,raw_text,0.6971935007385524,0.7065868263473054,0.6880466472303207,0.7554157286784514,0.078125
ru,fold_1,raw_text,0.5799256505576208,0.7358490566037735,0.4785276073619632,0.7197923155029565,0.15873015873015872
ru,fold_2,raw_text,0.5505226480836237,0.632,0.4876543209876543,0.7124920106300668,0.125
ru,fold_3,raw_text,0.5333333333333332,0.6126126126126126,0.4722222222222222,0.7075206855791962,0.109375
