language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7270007479431563,0.7751196172248804,0.6845070422535211,0.8007340864977852,0.12790697674418605
en,fold_2,title_and_first_sentence_each_paragraph,0.7045636509207366,0.7495741056218058,0.6646525679758308,0.7898897943805251,0.09941520467836257
en,fold_3,title_and_first_sentence_each_paragraph,0.6968403074295473,0.7891682785299806,0.6238532110091743,0.7806047664241273,0.14035087719298245
fr,fold_1,title_and_first_sentence_each_paragraph,0.5700245700245701,0.6236559139784946,0.5248868778280543,0.7163301319311549,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.5974683544303797,0.6344086021505376,0.5645933014354066,0.7381980774362507,0.12857142857142856
fr,fold_3,title_and_first_sentence_each_paragraph,0.5819209039548022,0.673202614379085,0.5124378109452736,0.7246930542746545,0.1267605633802817
ge,fold_1,title_and_first_sentence_each_paragraph,0.6504424778761062,0.7241379310344828,0.5903614457831325,0.7466538598066443,0.0847457627118644
ge,fold_2,title_and_first_sentence_each_paragraph,0.6205450733752621,0.6577777777777778,0.5873015873015873,0.7265776229190865,0.1016949152542373
ge,fold_3,title_and_first_sentence_each_paragraph,0.6558704453441294,0.7168141592920354,0.6044776119402985,0.7434152765583846,0.13793103448275862
it,fold_1,title_and_first_sentence_each_paragraph,0.5681818181818182,0.6410256410256411,0.5102040816326531,0.7003075202683813,0.07920792079207921
it,fold_2,title_and_first_sentence_each_paragraph,0.5223463687150838,0.5736196319018405,0.4794871794871795,0.6718724959935898,0.04950495049504951
it,fold_3,title_and_first_sentence_each_paragraph,0.6089644513137558,0.7242647058823529,0.5253333333333333,0.7265742701315366,0.1188118811881188
po,fold_1,title_and_first_sentence_each_paragraph,0.6294964028776979,0.6782945736434108,0.587248322147651,0.7258137035574856,0.07692307692307693
po,fold_2,title_and_first_sentence_each_paragraph,0.64576802507837,0.6518987341772152,0.639751552795031,0.7263383614315291,0.03076923076923077
po,fold_3,title_and_first_sentence_each_paragraph,0.6601941747572815,0.7418181818181818,0.5947521865889213,0.733180794921947,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.5073529411764706,0.6330275229357798,0.4233128834355828,0.6838400300348985,0.1746031746031746
ru,fold_2,title_and_first_sentence_each_paragraph,0.5310344827586208,0.6015625,0.47530864197530864,0.7029131765734853,0.15625
ru,fold_3,title_and_first_sentence_each_paragraph,0.5061224489795919,0.6138613861386139,0.4305555555555556,0.6893469267139479,0.125
